Date,Value
20200321,3.5432
20200320,3.9124
20200323,3.9294
20200322,3.4967
20200324,3.9098
20190310,3.5755
20190311,3.4696
20200208,2.4758
20200209,2.2133
20190314,3.4544
20190315,3.7948
20190316,3.4968
20190317,3.444
20200202,2.7088
20200203,2.9181
20200201,2.6759
20200206,2.7636
20200207,2.7732
20200204,2.8603
20200205,2.8603
20200129,2.4588
20200128,2.1485
20200123,3.9852
20200122,4.1148
20200121,4.1344
20200120,4.1789
20200127,2.3518
20200126,2.6921
20200125,2.2817
20200124,3.3531
20190130,3.403
20200217,2.6014
20200108,4.3365
20200219,2.729
20200218,2.6582
20190303,3.5459
20190302,3.4073
20190301,3.7698
20190307,3.3637
20190306,3.3548
20190305,3.4994
20190304,3.3252
20200215,2.4412
20200214,2.6154
20190309,3.3642
20200216,2.3339
20200211,2.5964
20200210,2.5954
20200213,2.523
20200212,2.6147
20190224,3.2417
20190225,3.2864
20190226,3.2994
20190227,3.3826
20190220,3.6587
20190221,3.2959
20190222,3.5023
20190223,3.151
20200116,4.4627
20200117,4.2976
20200114,4.3195
20200115,4.3664
20200112,4.1311
20200113,4.2195
20200110,4.5305
20200111,4.1494
20190308,3.7649
20200101,4.382
20200103,4.3262
20200102,4.5801
20200105,4.1537
20200104,3.9317
20200107,4.3837
20200106,4.375
20200109,4.2265
20190131,3.4822
20200118,3.8988
20200119,4.0789
20190312,3.4796
20190328,3.4219
20190313,3.4225
20190321,3.4391
20190320,3.444
20190323,3.4279
20190322,3.7244
20190325,3.4403
20190324,3.5321
20190327,3.3734
20190326,3.4139
20190208,3.0855
20190209,3.1039
20190202,3.3315
20190203,3.1556
20190201,3.2727
20190206,2.9641
20190207,3.0439
20190204,2.9084
20190205,2.9363
20190318,3.4047
20190129,3.3189
20190128,3.3812
20190319,3.3949
20190123,3.4839
20190122,3.5772
20190121,3.3444
20190120,3.6059
20190127,3.0502
20190126,3.0804
20190125,3.4509
20190124,3.4489
20190219,3.3117
20190218,3.3252
20190215,3.2503
20190214,3.2675
20190217,2.9696
20190216,2.9822
20190211,3.3708
20190210,3.1877
20190213,3.3944
20190212,3.4624
20190118,3.7549
20190119,3.5166
20190116,3.4254
20190117,3.5901
20190114,3.4753
20190115,3.6438
20190112,3.4268
20190113,3.5304
20190228,3.4871
20200310,3.6123
20200311,3.7124
20200312,3.708
20200313,3.7722
20200314,3.3538
20200315,3.29
20200316,3.4495
20200317,3.836
20200318,3.8915
20200319,3.8067
20200303,3.4349
20200302,3.4013
20200301,3.0235
20200307,3.2042
20200306,3.276
20200305,3.4399
20200304,3.4339
20200309,3.6044
20200308,3.2664
20200224,3.0763
20200225,3.1212
20200226,3.1248
20200227,3.1527
20200220,2.7553
20200221,2.8975
20200222,2.5845
20200223,2.6742
20200228,3.2126
20200229,3.0201
20200130,2.5542
20200131,2.6396
