Date,Value
20200321,5.1131
20200320,5.2517
20200323,5.2955
20200322,5.0455
20200324,5.3323
20190310,4.9081
20190311,4.8994
20200208,2.0307
20200209,2.0667
20190314,4.9304
20190315,5.2377
20190316,5.053
20190317,4.6872
20200202,2.4152
20200203,2.5357
20200201,2.391
20200206,2.2932
20200207,2.1803
20200204,2.4514
20200205,2.4068
20200129,3.0902
20200128,3.6253
20200123,5.526
20200122,5.6159
20200121,5.6659
20200120,5.6343
20200127,4.2966
20200126,4.6952
20200125,4.9048
20200124,5.2123
20200311,4.0953
20190130,4.8797
20200217,2.1322
20200108,5.5788
20200219,2.1267
20200218,2.0877
20190303,4.8749
20190302,4.9629
20190301,5.1861
20190307,4.7438
20190306,4.7966
20190305,4.9759
20190304,4.7843
20200215,1.9069
20200214,2.0346
20190309,4.846
20200216,1.9154
20200211,2.1425
20200210,2.2431
20200213,2.0539
20200212,2.1125
20190224,4.5701
20190225,4.6923
20190226,4.6875
20190227,4.9266
20190220,5.0062
20190221,4.8951
20190222,4.9475
20190223,4.7433
20200116,5.3388
20200117,5.6147
20200114,5.5623
20200115,5.2377
20190228,5.0374
20200113,5.5949
20200110,5.3128
20200111,5.0759
20190308,5.2306
20200101,5.3548
20200103,5.5245
20200102,5.4262
20200105,4.9796
20200104,5.1972
20200107,5.3518
20200106,5.2884
20200109,5.0733
20190131,4.8169
20200118,5.3032
20200119,5.5042
20190312,4.9983
20190328,4.782
20190313,4.9877
20190321,4.8849
20190320,4.8019
20190323,4.8626
20190322,5.1497
20190325,4.9476
20190324,4.8794
20190327,4.8148
20190326,4.7823
20190208,5.0186
20190209,4.8151
20190202,5.0958
20190203,4.8005
20190201,4.8658
20190206,5.2625
20190207,5.0652
20190204,4.9614
20190205,5.1119
20190318,4.8882
20190129,5.0496
20190128,5.1025
20190319,4.8751
20190123,4.8882
20190122,4.8936
20190121,4.9536
20190120,4.5176
20190127,4.6441
20190126,4.7043
20190125,4.9229
20190124,4.9656
20190219,5.1868
20190218,5.0346
20190215,4.8631
20190214,4.9117
20190217,4.4155
20190216,4.5838
20190211,5.1218
20190210,4.9505
20190213,5.1294
20190212,5.1744
20190118,4.8863
20190119,4.6901
20190116,4.8633
20190117,4.8748
20190114,4.9274
20190115,5.0106
20190112,4.7613
20190113,4.6266
20200310,3.9834
20200112,5.18
20200312,4.1291
20200313,4.3263
20200314,4.2563
20200315,4.2851
20200316,4.8111
20200317,4.9747
20200318,4.9443
20200319,5.1357
20200303,3.2552
20200302,3.2122
20200301,2.8687
20200307,3.5018
20200306,3.5983
20200305,3.4588
20200304,3.3338
20200309,3.7891
20200308,3.2508
20200224,2.4276
20200225,2.5808
20200226,2.6901
20200227,2.8225
20200220,2.0599
20200221,2.1783
20200222,2.0772
20200223,2.0981
20200228,3.0525
20200229,2.8098
20200130,2.8027
20200131,2.5956
