Date,Value
20200321,4.7034
20200320,4.8975
20200323,4.9565
20200322,4.5902
20200324,4.7713
20190310,4.6545
20190311,4.681
20200208,2.8864
20200209,2.8948
20190314,4.6089
20190315,4.9604
20190316,4.8004
20190317,4.564
20200202,3.4596
20200203,2.9787
20200201,3.4937
20200206,3.045
20200207,3.0479
20200204,2.9869
20200205,3.2218
20200129,3.8493
20200128,3.8262
20200123,6.512
20200122,6.4793
20200121,6.388
20200120,6.0146
20200127,3.6358
20200126,3.9674
20200125,3.5858
20200124,5.0829
20200311,4.875
20190130,5.7896
20200217,3.8163
20200108,5.0343
20200219,3.9046
20200218,3.8854
20190303,4.8092
20190302,4.8071
20190301,5.0344
20190307,4.0226
20190306,4.2112
20190305,4.5985
20190304,4.4782
20200215,3.3154
20200214,3.7993
20190309,4.1266
20200216,3.2457
20200211,3.5432
20200210,3.4086
20200213,3.704
20200212,3.6378
20190224,4.6569
20190225,4.2972
20190226,4.3532
20190227,4.5253
20190220,4.9204
20190221,4.5277
20190222,4.8458
20200119,5.7052
20200116,5.6471
20200117,5.8317
20200114,5.1059
20200115,5.6217
20190228,4.6402
20200113,5.2497
20200110,5.3316
20200111,4.8236
20190308,4.5474
20200101,5.0877
20200103,5.2003
20200102,5.0549
20200105,4.8537
20200104,4.8097
20200107,5.0556
20200106,4.9923
20200109,5.0456
20190131,5.9662
20200118,5.6621
20190223,4.0386
20190312,4.6519
20190328,4.4084
20190313,4.6386
20190321,4.5663
20190320,4.5408
20190323,4.095
20190322,4.578
20190325,4.4374
20190324,4.2779
20190327,4.4506
20190326,4.3781
20190208,6.4879
20190209,6.073
20190202,6.2569
20190203,5.9806
20190201,5.9928
20190206,6.3724
20190207,6.3803
20190204,5.0799
20190205,5.7261
20190318,4.4348
20190129,5.8011
20190128,5.5945
20190319,4.5318
20190123,4.9868
20190122,4.6965
20190121,4.6597
20190120,4.4286
20190127,5.0777
20190126,5.1347
20190125,5.206
20190124,5.3165
20190219,4.7234
20190218,4.3271
20190215,5.2932
20190214,5.8251
20190217,4.1924
20190216,4.6954
20190211,5.4528
20190210,5.7683
20190213,5.7411
20190212,5.9192
20190118,4.7354
20190119,4.5203
20190116,4.4716
20190117,4.6035
20190114,4.5645
20190115,4.6008
20190112,4.5517
20190113,4.488
20200310,4.9616
20200112,4.9335
20200312,4.87
20200313,4.88
20200314,4.7636
20200315,4.5944
20200316,5.0041
20200317,4.7432
20200318,4.6797
20200319,4.2713
20200303,4.7622
20200302,4.9953
20200301,4.692
20200307,4.7307
20200306,4.7873
20200305,4.8164
20200304,3.9795
20200309,5.0725
20200308,4.6666
20200224,4.9078
20200225,4.8477
20200226,4.8814
20200227,4.9529
20200220,4.056
20200221,4.3353
20200222,4.2775
20200223,4.2969
20200228,4.9283
20200229,4.7772
20200130,3.8128
20200131,3.5974
