Date,Value
20200321,4.0405
20200320,5.0695
20200323,5.125
20200322,3.6221
20200324,5.1201
20190310,3.894
20190311,5.0465
20200208,1.0972
20200209,1.1839
20190314,5.0707
20190315,5.2513
20190316,4.6148
20190317,4.1228
20200202,1.0489
20200203,1.3273
20200201,1.1419
20200206,1.2075
20200207,1.2079
20200204,1.1732
20200205,1.2308
20200129,1.187
20200128,1.152
20200123,2.5373
20200122,3.2499
20200121,4.0019
20200120,4.4539
20200127,1.1991
20200126,1.2301
20200125,1.4773
20200124,1.8064
20200311,4.7899
20190130,3.8104
20200217,2.7978
20200108,6.0156
20200219,2.9216
20200218,2.8524
20190303,3.8828
20190302,4.5034
20190301,5.2089
20190307,4.8187
20190306,4.888
20190305,4.9922
20190304,4.9451
20200215,1.8281
20200214,2.2534
20190309,3.9976
20200216,1.3978
20200211,2.1469
20200210,2.1969
20200213,2.2376
20200212,2.1204
20190224,3.4128
20190225,4.7071
20190226,4.7463
20190227,4.9557
20190220,4.4258
20190221,4.482
20190222,4.6352
20190223,3.9419
20200116,5.5943
20200117,5.3945
20200114,5.7316
20200115,5.7944
20190228,5.0904
20200113,5.7701
20200110,6.0943
20200111,5.2534
20190308,4.9549
20200101,4.8455
20200103,6.0868
20200102,5.9979
20200105,4.7818
20200104,5.2029
20200107,6.0436
20200106,6.0214
20200109,5.9743
20190131,3.6224
20200118,4.4559
20200119,4.6577
20190312,5.1551
20190328,4.9295
20190313,5.1635
20190321,5.1187
20190320,5.1074
20190323,4.4036
20190322,5.202
20190325,4.984
20190324,3.808
20190327,5.0228
20190326,5.0368
20190208,1.7057
20190209,1.787
20190202,2.4524
20190203,1.9246
20190201,2.9038
20190206,1.7635
20190207,1.6778
20190204,1.5224
20190205,1.643
20190318,5.0208
20190129,4.0572
20190128,4.1642
20190319,5.1201
20190123,4.605
20190122,4.6233
20190121,4.6732
20190120,3.792
20190127,3.3946
20190126,3.7963
20190125,4.4682
20190124,4.631
20190219,4.2499
20190218,4.4133
20190215,4.0876
20190214,3.9618
20190217,3.2404
20190216,3.5331
20190211,2.9574
20190210,2.0543
20190213,3.7894
20190212,3.4974
20190118,4.8518
20190119,4.2058
20190116,4.7246
20190117,4.7882
20190114,4.8315
20190115,5.0232
20190112,4.2389
20190113,3.858
20200310,4.7669
20200112,4.7174
20200312,4.6304
20200313,4.8473
20200314,3.7614
20200315,3.4627
20200316,5.0267
20200317,4.9966
20200318,4.9425
20200319,4.9848
20200303,4.4017
20200302,4.3391
20200301,2.7155
20200307,3.5741
20200306,4.4962
20200305,4.4055
20200304,4.3127
20200309,4.7527
20200308,3.0871
20200224,3.6939
20200225,3.75
20200226,3.8281
20200227,3.8817
20200220,3.0422
20200221,3.1618
20200222,2.4421
20200223,2.159
20200228,3.9486
20200229,3.1286
20200130,1.1772
20200131,1.199
