Date,Value
20200321,3.8015
20200320,4.6229
20200323,4.7371
20200322,3.6042
20200324,4.7408
20190310,4.2361
20190311,4.8564
20200208,0.8629
20200209,0.8493
20190314,4.8112
20190315,5.1628
20190316,4.5759
20190317,4.1877
20200202,1.1166
20200203,1.1921
20200201,1.1443
20200206,0.953
20200207,0.9452
20200204,1.1172
20200205,1.0459
20200129,1.2261
20200128,1.2475
20200123,3.4368
20200122,4.092
20200121,4.5722
20200120,4.9103
20200127,1.3223
20200126,1.6015
20200125,1.9499
20200124,2.5547
20200311,4.0331
20190130,4.0388
20200217,1.1315
20200108,5.636
20200219,1.1674
20200218,1.1353
20190303,4.2562
20190302,4.3034
20190301,5.0993
20190307,4.726
20190306,4.7261
20190305,4.9231
20190304,4.7259
20200215,0.858
20200214,1.0067
20190309,4.4208
20200216,0.8439
20200211,0.9712
20200210,1.0207
20200213,1.0118
20200212,0.9872
20190224,3.8608
20190225,4.5532
20190226,4.3724
20190227,4.7242
20190220,4.3716
20190221,4.3327
20190222,4.5321
20190223,4.0549
20200116,5.3606
20200117,5.3329
20200114,5.4492
20200115,5.3357
20190228,4.9092
20200113,5.5339
20200110,5.6841
20200111,5.0033
20190308,5.0496
20200101,4.6868
20200103,5.7995
20200102,5.6292
20200105,4.4962
20200104,4.9183
20200107,5.6308
20200106,5.6222
20200109,5.5668
20190131,4.032
20200118,4.5423
20200119,4.9668
20190312,4.8976
20190328,4.7319
20190313,4.898
20190321,4.7561
20190320,4.8794
20190323,4.4098
20190322,5.0715
20190325,4.8732
20190324,4.2222
20190327,4.7466
20190326,4.7493
20190208,2.5657
20190209,2.6332
20190202,3.3612
20190203,2.7359
20190201,3.5791
20190206,2.6269
20190207,2.5302
20190204,2.2837
20190205,2.4553
20190318,4.7686
20190129,4.3005
20190128,4.3943
20190319,4.8348
20190123,4.4135
20190122,4.4806
20190121,4.5346
20190120,3.8189
20190127,3.5775
20190126,3.855
20190125,4.4122
20190124,4.5277
20190219,4.1987
20190218,4.3468
20190215,4.0851
20190214,3.9776
20190217,3.4411
20190216,3.6159
20190211,3.4614
20190210,2.6711
20190213,3.9883
20190212,3.8398
20190118,4.7346
20190119,4.0945
20190116,4.5676
20190117,4.6511
20190114,4.59
20190115,4.7199
20190112,4.0503
20190113,3.8142
20200310,3.9687
20200112,4.6251
20200312,4.05
20200313,4.1789
20200314,3.5326
20200315,3.2854
20200316,4.4432
20200317,4.4917
20200318,4.4948
20200319,4.5287
20200303,3.063
20200302,2.7092
20200301,1.8832
20200307,2.9627
20200306,3.4918
20200305,3.3722
20200304,3.2479
20200309,3.8936
20200308,2.6904
20200224,1.6769
20200225,1.7385
20200226,1.8227
20200227,1.7083
20200220,1.1755
20200221,1.2809
20200222,1.156
20200223,1.1791
20200228,1.9634
20200229,1.8425
20200130,1.1928
20200131,1.1962
