Date,Value
20200321,4.4592
20200320,4.7771
20200323,4.7151
20200322,4.1261
20200324,4.7007
20190310,4.6753
20190311,4.8054
20200208,2.8114
20200209,2.5881
20190314,4.7877
20190315,5.1364
20190316,4.8833
20190317,4.4906
20200202,2.4785
20200203,2.6099
20200201,2.7279
20200206,2.2247
20200207,2.4946
20200204,2.5127
20200205,2.5279
20200129,3.0437
20200128,3.1795
20200123,5.1811
20200122,5.4019
20200121,5.4523
20200120,5.4704
20200127,3.3163
20200126,4.1424
20200125,4.3207
20200124,5.3121
20190130,5.1451
20200217,3.3298
20200108,5.1289
20200219,3.3589
20200218,3.3607
20190303,4.658
20190302,4.5955
20190301,4.9755
20190307,4.7116
20190306,4.6124
20190305,4.7453
20190304,4.7333
20200215,2.3509
20200214,3.1832
20190309,4.5748
20200216,2.7547
20200211,2.6445
20200210,2.8459
20200213,2.9769
20200212,2.8587
20190224,4.2823
20190225,4.612
20190226,4.5369
20190227,4.5824
20190220,4.7181
20190221,4.4517
20190222,4.7299
20190223,4.2406
20200116,5.1345
20200117,5.2799
20200114,5.065
20200115,5.0244
20200112,4.7144
20200113,5.1326
20200110,5.0422
20200111,4.6724
20190308,4.9576
20200101,4.778
20200103,5.071
20200102,5.0703
20200105,4.5679
20200104,4.5928
20200107,5.0225
20200106,5.0833
20200109,5.074
20190131,5.2021
20200118,5.1154
20200119,5.3002
20190312,4.8928
20190328,4.6589
20190313,4.8661
20190321,4.772
20190320,4.8741
20190323,4.5965
20190322,4.8731
20190325,4.8539
20190324,4.4587
20190327,4.7147
20190326,4.697
20190208,5.261
20190209,5.0222
20190202,5.2956
20190203,4.9586
20190201,5.0545
20190206,5.8269
20190207,5.5444
20190204,5.1763
20190205,5.5016
20190318,4.7417
20190129,5.2603
20190128,5.1098
20190319,4.8297
20190123,4.8217
20190122,4.775
20190121,4.7257
20190120,4.3029
20190127,4.5759
20190126,4.603
20190125,4.9225
20190124,4.9365
20190219,4.9374
20190218,4.7787
20190215,4.6409
20190214,4.8889
20190217,4.1563
20190216,4.3483
20190211,4.9863
20190210,4.8514
20190213,4.8944
20190212,5.0694
20190118,4.8796
20190119,4.4199
20190116,4.5371
20190117,4.7084
20190114,4.6071
20190115,4.7005
20190112,4.3565
20190113,4.2403
20190228,4.7733
20200310,4.49
20200311,4.3129
20200312,4.3059
20200313,4.4359
20200314,4.2506
20200315,4.2374
20200316,4.5608
20200317,4.4875
20200318,4.6342
20200319,4.6919
20200303,3.7817
20200302,4.0994
20200301,3.7121
20200307,3.659
20200306,4.0893
20200305,4.1974
20200304,4.0366
20200309,4.1273
20200308,3.895
20200224,4.0458
20200225,3.9458
20200226,3.9222
20200227,3.8385
20200220,3.7138
20200221,3.6244
20200222,3.399
20200223,3.4683
20200228,3.8554
20200229,3.3435
20200130,2.931
20200131,2.8034
