Date,Value
20200321,5.0669
20200320,5.2408
20200323,5.2547
20200322,4.9158
20200324,5.1727
20190310,4.5343
20190311,4.5333
20200208,1.4991
20200209,1.5224
20190314,4.5307
20190315,4.8843
20190316,4.611
20190317,4.3281
20200202,1.7547
20200203,1.7239
20200201,1.84
20200206,1.4436
20200207,1.5093
20200204,1.6258
20200205,1.5786
20200129,2.0723
20200128,2.0693
20200123,5.9174
20200122,6.4061
20200121,6.5026
20200120,6.6697
20200127,2.0675
20200126,2.2724
20200125,2.7779
20200124,4.7635
20190130,5.8492
20200217,1.5408
20200108,5.3484
20200219,1.4252
20200218,1.4795
20190303,4.4971
20190302,4.2389
20190301,4.6977
20190307,4.4631
20190306,4.4078
20190305,4.4303
20190304,4.4533
20200215,1.5423
20200214,1.6466
20190309,4.3767
20200216,1.4955
20200211,1.505
20200210,1.4909
20200213,1.6339
20200212,1.5844
20190224,4.0935
20190225,4.3523
20190226,4.2567
20190227,4.2663
20190220,4.763
20190221,4.3595
20190222,4.5527
20190223,3.9939
20200116,6.0047
20200117,6.107
20200114,5.788
20200115,5.6074
20200112,5.3888
20200113,5.7053
20200110,5.2081
20200111,5.1946
20190308,4.7825
20200101,4.9593
20200103,5.2404
20200102,5.2136
20200105,4.9473
20200104,4.9106
20200107,5.2295
20200106,5.2851
20200109,5.093
20190131,6.0161
20200118,6.1723
20200119,6.4008
20190312,4.5942
20190328,4.3866
20190313,4.561
20190321,4.4786
20190320,4.5882
20190323,4.4385
20190322,4.6773
20190325,4.5893
20190324,4.3451
20190327,4.3323
20190326,4.4428
20190208,6.0293
20190209,5.7396
20190202,6.11
20190203,5.5418
20190201,5.8361
20190206,6.6953
20190207,6.2987
20190204,5.1344
20190205,4.6709
20190318,4.4507
20190129,5.9322
20190128,5.6281
20190319,4.5353
20190123,5.0819
20190122,4.8087
20190121,4.8058
20190120,4.5339
20190127,5.1508
20190126,5.0763
20190125,5.2604
20190124,5.1902
20190219,4.8336
20190218,4.7693
20190215,4.6212
20190214,5.1574
20190217,4.2429
20190216,4.4301
20190211,5.4513
20190210,5.4722
20190213,5.1001
20190212,5.4223
20190118,4.892
20190119,4.5309
20190116,4.6307
20190117,4.7613
20190114,4.4637
20190115,4.7008
20190112,4.3097
20190113,4.3366
20190228,4.6079
20200310,3.0086
20200311,3.1577
20200312,3.2238
20200313,3.7042
20200314,3.9103
20200315,4.4036
20200316,4.5581
20200317,4.7712
20200318,4.9663
20200319,5.0884
20200303,1.6575
20200302,1.6729
20200301,1.6992
20200307,2.6302
20200306,2.4035
20200305,2.3812
20200304,1.7954
20200309,2.5808
20200308,2.5174
20200224,1.5889
20200225,1.5477
20200226,1.5345
20200227,1.5455
20200220,1.4466
20200221,1.4452
20200222,1.4772
20200223,1.495
20200228,1.5328
20200229,1.6253
20200130,1.9667
20200131,1.8751
