Date,Value
20200321,3.8315
20200320,4.1435
20200323,4.1396
20200322,3.7866
20200324,4.1486
20190310,4.0621
20190311,4.1661
20200208,1.4813
20200209,1.5211
20190314,4.1573
20190315,4.5076
20190316,4.2516
20190317,4.0273
20200202,1.8896
20200203,2.0039
20200201,1.87
20200206,1.5703
20200207,1.5834
20200204,1.8969
20200205,1.7672
20200129,2.0081
20200128,2.0364
20200123,4.6497
20200122,4.6921
20200121,4.6617
20200120,4.7171
20200127,2.021
20200126,2.4843
20200125,3.3565
20200124,3.9303
20200311,3.7912
20190130,4.1558
20200217,1.7917
20200108,4.4969
20200219,1.8419
20200218,1.8007
20190303,4.0643
20190302,3.8977
20190301,4.3989
20190307,4.0231
20190306,4.005
20190305,4.1723
20190304,4.0458
20200215,1.5229
20200214,1.6189
20190309,4.1099
20200216,1.5502
20200211,1.6212
20200210,1.6519
20200213,1.6952
20200212,1.6673
20190224,3.771
20190225,3.9561
20190226,3.674
20190227,4.0463
20190220,4.2036
20190221,3.8395
20190222,4.0828
20190223,3.8073
20200116,4.4343
20200117,4.618
20200114,4.4589
20200115,4.235
20190228,4.1778
20200113,4.5426
20200110,4.5049
20200111,4.298
20190308,4.4605
20200101,4.1558
20200103,4.7202
20200102,4.4877
20200105,3.879
20200104,4.1846
20200107,4.4804
20200106,4.4152
20200109,4.3718
20190131,4.3217
20200118,4.3347
20200119,4.5713
20190312,4.2024
20190328,4.0517
20190313,4.1716
20190321,4.0603
20190320,4.1763
20190323,4.045
20190322,4.4034
20190325,4.1569
20190324,4.039
20190327,4.0399
20190326,4.0328
20190208,4.5654
20190209,4.3388
20190202,4.3384
20190203,4.1375
20190201,4.1332
20190206,4.7927
20190207,4.8193
20190204,3.7812
20190205,4.2869
20190318,4.1255
20190129,4.3748
20190128,4.3008
20190319,4.1525
20190123,4.042
20190122,4.008
20190121,4.0181
20190120,3.7556
20190127,3.6974
20190126,3.7972
20190125,4.0596
20190124,4.0807
20190219,4.037
20190218,3.9243
20190215,3.9062
20190214,3.9145
20190217,3.4472
20190216,3.6214
20190211,4.1689
20190210,3.8018
20190213,4.0261
20190212,4.2203
20190118,4.2111
20190119,3.8872
20190116,3.9132
20190117,4.0621
20190114,3.9554
20190115,4.0621
20190112,3.7739
20190113,3.7742
20200310,3.7426
20200112,4.1171
20200312,3.7447
20200313,3.8965
20200314,3.7314
20200315,3.63
20200316,3.9638
20200317,4.008
20200318,3.9989
20200319,4.0246
20200303,3.4987
20200302,3.2087
20200301,3.0274
20200307,3.4812
20200306,3.6915
20200305,3.567
20200304,3.5752
20200309,3.7075
20200308,3.2615
20200224,2.8032
20200225,2.8846
20200226,2.937
20200227,2.4611
20200220,1.7249
20200221,1.9653
20200222,1.9892
20200223,2.2131
20200228,2.951
20200229,3.0558
20200130,2.0083
20200131,1.9631
