Date,Value
20200321,4.627
20200320,4.5176
20200323,4.6514
20200322,4.8148
20200324,4.6666
20190310,4.6623
20190311,4.693
20200208,1.4716
20200209,1.5762
20190314,4.7035
20190315,4.9575
20190316,4.9135
20190317,4.5431
20200202,1.7665
20200203,1.7466
20200201,1.8522
20200206,1.5412
20200207,1.6039
20200204,1.6357
20200205,1.6022
20200129,1.9492
20200128,2.1988
20200123,5.0
20200122,5.6853
20200121,5.7203
20200120,5.7471
20200127,2.219
20200126,2.6282
20200125,3.2879
20200124,3.781
20200311,3.9662
20190130,4.9777
20200217,1.9312
20200108,4.6094
20200219,2.3062
20200218,1.9709
20190303,4.6223
20190302,4.8192
20190301,4.9753
20190307,4.5479
20190306,4.4865
20190305,4.6893
20190304,4.5566
20200215,1.6516
20200214,1.6025
20190309,4.6423
20200216,1.7259
20200211,1.6517
20200210,1.669
20200213,1.7137
20200212,1.6681
20190224,4.2777
20190225,4.4401
20190226,4.4031
20190227,4.5544
20190220,4.7399
20190221,4.5061
20190222,4.596
20200119,5.5755
20200116,5.4836
20200117,5.414
20200114,5.2702
20200115,5.458
20190228,4.7372
20200113,5.2549
20200110,5.2077
20200111,5.0088
20190308,4.8397
20200101,4.9088
20200103,5.2655
20200102,5.2164
20200105,4.276
20200104,5.0089
20200107,4.4037
20200106,4.5735
20200109,4.9694
20190131,5.1671
20200118,5.3218
20190223,4.4197
20190312,4.7082
20190328,4.5977
20190313,4.6885
20190321,4.5995
20190320,4.684
20190323,4.6487
20190322,4.8649
20190325,4.7803
20190324,4.666
20190327,4.656
20190326,4.6503
20190208,5.0053
20190209,4.2007
20190202,5.0268
20190203,4.491
20190201,4.945
20190206,5.2861
20190207,4.8147
20190204,3.4219
20190205,4.354
20190318,4.622
20190129,5.027
20190128,4.9498
20190319,4.6786
20190123,4.7756
20190122,4.6689
20190121,4.5709
20190120,4.2932
20190127,4.5164
20190126,4.584
20190125,4.7976
20190124,4.8609
20190219,4.5934
20190218,4.844
20190215,4.0775
20190214,3.2695
20190217,4.3663
20190216,4.4213
20190211,4.8003
20190210,4.7033
20190213,4.1355
20190212,4.905
20190118,4.5861
20190119,4.3048
20190116,4.4159
20190117,4.501
20190114,4.387
20190115,4.5543
20190112,4.2987
20190113,4.2507
20200310,3.8986
20200112,4.9702
20200312,3.918
20200313,4.0402
20200314,4.2625
20200315,4.3926
20200316,4.2225
20200317,4.3643
20200318,4.4184
20200319,4.4045
20200303,3.3502
20200302,3.2096
20200301,3.2572
20200307,3.8344
20200306,3.5586
20200305,3.4088
20200304,3.3012
20200309,3.6553
20200308,3.8396
20200224,2.6493
20200225,2.7573
20200226,2.7652
20200227,2.6666
20200220,2.387
20200221,2.6601
20200222,2.8294
20200223,2.8491
20200228,2.6797
20200229,2.8331
20200130,2.0063
20200131,1.9244
