Date,Value
20200321,4.3821
20200320,5.0744
20200323,5.0797
20200322,4.2722
20200324,5.0354
20190310,4.2111
20190311,4.6331
20200208,1.5944
20200209,1.5386
20190314,4.5689
20190315,4.8607
20190316,4.4501
20190317,4.1082
20200202,1.6842
20200203,2.0946
20200201,1.7291
20200206,1.7991
20200207,1.8204
20200204,1.8879
20200205,1.8028
20200129,1.8412
20200128,2.0114
20200123,4.1061
20200122,4.4056
20200121,4.5982
20200120,4.8144
20200127,2.5193
20200126,3.0535
20200125,3.3948
20200124,3.7245
20200311,4.6696
20190130,4.1623
20200217,2.3148
20200108,5.3203
20200219,2.3494
20200218,2.2953
20190303,4.0808
20190302,4.2728
20190301,4.7374
20190307,4.4917
20190306,4.451
20190305,4.5617
20190304,4.4358
20200215,1.6543
20200214,2.1137
20190309,4.2615
20200216,1.6142
20200211,2.0575
20200210,2.1135
20200213,2.0602
20200212,2.0786
20190224,3.5501
20190225,4.1345
20190226,4.0991
20190227,4.3484
20190220,4.3189
20190221,4.1985
20200118,4.512
20190223,3.9103
20200116,5.1882
20200117,5.2369
20200114,5.2945
20200115,5.1886
20190228,4.5225
20200113,5.3737
20200110,5.1316
20200111,4.8275
20190308,4.7653
20200101,4.8279
20200103,5.3755
20200102,5.3423
20200105,4.5347
20200104,4.7626
20200107,5.2439
20200106,5.0509
20200109,5.2097
20190131,4.2742
20190222,4.328
20200119,4.8101
20190312,4.6142
20190328,4.4968
20190313,4.5799
20190321,4.5789
20190320,4.5926
20190323,4.3371
20190322,4.7882
20190325,4.599
20190324,4.1962
20190327,4.4872
20190326,4.5107
20190208,3.5716
20190209,3.5724
20190202,3.8415
20190203,3.3469
20190201,3.8811
20190206,3.5883
20190207,3.5143
20190204,3.3171
20190205,3.4527
20190318,4.5702
20190129,4.3155
20190128,4.4906
20190319,4.6008
20190123,4.443
20190122,4.4388
20190121,4.4793
20190120,3.6111
20190127,3.8272
20190126,4.0624
20190125,4.4445
20190124,4.5451
20190219,4.1956
20190218,4.3985
20190215,4.1257
20190214,4.1195
20190217,3.6221
20190216,3.7908
20190211,4.1004
20190210,3.6769
20190213,4.2399
20190212,4.2015
20190118,4.5333
20190119,4.102
20190116,4.5868
20190117,4.56
20190114,4.5996
20190115,4.6964
20190112,4.2536
20190113,4.1109
20200310,4.6416
20200112,4.676
20200312,4.6477
20200313,4.7998
20200314,4.2145
20200315,3.8733
20200316,4.8022
20200317,4.9025
20200318,4.9234
20200319,4.9357
20200303,4.1802
20200302,4.0577
20200301,3.2967
20200307,3.9339
20200306,4.41
20200305,4.2823
20200304,4.2475
20200309,4.544
20200308,3.7444
20200224,3.3592
20200225,3.4281
20200226,3.6055
20200227,3.5344
20200220,2.4031
20200221,2.6401
20200222,2.2238
20200223,2.2782
20200228,3.9236
20200229,3.4576
20200130,1.7493
20200131,1.7631
