Date,Value
20200321,4.8639
20200320,4.8858
20200323,5.0257
20200322,4.7623
20200324,5.0304
20190310,4.7232
20190311,4.4366
20200208,2.2872
20200209,2.3028
20190314,4.4066
20190315,4.797
20190316,4.7758
20190317,4.5026
20200202,2.3736
20200203,2.3432
20200201,2.4839
20200206,2.069
20200207,2.2554
20200204,2.3376
20200205,2.2363
20200129,3.1042
20200128,3.2482
20200123,6.983
20200122,7.267
20200121,7.1913
20200120,7.2514
20200127,3.2387
20200126,3.537
20200125,4.5606
20200124,5.9158
20200311,3.6072
20190130,5.8022
20200217,2.2537
20200108,5.2138
20200219,2.2358
20200218,2.2579
20190303,4.6709
20190302,4.4649
20190301,4.7176
20190307,4.291
20190306,4.3079
20190305,4.389
20190304,4.4097
20200215,1.8997
20200214,2.1669
20190309,4.5785
20200216,2.0239
20200211,2.265
20200210,2.2926
20200213,2.2931
20200212,2.2568
20190224,4.5751
20190225,4.5028
20190226,4.2637
20190227,4.2496
20190220,5.5705
20190221,4.9707
20200118,6.3671
20190223,4.7164
20200116,5.8601
20200117,6.1343
20200114,5.8925
20200115,5.693
20190228,4.5194
20200113,5.8722
20200110,5.1912
20200111,5.3097
20190308,4.742
20200101,4.9228
20200103,5.256
20200102,5.1705
20200105,4.4412
20200104,4.8361
20200107,4.919
20200106,4.7566
20200109,4.9564
20190131,6.1274
20190222,4.966
20200119,6.6925
20190312,4.4549
20190328,4.318
20190313,4.4296
20190321,4.2343
20190320,4.4069
20190323,4.4868
20190322,4.6247
20190325,4.404
20190324,4.4901
20190327,4.3119
20190326,4.3408
20190208,6.8957
20190209,5.9799
20190202,6.666
20190203,6.2019
20190201,6.3596
20190206,7.5547
20190207,7.3415
20190204,5.67
20190205,6.6123
20190318,4.3805
20190129,6.1142
20190128,5.7025
20190319,4.4213
20190123,5.2603
20190122,4.9184
20190121,4.805
20190120,4.587
20190127,5.3636
20190126,5.2352
20190125,5.3194
20190124,5.3549
20190219,5.1507
20190218,5.1813
20190215,5.6107
20190214,5.8945
20190217,5.3609
20190216,5.4162
20190211,6.6752
20190210,5.9345
20190213,6.0848
20190212,6.3805
20190118,4.8939
20190119,4.6446
20190116,4.3616
20190117,4.6278
20190114,4.4207
20190115,4.4687
20190112,4.3992
20190113,4.4362
20200310,3.3574
20200112,5.3989
20200312,3.7005
20200313,3.5813
20200314,3.9451
20200315,4.1638
20200316,4.3289
20200317,4.5237
20200318,4.6249
20200319,4.7399
20200303,2.9408
20200302,2.8811
20200301,2.8325
20200307,3.2102
20200306,3.0664
20200305,3.095
20200304,3.0344
20200309,2.9238
20200308,3.109
20200224,2.6051
20200225,2.574
20200226,2.5804
20200227,2.4062
20200220,2.3097
20200221,2.3072
20200222,2.3644
20200223,2.4067
20200228,2.4333
20200229,2.8424
20200130,2.9487
20200131,2.6773
