Date,Value
20200321,4.537
20200320,4.9258
20200323,4.9769
20200322,4.2012
20200324,4.8975
20190310,4.9303
20190311,5.2921
20200208,1.2612
20200209,1.3428
20190314,5.2521
20190315,5.5957
20190316,5.081
20190317,4.7675
20200202,1.5723
20200203,1.6882
20200201,1.8711
20200206,1.2727
20200207,1.3556
20200204,1.4852
20200205,1.4551
20200129,2.4197
20200128,2.4723
20200123,5.5115
20200122,5.9203
20200121,6.1518
20200120,6.0212
20200127,2.4438
20200126,2.9894
20200125,3.403
20200124,5.1497
20190130,5.8614
20200217,1.6875
20200108,5.7014
20200219,1.7904
20200218,1.7668
20190303,4.8761
20190302,4.8543
20190301,5.4295
20190307,5.1554
20190306,5.1027
20190305,5.2007
20190304,5.1806
20200215,1.2522
20200214,1.5259
20190309,4.7923
20200216,1.379
20200211,1.3919
20200210,1.5014
20200213,1.4926
20200212,1.4862
20190224,4.5775
20190225,5.0824
20190226,4.9777
20190227,5.0503
20190220,5.285
20190221,4.9744
20190222,5.235
20190223,4.503
20200116,5.7143
20200117,6.0275
20200114,5.7593
20200115,5.7716
20200112,5.2155
20200113,5.9186
20200110,5.7834
20200111,5.2142
20190308,5.3553
20200101,5.3301
20200103,5.9128
20200102,5.747
20200105,5.1958
20200104,5.2735
20200107,5.7991
20200106,5.8033
20200109,5.7475
20190131,5.7124
20200118,5.5208
20200119,5.9974
20190312,5.3472
20190328,5.1089
20190313,5.3539
20190321,5.2835
20190320,5.3616
20190323,4.9179
20190322,5.4708
20190325,5.3452
20190324,4.7258
20190327,5.2112
20190326,5.2063
20190208,5.693
20190209,5.5734
20190202,5.5926
20190203,5.1438
20190201,5.6027
20190206,5.9266
20190207,5.3393
20190204,5.0602
20190205,5.4934
20190318,5.1997
20190129,5.6763
20190128,5.748
20190319,5.3107
20190123,5.1592
20190122,5.1419
20190121,5.1984
20190120,4.7558
20190127,4.9602
20190126,5.1523
20190125,5.4244
20190124,5.5517
20190219,5.2963
20190218,5.1748
20190215,5.3548
20190214,5.6279
20190217,4.6055
20190216,4.9095
20190211,5.8041
20190210,5.5372
20190213,5.719
20190212,5.9738
20190118,5.4531
20190119,4.8943
20190116,5.1068
20190117,5.28
20190114,5.1577
20190115,5.2402
20190112,4.9212
20190113,4.6306
20190228,5.2518
20200310,4.0462
20200311,4.0128
20200312,3.7818
20200313,4.1185
20200314,3.9816
20200315,3.9196
20200316,4.4319
20200317,4.3087
20200318,4.5793
20200319,4.7053
20200303,2.6572
20200302,2.9307
20200301,2.2027
20200307,2.755
20200306,2.9605
20200305,3.0771
20200304,2.9107
20200309,3.5098
20200308,2.8142
20200224,2.2128
20200225,2.2309
20200226,2.3142
20200227,2.334
20200220,1.851
20200221,1.7697
20200222,1.6018
20200223,1.5961
20200228,2.4981
20200229,2.1559
20200130,2.2314
20200131,2.043
