Date,Value
20200321,4.3464
20200320,4.3441
20200323,4.4035
20200322,4.4707
20200324,4.3436
20190310,4.3109
20190311,4.3529
20200208,2.0
20200209,2.0967
20190314,4.3543
20190315,4.6239
20190316,4.4543
20190317,4.255
20200202,2.0116
20200203,2.1074
20200201,2.4658
20200206,1.8372
20200207,1.9775
20200204,1.9133
20200205,1.8681
20200129,2.659
20200128,2.7769
20200123,4.6841
20200122,5.0482
20200121,5.0045
20200120,5.0032
20200127,2.9874
20200126,3.5248
20200125,2.772
20200124,3.8182
20200311,3.9881
20190130,4.4937
20200217,2.5698
20200108,4.3937
20200219,2.6867
20200218,2.5975
20190303,4.3062
20190302,4.3749
20190301,4.5862
20190307,4.3092
20190306,4.2212
20190305,4.3547
20190304,4.2767
20200215,2.1417
20200214,2.3943
20190309,4.2574
20200216,2.2885
20200211,2.3691
20200210,2.3651
20200213,2.4672
20200212,2.4048
20190224,4.1915
20190225,4.2326
20190226,4.1213
20190227,4.248
20190220,4.6059
20190221,4.4184
20190222,4.4103
20190223,4.2323
20200116,4.8924
20200117,4.8478
20200114,4.8786
20200115,4.8811
20190228,4.4067
20200113,4.6556
20200110,4.6217
20200111,4.3426
20190308,4.6438
20200101,4.7639
20200103,4.8671
20200102,4.8724
20200105,3.7436
20200104,4.5123
20200107,4.1405
20200106,3.7008
20200109,4.4627
20190131,4.594
20200118,4.6725
20200119,4.8598
20190312,4.3441
20190328,4.2365
20190313,4.3736
20190321,4.3347
20190320,4.2793
20190323,4.1995
20190322,4.4537
20190325,4.4975
20190324,4.4351
20190327,4.297
20190326,4.3107
20190208,4.8714
20190209,4.5322
20190202,4.552
20190203,4.0107
20190201,4.4287
20190206,4.5454
20190207,4.5824
20190204,3.5957
20190205,4.0705
20190318,4.3502
20190129,4.5778
20190128,4.5493
20190319,4.3871
20190123,4.3632
20190122,4.3388
20190121,4.2909
20190120,4.1429
20190127,4.1212
20190126,4.0132
20190125,4.4899
20190124,4.4541
20190219,4.3978
20190218,4.3868
20190215,4.2075
20190214,3.7382
20190217,4.0491
20190216,4.1364
20190211,4.6712
20190210,4.7851
20190213,4.5771
20190212,4.7214
20190118,4.489
20190119,4.2066
20190116,4.1648
20190117,4.3269
20190114,4.2782
20190115,4.2648
20190112,4.1237
20190113,4.1876
20200310,3.9087
20200112,4.3597
20200312,3.9423
20200313,4.0402
20200314,4.0038
20200315,4.1916
20200316,4.2189
20200317,4.2225
20200318,4.0887
20200319,4.2372
20200303,3.5652
20200302,3.6167
20200301,3.5608
20200307,3.8473
20200306,3.7418
20200305,3.6918
20200304,3.6641
20200309,3.8348
20200308,3.6612
20200224,3.2267
20200225,3.2334
20200226,3.2546
20200227,2.9436
20200220,2.6649
20200221,2.6994
20200222,2.8633
20200223,3.022
20200228,3.3555
20200229,3.4704
20200130,2.9646
20200131,2.7945
