Date,Value
20200321,5.2571
20200320,5.3531
20200323,5.4669
20200322,5.1597
20200324,5.4298
20190310,5.1006
20190311,5.1484
20200208,1.6836
20200209,1.7599
20190314,5.1513
20190315,5.5553
20190316,5.4171
20190317,4.9938
20200202,1.9922
20200203,2.114
20200201,2.0427
20200206,1.523
20200207,1.7305
20200204,2.0026
20200205,1.7271
20200129,2.2802
20200128,2.2939
20200123,5.8204
20200122,6.2124
20200121,6.2383
20200120,6.457
20200127,2.263
20200126,2.8759
20200125,3.3548
20200124,4.7256
20200311,5.1594
20190130,5.3624
20200217,2.1595
20200108,5.6372
20200219,2.2411
20200218,2.2095
20190303,5.0146
20190302,4.8878
20190301,5.4077
20190307,5.0068
20190306,4.9632
20190305,5.1647
20190304,5.0282
20200215,1.699
20200214,1.9833
20190309,5.0718
20200216,1.8277
20200211,1.9814
20200210,1.9971
20200213,1.9925
20200212,1.9854
20190224,4.6871
20190225,4.9131
20190226,4.8576
20190227,5.0259
20190220,5.3949
20190221,5.093
20190222,5.1444
20190223,4.8783
20200116,6.1775
20200117,6.0855
20200114,5.994
20200115,6.0477
20190228,5.2348
20200113,6.0061
20200110,5.8236
20200111,5.5647
20190308,5.4582
20200101,5.3274
20200103,5.891
20200102,5.7095
20200105,4.6699
20200104,5.5547
20200107,5.0563
20200106,5.3827
20200109,5.7141
20190131,5.6556
20200118,5.9701
20200119,6.2518
20190312,5.1689
20190328,4.9985
20190313,5.1492
20190321,5.0428
20190320,5.1992
20190323,5.0964
20190322,5.3949
20190325,5.1635
20190324,5.0677
20190327,5.0188
20190326,4.9981
20190208,4.806
20190209,4.6747
20190202,5.6033
20190203,5.1916
20190201,5.4434
20190206,5.7456
20190207,5.0819
20190204,4.5776
20190205,5.1616
20190318,5.1137
20190129,5.7771
20190128,5.5795
20190319,5.1626
20190123,5.3491
20190122,5.2372
20190121,5.14
20190120,4.7899
20190127,5.155
20190126,5.1212
20190125,5.2749
20190124,5.5388
20190219,5.1818
20190218,5.2226
20190215,4.825
20190214,4.2487
20190217,4.8049
20190216,4.8935
20190211,5.4861
20190210,4.8336
20190213,5.0641
20190212,5.4207
20190118,5.2956
20190119,4.9692
20190116,4.8907
20190117,5.0931
20190114,5.0005
20190115,5.0046
20190112,4.8825
20190113,4.6897
20200310,5.0851
20200112,5.5256
20200312,5.1773
20200313,5.039
20200314,4.9594
20200315,4.9656
20200316,5.2166
20200317,5.2521
20200318,5.3056
20200319,5.2731
20200303,4.6713
20200302,4.692
20200301,4.2927
20200307,4.835
20200306,4.9238
20200305,4.8406
20200304,4.7714
20200309,4.5548
20200308,4.7334
20200224,4.2043
20200225,4.1278
20200226,3.9332
20200227,3.5603
20200220,2.292
20200221,2.8788
20200222,3.2758
20200223,3.5211
20200228,4.0628
20200229,4.1541
20200130,2.363
20200131,2.2162
