Date,Value
20200321,4.3493
20200320,4.6783
20200323,4.553
20200322,4.305
20200324,4.5679
20190310,4.0381
20190311,4.184
20200208,2.301
20200209,2.2338
20190314,4.1188
20190315,4.5598
20190316,4.1068
20190317,3.9404
20200202,2.3058
20200203,2.6366
20200201,2.5859
20200206,2.5245
20200207,2.4521
20200204,2.5292
20200205,2.421
20200129,3.1621
20200128,3.0802
20200123,5.3787
20200122,5.4236
20200121,5.2924
20200120,5.2426
20200127,3.5163
20200126,4.1025
20200125,3.6659
20200124,4.7563
20200311,4.3213
20190130,4.5731
20200217,2.621
20200108,4.8224
20200219,2.9224
20200218,2.6722
20190303,4.0554
20190302,4.1025
20190301,4.4775
20190307,4.0088
20190306,3.9751
20190305,4.1881
20190304,4.0627
20200215,2.1278
20200214,2.3981
20190309,3.8933
20200216,2.2456
20200211,2.541
20200210,2.5201
20200213,2.4994
20200212,2.567
20190224,3.8221
20190225,4.0779
20190226,4.0415
20190227,4.1637
20190220,4.5112
20190221,4.0836
20200118,4.6856
20190223,3.7804
20200116,5.1387
20200117,4.9605
20200114,4.9708
20200115,5.0405
20190228,4.242
20200113,4.9991
20200110,4.812
20200111,4.8029
20190308,4.3675
20200101,4.5668
20200103,4.9021
20200102,4.7674
20200105,4.3069
20200104,4.3253
20200107,4.7467
20200106,4.7404
20200109,4.7974
20190131,4.7143
20190222,4.2145
20200119,5.0633
20190312,4.2013
20190328,4.0492
20190313,4.184
20190321,4.1808
20190320,4.146
20190323,3.8835
20190322,4.3759
20190325,4.1193
20190324,3.9816
20190327,4.0613
20190326,4.0306
20190208,4.4769
20190209,4.4992
20190202,4.8703
20190203,4.5878
20190201,4.5879
20190206,4.8178
20190207,4.7706
20190204,4.4538
20190205,4.6358
20190318,4.0376
20190129,4.4959
20190128,4.4895
20190319,4.1013
20190123,4.3186
20190122,4.2154
20190121,4.1818
20190120,3.9592
20190127,4.0274
20190126,4.0387
20190125,4.2747
20190124,4.4013
20190219,4.3659
20190218,4.3787
20190215,4.2622
20190214,4.4717
20190217,3.7798
20190216,3.965
20190211,4.5505
20190210,4.334
20190213,4.5563
20190212,4.5896
20190118,4.3434
20190119,4.0109
20190116,4.2672
20190117,4.3053
20190114,4.3597
20190115,4.2988
20190112,3.7899
20190113,3.8822
20200310,4.2697
20200112,4.7307
20200312,4.3748
20200313,4.409
20200314,4.2135
20200315,4.1785
20200316,4.3711
20200317,4.383
20200318,4.4436
20200319,4.4604
20200303,4.0862
20200302,4.2251
20200301,3.7425
20200307,4.0163
20200306,4.3257
20200305,4.2788
20200304,4.2662
20200309,4.2792
20200308,4.0654
20200224,3.8622
20200225,3.8897
20200226,3.8636
20200227,3.8686
20200220,3.0238
20200221,3.473
20200222,3.2463
20200223,3.3308
20200228,4.0824
20200229,3.9368
20200130,2.8511
20200131,2.7383
