Date,Value
20200321,4.5634
20200320,5.0066
20200323,5.0151
20200322,4.7131
20200324,5.003
20190310,4.6159
20190311,4.7983
20200208,2.3813
20200209,2.4
20190314,4.7614
20190315,5.1414
20190316,4.7527
20190317,4.5689
20200202,2.3482
20200203,2.7382
20200201,2.2636
20200206,2.3028
20200207,2.4129
20200204,2.6041
20200205,2.4847
20200129,2.689
20200128,2.7917
20200123,4.7623
20200122,5.1625
20200121,5.239
20200120,5.3214
20200127,2.8614
20200126,3.0382
20200125,3.1211
20200124,3.9141
20200311,4.635
20190130,4.8077
20200217,2.6744
20200108,5.0123
20200219,2.7754
20200218,2.6751
20190303,4.5758
20190302,4.4493
20190301,5.0181
20190307,4.6355
20190306,4.6039
20190305,4.7656
20190304,4.685
20200215,2.1321
20200214,2.3836
20190309,4.5724
20200216,2.2424
20200211,2.3653
20200210,2.51
20200213,2.4317
20200212,2.3717
20190224,4.4162
20190225,4.5229
20190226,4.2391
20190227,4.5811
20190220,4.7663
20190221,4.5686
20190222,4.7643
20190223,4.5278
20200116,4.6364
20200117,5.2565
20200114,5.4163
20200115,5.1277
20190228,4.7264
20200113,5.4821
20200110,4.7646
20200111,4.7683
20190308,5.0842
20200101,5.1004
20200103,5.5166
20200102,5.3753
20200105,3.6736
20200104,5.1245
20200107,4.39
20200106,4.5713
20200109,4.6473
20190131,4.5915
20200118,4.8907
20200119,5.2149
20190312,4.8152
20190328,4.6162
20190313,4.8082
20190321,4.6963
20190320,4.7785
20190323,4.6055
20190322,5.0304
20190325,4.8137
20190324,4.6555
20190327,4.6917
20190326,4.689
20190208,4.4405
20190209,4.3083
20190202,4.6608
20190203,4.1781
20190201,4.5729
20190206,4.5719
20190207,4.4276
20190204,3.6848
20190205,4.1284
20190318,4.8116
20190129,4.8675
20190128,4.8701
20190319,4.7423
20190123,4.6922
20190122,4.6843
20190121,4.7589
20190120,4.3609
20190127,4.2292
20190126,4.2992
20190125,4.6831
20190124,4.6958
20190219,4.8257
20190218,4.1712
20190215,4.5386
20190214,4.2567
20190217,4.0879
20190216,4.173
20190211,4.7405
20190210,4.0962
20190213,4.6209
20190212,4.8921
20190118,4.9287
20190119,4.7006
20190116,4.6711
20190117,4.7999
20190114,4.6348
20190115,4.7357
20190112,4.3495
20190113,4.3515
20200310,4.5794
20200112,4.86
20200312,4.5867
20200313,4.7481
20200314,4.4242
20200315,4.4116
20200316,4.865
20200317,4.8326
20200318,4.7752
20200319,4.8124
20200303,4.2428
20200302,4.2169
20200301,3.8881
20200307,4.2261
20200306,4.5048
20200305,4.3134
20200304,4.2992
20200309,4.5411
20200308,4.0937
20200224,3.3933
20200225,3.4854
20200226,3.547
20200227,3.0736
20200220,2.6156
20200221,2.8715
20200222,2.8043
20200223,3.0223
20200228,3.7322
20200229,3.8074
20200130,2.7717
20200131,2.7174
