Date,Value
20200321,4.9466
20200320,5.3045
20200323,5.4363
20200322,4.7392
20200324,5.4202
20190310,4.7298
20190311,5.1542
20200208,1.8935
20200209,1.945
20190314,5.1869
20190315,5.3986
20190316,5.0724
20190317,4.6225
20200202,1.7728
20200203,2.0076
20200201,1.888
20200206,1.8714
20200207,1.9152
20200204,1.8856
20200205,1.8612
20200129,1.7746
20200128,1.9269
20200123,4.3796
20200122,4.8433
20200121,5.0842
20200120,5.3488
20200127,2.4416
20200126,2.6424
20200125,3.0449
20200124,3.5752
20200311,4.5577
20190130,4.6642
20200217,2.4398
20200108,5.4105
20200219,2.791
20200218,2.6788
20190303,4.6568
20190302,4.984
20190301,5.3774
20190307,5.0797
20190306,5.0649
20190305,5.2624
20190304,5.0921
20200215,1.6585
20200214,2.4775
20190309,4.8896
20200216,1.6837
20200211,2.3688
20200210,2.444
20200213,2.5383
20200212,2.4259
20190224,4.2819
20190225,4.9038
20190226,4.8726
20190227,5.0689
20190220,4.8471
20190221,4.7893
20200118,5.1619
20200119,5.3277
20200116,5.8167
20200117,5.7353
20200114,5.7751
20200115,5.7956
20190228,5.2177
20200113,5.8087
20200110,6.0431
20200111,5.4848
20190308,5.313
20200101,5.1891
20200103,6.0308
20200102,5.9633
20200105,5.1037
20200104,5.4334
20200107,5.6253
20200106,5.9002
20200109,5.8834
20190131,4.5694
20190222,4.8691
20190223,4.5176
20190312,5.2428
20190328,5.1418
20190313,5.2557
20190321,5.162
20190320,5.0845
20190323,4.9392
20190322,5.3976
20190325,5.2942
20190324,4.7229
20190327,5.1958
20190326,5.1834
20190208,3.7205
20190209,3.6056
20190202,4.0599
20190203,3.4959
20190201,4.1582
20190206,3.4447
20190207,3.9901
20190204,3.0685
20190205,3.2566
20190318,5.142
20190129,4.8248
20190128,4.9039
20190319,5.2605
20190123,4.8912
20190122,4.8789
20190121,4.9013
20190120,4.386
20190127,4.2819
20190126,4.4733
20190125,4.88
20190124,5.0681
20190219,4.3695
20190218,4.8454
20190215,4.3711
20190214,4.5982
20190217,4.0788
20190216,4.2342
20190211,4.3405
20190210,3.7486
20190213,4.543
20190212,4.5919
20190118,5.1821
20190119,4.7138
20190116,4.9217
20190117,5.0519
20190114,5.0269
20190115,5.0345
20190112,4.5938
20190113,4.2882
20200310,4.392
20200112,5.1778
20200312,4.6617
20200313,4.7495
20200314,4.4667
20200315,4.3031
20200316,5.086
20200317,5.1628
20200318,5.2233
20200319,5.1838
20200303,3.885
20200302,3.8532
20200301,2.9407
20200307,3.5517
20200306,4.1393
20200305,4.0546
20200304,3.9554
20200309,4.3497
20200308,3.6101
20200224,3.2802
20200225,3.1496
20200226,3.3073
20200227,3.3452
20200220,2.9038
20200221,2.88
20200222,2.6755
20200223,2.573
20200228,3.2339
20200229,3.1392
20200130,1.7748
20200131,1.9308
