Date,Value
20200321,4.6878
20200320,4.8567
20200323,4.7713
20200322,4.3869
20200324,4.7367
20190310,4.7114
20190311,4.7952
20200208,1.841
20200209,1.8236
20190314,4.7466
20190315,5.1517
20190316,4.8745
20190317,4.4968
20200202,2.0875
20200203,2.2031
20200201,2.3399
20200206,1.7804
20200207,1.8849
20200204,2.1181
20200205,2.0643
20200129,2.5914
20200128,2.6067
20200123,6.3429
20200122,6.7757
20200121,6.7632
20200120,6.679
20200127,2.6898
20200126,3.3624
20200125,4.6902
20200124,5.7897
20190130,6.1338
20200217,2.4981
20200108,5.289
20200219,2.9262
20200218,2.8303
20190303,4.6552
20190302,4.5237
20190301,4.9181
20190307,4.632
20190306,4.5963
20190305,4.7051
20190304,4.6992
20200215,1.8514
20200214,2.0774
20190309,4.5605
20200216,2.1004
20200211,1.726
20200210,1.8594
20200213,1.9461
20200212,1.8673
20190224,4.3529
20190225,4.6452
20190226,4.5091
20190227,4.5308
20190220,5.25
20190221,4.7023
20190222,4.8912
20190223,4.3271
20200116,5.8835
20200117,6.1058
20200114,5.6857
20200115,5.6062
20200112,5.304
20200113,5.6988
20200110,5.3409
20200111,5.1215
20190308,4.9269
20200101,5.0673
20200103,5.3538
20200102,5.2968
20200105,4.8869
20200104,4.9234
20200107,5.2651
20200106,5.35
20200109,5.2762
20190131,6.2647
20200118,5.994
20200119,6.3341
20190312,4.8386
20190328,4.543
20190313,4.8379
20190321,4.7037
20190320,4.873
20190323,4.6312
20190322,4.9378
20190325,4.8117
20190324,4.5136
20190327,4.6804
20190326,4.6821
20190208,7.0278
20190209,6.6244
20190202,6.433
20190203,5.9117
20190201,6.1139
20190206,7.5224
20190207,6.9191
20190204,5.5883
20190205,6.5554
20190318,4.7342
20190129,6.0319
20190128,5.9171
20190319,4.7856
20190123,5.1479
20190122,4.9995
20190121,4.9741
20190120,4.7158
20190127,5.3678
20190126,5.3336
20190125,5.4333
20190124,5.3985
20190219,5.1325
20190218,5.0773
20190215,5.4012
20190214,5.8027
20190217,4.6728
20190216,4.9752
20190211,6.1231
20190210,6.299
20190213,5.9505
20190212,6.2635
20190118,4.8673
20190119,4.6053
20190116,4.6446
20190117,4.7559
20190114,4.7324
20190115,4.8172
20190112,4.5899
20190113,4.5217
20190228,4.7533
20200310,4.5798
20200311,4.4784
20200312,4.2182
20200313,4.5174
20200314,4.5473
20200315,4.4925
20200316,4.5955
20200317,4.4983
20200318,4.6681
20200319,4.7219
20200303,3.8015
20200302,4.2516
20200301,3.9763
20200307,3.9667
20200306,3.8834
20200305,4.2828
20200304,4.0708
20200309,4.1791
20200308,3.9223
20200224,3.9242
20200225,3.9391
20200226,3.9801
20200227,3.9229
20200220,3.2169
20200221,3.2133
20200222,3.4123
20200223,3.5273
20200228,4.0406
20200229,3.7093
20200130,2.5374
20200131,2.4684
