Date,Value
20200321,4.713
20200320,5.1396
20200323,5.069
20200322,4.4704
20200324,5.0962
20190310,4.4996
20190311,4.6332
20200208,1.8093
20200209,1.9058
20190314,4.5075
20190315,4.9906
20190316,4.5559
20190317,4.2544
20200202,2.2906
20200203,2.253
20200201,2.6251
20200206,1.6461
20200207,1.8285
20200204,1.9888
20200205,1.8939
20200129,2.8521
20200128,2.9873
20200123,5.975
20200122,6.4456
20200121,6.5468
20200120,6.5383
20200127,3.1348
20200126,3.8754
20200125,3.6839
20200124,4.7129
20200311,4.875
20190130,5.7072
20200217,3.1062
20200108,5.487
20200219,3.7192
20200218,3.5008
20190303,4.3714
20190302,4.1819
20190301,4.6906
20190307,4.5257
20190306,4.4681
20190305,4.4742
20190304,4.5533
20200215,1.9048
20200214,2.1258
20190309,4.2226
20200216,2.1386
20200211,1.9604
20200210,2.0895
20200213,2.0553
20200212,2.0165
20190224,4.0967
20190225,4.5418
20190226,4.4264
20190227,4.3666
20190220,4.7152
20190221,4.4578
20190222,4.848
20190223,4.0607
20200116,5.5522
20200117,5.8995
20200114,5.654
20200115,5.4041
20190228,4.6713
20200113,5.6936
20200110,5.4719
20200111,4.8121
20190308,4.7886
20200101,5.0786
20200103,5.4992
20200102,5.4355
20200105,4.8583
20200104,4.8408
20200107,5.3014
20200106,5.4886
20200109,5.4862
20190131,5.8228
20200118,5.6745
20200119,6.1235
20190312,4.7157
20190328,4.4911
20190313,4.7257
20190321,4.5292
20190320,4.7352
20190323,4.3473
20190322,4.7775
20190325,4.6133
20190324,4.281
20190327,4.5651
20190326,4.5923
20190208,5.9161
20190209,5.4666
20190202,5.7942
20190203,5.3215
20190201,5.5582
20190206,6.9258
20190207,5.9476
20190204,4.4292
20190205,5.6775
20190318,4.5633
20190129,5.6056
20190128,5.42
20190319,4.6886
20190123,4.7967
20190122,4.7271
20190121,4.8158
20190120,4.3551
20190127,4.7477
20190126,4.71
20190125,5.0161
20190124,4.9936
20190219,4.91
20190218,4.9012
20190215,5.114
20190214,5.5105
20190217,4.1584
20190216,4.5809
20190211,5.5997
20190210,5.4522
20190213,5.6898
20190212,5.8148
20190118,4.8896
20190119,4.5729
20190116,4.5237
20190117,4.7066
20190114,4.5342
20190115,4.6108
20190112,4.2705
20190113,4.1499
20200310,4.919
20200112,5.1798
20200312,4.3976
20200313,4.7763
20200314,4.6684
20200315,4.6342
20200316,4.9576
20200317,4.7832
20200318,5.0379
20200319,5.0909
20200303,4.2334
20200302,4.7858
20200301,4.1121
20200307,4.2004
20200306,4.2533
20200305,4.6732
20200304,4.4256
20200309,4.6167
20200308,4.0772
20200224,4.7584
20200225,4.636
20200226,4.6155
20200227,4.5423
20200220,4.2165
20200221,4.3929
20200222,4.2761
20200223,4.2841
20200228,4.6504
20200229,4.3183
20200130,2.6944
20200131,2.6222
