Date,Value
20200321,4.459
20200320,4.575
20200323,4.5525
20200322,4.1788
20200324,4.5153
20190310,4.406
20190311,4.3277
20200208,3.3383
20200209,3.2844
20190314,4.3461
20190315,4.7216
20190316,4.487
20190317,4.1942
20200202,2.6444
20200203,2.621
20200201,2.9942
20200206,2.5141
20200207,2.9297
20200204,2.6113
20200205,2.7137
20200129,3.8463
20200128,4.1648
20200123,5.9874
20200122,6.2193
20200121,6.0857
20200120,6.0087
20200127,4.2903
20200126,5.0403
20200125,5.3873
20200124,5.4623
20200311,4.3293
20190130,5.4947
20200217,3.004
20200108,4.7498
20200219,3.1517
20200218,3.0396
20190303,4.3784
20190302,4.1962
20190301,4.5639
20190307,4.2554
20190306,4.1773
20190305,4.2582
20190304,4.2703
20200215,2.3545
20200214,2.8493
20190309,4.2359
20200216,2.6326
20200211,3.1478
20200210,3.2474
20200213,2.9742
20200212,3.128
20190224,4.0033
20190225,4.1777
20190226,4.1045
20190227,4.0954
20190220,4.734
20190221,4.2355
20190222,4.4569
20190223,3.9494
20200116,5.1907
20200117,5.384
20200114,5.0036
20200115,4.8737
20190228,4.3638
20200113,4.9152
20200110,4.6035
20200111,4.6298
20190308,4.6242
20200101,4.3929
20200103,4.6205
20200102,4.6525
20200105,4.1505
20200104,4.1881
20200107,4.6566
20200106,4.5316
20200109,4.5455
20190131,5.7507
20200118,5.4873
20200119,5.6831
20190312,4.418
20190328,4.1824
20190313,4.3854
20190321,4.3577
20190320,4.442
20190323,4.2082
20190322,4.4052
20190325,4.3051
20190324,4.1351
20190327,4.2271
20190326,4.2456
20190208,6.4502
20190209,6.0389
20190202,5.9913
20190203,5.621
20190201,5.6038
20190206,7.0428
20190207,6.7676
20190204,5.3437
20190205,6.1932
20190318,4.2804
20190129,5.5666
20190128,5.2849
20190319,4.3821
20190123,4.7533
20190122,4.6894
20190121,4.6222
20190120,4.3472
20190127,4.7831
20190126,4.7025
20190125,4.8736
20190124,4.84
20190219,4.8154
20190218,4.6741
20190215,4.6607
20190214,5.081
20190217,4.1949
20190216,4.3914
20190211,5.5537
20190210,5.6253
20190213,5.1816
20190212,5.5188
20190118,4.6267
20190119,4.3415
20190116,4.0618
20190117,4.3443
20190114,4.2028
20190115,4.3891
20190112,4.1002
20190113,4.1371
20200310,4.3932
20200112,4.675
20200312,4.353
20200313,4.4293
20200314,4.3352
20200315,4.3276
20200316,4.4287
20200317,4.3948
20200318,4.467
20200319,4.5037
20200303,3.7388
20200302,3.8956
20200301,3.8544
20200307,3.9285
20200306,4.0201
20200305,4.1704
20200304,4.1047
20200309,4.0692
20200308,3.9799
20200224,4.4024
20200225,4.2647
20200226,4.1788
20200227,3.9432
20200220,3.6171
20200221,3.5928
20200222,3.816
20200223,3.9708
20200228,3.7928
20200229,3.538
20200130,3.6476
20200131,3.3078
