Date,Value
20200321,4.1905
20200320,4.4815
20200323,4.4395
20200322,3.936
20200324,4.4234
20190310,4.48
20190311,4.4374
20200208,2.4745
20200209,2.5191
20190314,4.4476
20190315,4.7513
20190316,4.5939
20190317,4.2789
20200202,1.9499
20200203,2.0552
20200201,2.0533
20200206,1.836
20200207,2.0949
20200204,1.9695
20200205,2.0547
20200129,2.7078
20200128,3.0944
20200123,5.7668
20200122,6.0452
20200121,5.978
20200120,6.0843
20200127,3.1014
20200126,3.8116
20200125,3.6436
20200124,4.7834
20200311,4.0999
20190130,5.4277
20200217,2.5951
20200108,4.9419
20200219,2.6051
20200218,2.6221
20190303,4.4591
20190302,4.2874
20190301,4.6423
20190307,4.3696
20190306,4.2856
20190305,4.3916
20190304,4.3407
20200215,1.9983
20200214,2.449
20190309,4.3535
20200216,2.2741
20200211,2.3141
20200210,2.4322
20200213,2.4878
20200212,2.4255
20190224,4.1181
20190225,4.2694
20190226,4.198
20190227,4.2232
20190220,4.5335
20190221,4.2373
20200118,5.6404
20190223,4.0595
20200116,5.4881
20200117,5.6237
20200114,5.2726
20200115,5.1364
20190228,4.4997
20200113,5.2279
20200110,4.9064
20200111,4.8123
20190308,4.6777
20200101,4.6457
20200103,4.8292
20200102,4.8293
20200105,4.4163
20200104,4.4166
20200107,4.9573
20200106,4.8501
20200109,4.7757
20190131,5.6549
20190222,4.4932
20200119,5.8101
20190312,4.519
20190328,4.2962
20190313,4.4725
20190321,4.4288
20190320,4.5306
20190323,4.3457
20190322,4.5197
20190325,4.3984
20190324,4.262
20190327,4.2751
20190326,4.3797
20190208,6.0104
20190209,5.6947
20190202,5.7135
20190203,5.2773
20190201,5.4102
20190206,6.7315
20190207,6.2308
20190204,4.788
20190205,5.7597
20190318,4.3811
20190129,5.5952
20190128,5.331
20190319,4.4583
20190123,4.8222
20190122,4.6808
20190121,4.6831
20190120,4.4136
20190127,4.8717
20190126,4.79
20190125,5.0009
20190124,4.9704
20190219,4.8378
20190218,4.8029
20190215,4.7821
20190214,5.2284
20190217,4.3693
20190216,4.6346
20190211,5.5443
20190210,5.6381
20190213,5.2682
20190212,5.5563
20190118,4.7653
20190119,4.4059
20190116,4.3728
20190117,4.569
20190114,4.3575
20190115,4.6119
20190112,4.1902
20190113,4.1964
20200310,4.1669
20200112,4.8867
20200312,4.0502
20200313,4.1702
20200314,4.02
20200315,4.0558
20200316,4.2285
20200317,4.2234
20200318,4.3005
20200319,4.3698
20200303,3.5354
20200302,3.7277
20200301,3.7614
20200307,3.7723
20200306,3.6645
20200305,4.0413
20200304,3.9262
20200309,3.8306
20200308,3.6361
20200224,3.8306
20200225,3.7524
20200226,3.6651
20200227,3.6054
20200220,2.9267
20200221,2.845
20200222,3.1239
20200223,3.3321
20200228,3.4861
20200229,3.396
20200130,2.432
20200131,2.2324
