Date,Value
20200321,5.1226
20200320,5.3985
20200323,5.3561
20200322,5.1283
20200324,5.336
20190310,4.7671
20190311,4.8834
20200208,2.5349
20200209,2.6109
20190314,4.9138
20190315,5.1558
20190316,4.9907
20190317,4.7366
20200202,2.4103
20200203,2.6284
20200201,2.4635
20200206,2.5135
20200207,2.4969
20200204,2.5776
20200205,2.5897
20200129,3.0132
20200128,3.2006
20200123,4.9983
20200122,5.3342
20200121,5.4056
20200120,5.5165
20200127,3.4156
20200126,4.2011
20200125,4.0012
20200124,4.2498
20200311,4.9603
20190130,4.7959
20200217,3.0893
20200108,5.2053
20200219,3.1265
20200218,3.0705
20190303,4.7773
20190302,4.8414
20190301,5.0873
20190307,4.7533
20190306,4.7236
20190305,4.9082
20190304,4.7962
20200215,2.3984
20200214,2.5484
20190309,4.8051
20200216,2.6884
20200211,2.6804
20200210,2.7285
20200213,2.6904
20200212,2.7009
20190224,4.4972
20190225,4.6207
20190226,4.5458
20190227,4.7724
20190220,4.91
20190221,4.7561
20190222,4.9192
20200119,5.4238
20200116,5.1731
20200117,5.4927
20200114,5.6035
20200115,5.5344
20190228,4.8845
20200113,5.66
20200110,5.334
20200111,5.1366
20190308,5.1529
20200101,5.3902
20200103,5.7656
20200102,5.6763
20200105,3.9899
20200104,5.3797
20200107,4.9326
20200106,4.5068
20200109,5.1712
20190131,4.6956
20200118,5.234
20190223,4.7616
20190312,4.9198
20190328,4.7327
20190313,4.9321
20190321,4.8159
20190320,4.8465
20190323,4.843
20190322,5.0664
20190325,4.9196
20190324,4.8079
20190327,4.7789
20190326,4.7714
20190208,4.4723
20190209,4.3282
20190202,4.6961
20190203,4.217
20190201,4.573
20190206,4.7001
20190207,4.4709
20190204,3.9352
20190205,4.3176
20190318,4.8737
20190129,5.0218
20190128,4.9818
20190319,4.8704
20190123,4.8683
20190122,4.8034
20190121,4.8823
20190120,4.5899
20190127,4.4361
20190126,4.5459
20190125,4.8323
20190124,4.9199
20190219,4.7343
20190218,4.4665
20190215,4.6994
20190214,4.4087
20190217,4.4371
20190216,4.4651
20190211,4.8929
20190210,4.5312
20190213,4.8747
20190212,5.0216
20190118,5.1338
20190119,4.767
20190116,4.8015
20190117,4.9677
20190114,4.8484
20190115,4.9039
20190112,4.6786
20190113,4.6031
20200310,4.895
20200112,5.1973
20200312,4.9188
20200313,5.0879
20200314,4.8413
20200315,4.8658
20200316,5.2046
20200317,5.1915
20200318,5.0731
20200319,5.2199
20200303,4.6134
20200302,4.6042
20200301,4.2822
20200307,4.6037
20200306,4.8306
20200305,4.694
20200304,4.67
20200309,4.8764
20200308,4.3575
20200224,3.7946
20200225,3.9106
20200226,4.0425
20200227,3.7913
20200220,2.9889
20200221,3.1251
20200222,3.1474
20200223,3.3312
20200228,4.2547
20200229,4.2097
20200130,2.9025
20200131,2.7593
