Date,Value
20200321,4.3381
20200320,4.4647
20200323,4.4558
20200322,4.2469
20200324,4.4002
20190310,4.0402
20190311,4.1454
20200208,2.9255
20200209,2.8853
20190314,4.1162
20190315,4.4683
20190316,4.3429
20190317,4.0921
20200202,3.049
20200203,2.851
20200201,3.3138
20200206,3.0673
20200207,3.0167
20200204,2.8653
20200205,2.9943
20200129,3.3602
20200128,3.4015
20200123,5.1647
20200122,5.2076
20200121,5.0361
20200120,4.8544
20200127,3.1484
20200126,3.8276
20200125,3.2314
20200124,4.1604
20190130,4.492
20200217,3.3295
20200108,4.4822
20200219,3.48
20200218,3.3968
20190303,4.0953
20190302,4.1725
20190301,4.4462
20190307,3.7604
20190306,3.8473
20190305,4.1357
20190304,3.9837
20200215,2.787
20200214,3.23
20190309,3.5634
20200216,2.7247
20200211,3.1066
20200210,3.1223
20200213,3.1667
20200212,3.2086
20190224,3.7472
20190225,3.7588
20190226,3.856
20190227,4.0215
20190220,4.0743
20190221,3.865
20190222,4.1653
20190223,3.4174
20200116,4.7252
20200117,4.6527
20200114,4.4699
20200115,4.7091
20200112,4.2254
20200113,4.4992
20200110,4.674
20200111,4.2546
20190308,4.2624
20200101,4.3898
20200103,4.6418
20200102,4.5336
20200105,4.2386
20200104,4.2486
20200107,4.4962
20200106,4.4713
20200109,4.4469
20190131,4.672
20200118,4.5621
20200119,4.6626
20190312,4.2313
20190328,4.0382
20190313,4.209
20190321,4.2128
20190320,4.225
20190323,3.9931
20190322,4.5371
20190325,4.0612
20190324,3.8539
20190327,4.0342
20190326,4.0208
20190208,5.8366
20190209,5.543
20190202,4.7368
20190203,4.5482
20190201,4.6039
20190206,6.118
20190207,5.7336
20190204,3.9131
20190205,5.0155
20190318,4.0743
20190129,4.4648
20190128,4.3159
20190319,4.1807
20190123,4.1966
20190122,4.1012
20190121,4.069
20190120,4.0095
20190127,3.9018
20190126,3.968
20190125,4.148
20190124,4.2857
20190219,3.8883
20190218,3.6779
20190215,4.3204
20190214,4.5899
20190217,3.9516
20190216,4.1463
20190211,4.4058
20190210,5.0822
20190213,4.4679
20190212,4.8047
20190118,4.4978
20190119,4.2174
20190116,3.9979
20190117,4.2478
20190114,4.1033
20190115,4.2262
20190112,4.0466
20190113,3.991
20190228,4.1685
20200310,4.3578
20200311,4.2627
20200312,4.3216
20200313,4.395
20200314,4.2212
20200315,4.1284
20200316,4.3898
20200317,4.3759
20200318,4.2323
20200319,4.2365
20200303,4.2411
20200302,4.3124
20200301,4.155
20200307,4.173
20200306,4.2709
20200305,4.1385
20200304,3.755
20200309,4.4329
20200308,4.1372
20200224,4.0921
20200225,4.0336
20200226,4.0729
20200227,4.121
20200220,3.6659
20200221,3.9286
20200222,3.8596
20200223,3.6138
20200228,4.1819
20200229,4.1973
20200130,3.3488
20200131,3.1938
