Date,Value
20200321,4.6817
20200320,5.0288
20200323,4.9473
20200322,4.6519
20200324,4.9174
20190310,4.5008
20190311,4.3835
20200208,2.6366
20200209,2.5862
20190314,4.3739
20190315,4.8047
20190316,4.5356
20190317,4.3717
20200202,2.7374
20200203,2.8373
20200201,2.8407
20200206,2.751
20200207,2.7841
20200204,2.7154
20200205,2.7162
20200129,2.8279
20200128,3.2926
20200123,4.8801
20200122,4.9546
20200121,4.9643
20200120,5.1136
20200127,3.6981
20200126,3.9971
20200125,3.4563
20200124,4.1526
20190130,4.5935
20200217,3.315
20200108,5.0522
20200219,3.5785
20200218,3.2827
20190303,4.3931
20190302,4.4553
20190301,4.7352
20190307,4.2945
20190306,4.1961
20190305,4.4202
20190304,4.2493
20200215,3.119
20200214,3.4511
20190309,4.3562
20200216,2.9434
20200211,3.1527
20200210,3.0369
20200213,3.3537
20200212,3.2782
20190224,4.2349
20190225,4.2048
20190226,4.1928
20190227,4.2942
20190220,4.4705
20190221,4.3523
20190222,4.4406
20190223,4.2366
20200116,5.1069
20200117,5.1139
20200114,5.0556
20200115,5.0645
20200112,4.8195
20200113,5.098
20200110,5.2047
20200111,4.8912
20190308,4.8029
20200101,4.7981
20200103,5.1941
20200102,5.091
20200105,4.5467
20200104,4.7557
20200107,4.9842
20200106,4.9781
20200109,5.0147
20190131,4.6075
20200118,4.9203
20200119,5.0254
20190312,4.422
20190328,4.2039
20190313,4.4045
20190321,4.2848
20190320,4.3677
20190323,4.3905
20190322,4.7387
20190325,4.3372
20190324,4.3923
20190327,4.2438
20190326,4.2488
20190208,4.031
20190209,3.9935
20190202,4.5387
20190203,4.2166
20190201,4.3527
20190206,4.2339
20190207,4.0827
20190204,3.7558
20190205,3.9948
20190318,4.3102
20190129,4.5991
20190128,4.6093
20190319,4.3583
20190123,4.5328
20190122,4.4449
20190121,4.5388
20190120,4.4238
20190127,4.2046
20190126,4.3117
20190125,4.5892
20190124,4.6382
20190219,4.2863
20190218,4.4703
20190215,4.3943
20190214,4.4419
20190217,4.0983
20190216,4.135
20190211,4.3342
20190210,4.1621
20190213,4.3941
20190212,4.3812
20190118,4.8019
20190119,4.5501
20190116,4.4818
20190117,4.6419
20190114,4.4455
20190115,4.611
20190112,4.3635
20190113,4.2945
20190228,4.4001
20200310,4.8115
20200311,4.792
20200312,4.8375
20200313,4.9267
20200314,4.679
20200315,4.6017
20200316,4.9911
20200317,4.9289
20200318,4.9066
20200319,4.881
20200303,4.6397
20200302,4.7218
20200301,4.3383
20200307,4.5339
20200306,4.7624
20200305,4.668
20200304,4.6683
20200309,4.8218
20200308,4.595
20200224,4.2424
20200225,4.2277
20200226,4.2976
20200227,4.3102
20200220,3.6698
20200221,3.7881
20200222,3.602
20200223,3.6736
20200228,4.3025
20200229,4.31
20200130,2.8222
20200131,2.8564
