Date,Value
20200321,4.2913
20200320,4.4849
20200323,4.4641
20200322,4.2272
20200324,4.4621
20190310,3.7663
20190311,4.0848
20200208,1.9447
20200209,1.9995
20190314,4.0944
20190315,4.324
20190316,4.1532
20190317,3.8805
20200202,2.4312
20200203,2.5631
20200201,2.6613
20200206,2.2707
20200207,2.1644
20200204,2.1466
20200205,2.3971
20200129,2.7569
20200128,2.7133
20200123,4.1799
20200122,4.3449
20200121,4.5079
20200120,4.5277
20200127,3.0693
20200126,3.4305
20200125,3.4199
20200124,3.6009
20200311,4.2968
20190130,3.8951
20200217,2.6794
20200108,4.7753
20200219,2.9415
20200218,2.7765
20190303,3.802
20190302,4.055
20190301,4.3006
20190307,3.7152
20190306,3.8582
20190305,3.8854
20190304,3.9859
20200215,2.313
20200214,2.2257
20190309,3.4726
20200216,1.9367
20200211,2.2898
20200210,2.2716
20200213,2.3158
20200212,2.2584
20190224,3.325
20190225,3.8465
20190226,3.8696
20190227,4.0122
20190220,3.9392
20190221,3.8641
20190222,4.0298
20190223,3.5767
20200116,4.7214
20200117,4.5728
20200114,4.632
20200115,4.7034
20190228,4.1041
20200113,4.6975
20200110,4.9232
20200111,4.5451
20190308,3.9573
20200101,4.4621
20200103,4.8715
20200102,4.8241
20200105,4.3634
20200104,4.4741
20200107,4.8293
20200106,4.7406
20200109,4.6904
20190131,3.9926
20200118,4.3818
20200119,4.4753
20190312,4.1664
20190328,4.137
20190313,4.1401
20190321,4.1992
20190320,4.1197
20190323,3.9387
20190322,4.2704
20190325,4.0545
20190324,3.6378
20190327,4.0778
20190326,4.1088
20190208,3.632
20190209,3.6121
20190202,3.6318
20190203,3.3558
20190201,3.6503
20190206,4.2858
20190207,3.8783
20190204,3.0789
20190205,3.6824
20190318,4.0318
20190129,3.8961
20190128,3.9004
20190319,4.1312
20190123,3.9455
20190122,3.9947
20190121,4.0669
20190120,3.7256
20190127,3.5233
20190126,3.6705
20190125,3.94
20190124,4.0943
20190219,3.8446
20190218,3.8752
20190215,3.923
20190214,4.0033
20190217,3.5411
20190216,3.6619
20190211,3.8151
20190210,3.6303
20190213,3.9823
20190212,3.9196
20190118,4.1137
20190119,3.8802
20190116,3.8972
20190117,4.0054
20190114,3.9522
20190115,4.096
20190112,3.8291
20190113,3.7567
20200310,4.2952
20200112,4.3809
20200312,4.0028
20200313,4.3656
20200314,3.931
20200315,4.0911
20200316,4.4489
20200317,4.3729
20200318,4.225
20200319,4.2708
20200303,4.1426
20200302,4.0778
20200301,3.7696
20200307,4.0653
20200306,4.2243
20200305,4.0432
20200304,3.8702
20200309,4.3229
20200308,3.8822
20200224,3.8108
20200225,3.8276
20200226,3.852
20200227,3.8453
20200220,3.2665
20200221,3.5273
20200222,3.3866
20200223,3.3434
20200228,3.961
20200229,3.873
20200130,2.6785
20200131,2.6753
