Date,Value
20200321,3.5831
20200320,3.7506
20200323,3.8575
20200322,3.4905
20200324,3.784
20190310,4.011
20190311,4.2789
20200208,1.5571
20200209,1.4732
20190314,4.2619
20190315,4.5954
20190316,4.3624
20190317,4.0888
20200202,2.0813
20200203,1.872
20200201,2.1835
20200206,1.7677
20200207,1.7681
20200204,1.8008
20200205,1.8197
20200129,2.3445
20200128,2.4136
20200123,4.3194
20200122,4.4157
20200121,4.3729
20200120,4.3082
20200127,2.3307
20200126,2.7617
20200125,2.3206
20200124,3.506
20190130,4.1519
20200217,1.9359
20200108,4.4958
20200219,2.1602
20200218,2.0362
20190303,4.0829
20190302,4.1896
20190301,4.5213
20190307,3.9517
20190306,4.0083
20190305,4.2044
20190304,4.0986
20200215,1.5711
20200214,1.7442
20190309,3.7512
20200216,1.647
20200211,1.6134
20200210,1.6266
20200213,1.7066
20200212,1.6787
20190224,3.7421
20190225,3.8829
20190226,3.9019
20190227,4.0668
20190220,4.041
20190221,3.8257
20190222,4.1478
20190223,3.465
20200116,4.3991
20200117,4.4229
20200114,4.3201
20200115,4.4193
20200112,4.0876
20200113,4.4381
20200110,4.6695
20200111,4.2069
20190308,4.3483
20200101,4.3789
20200103,4.6664
20200102,4.6036
20200105,4.2136
20200104,4.2873
20200107,4.5421
20200106,4.5412
20200109,4.4779
20190131,4.2553
20200118,4.1735
20200119,4.2346
20190312,4.3605
20190328,4.1588
20190313,4.3315
20190321,4.2522
20190320,4.2852
20190323,3.9813
20190322,4.5249
20190325,4.1625
20190324,3.7877
20190327,4.15
20190326,4.147
20190208,4.4672
20190209,4.2098
20190202,4.1789
20190203,3.971
20190201,4.0648
20190206,4.3857
20190207,4.3626
20190204,3.4247
20190205,3.9052
20190318,4.1704
20190129,4.1968
20190128,4.1083
20190319,4.2824
20190123,4.0339
20190122,4.0213
20190121,4.0695
20190120,3.8766
20190127,3.6997
20190126,3.8239
20190125,4.0741
20190124,4.1749
20190219,3.8901
20190218,3.7056
20190215,4.0467
20190214,4.2411
20190217,3.6154
20190216,3.8579
20190211,3.7245
20190210,3.9419
20190213,4.1484
20190212,4.2398
20190118,4.4473
20190119,4.1784
20190116,4.1762
20190117,4.3117
20190114,4.1896
20190115,4.3637
20190112,4.0202
20190113,3.9257
20190228,4.2273
20200310,3.5409
20200311,3.4906
20200312,3.4797
20200313,3.5371
20200314,3.4358
20200315,3.2912
20200316,3.7011
20200317,3.6233
20200318,3.5669
20200319,3.4718
20200303,3.2611
20200302,3.3338
20200301,2.9531
20200307,3.2051
20200306,3.3496
20200305,3.3275
20200304,2.9738
20200309,3.5438
20200308,3.0781
20200224,2.7946
20200225,2.8398
20200226,2.895
20200227,2.9695
20200220,2.3226
20200221,2.4714
20200222,2.3775
20200223,2.3238
20200228,3.0561
20200229,3.029
20200130,2.2887
20200131,2.1996
