Date,Value
20200321,5.0341
20200320,5.2186
20200323,5.1833
20200322,4.9879
20200324,5.1421
20190310,4.3773
20190311,4.0749
20200208,3.6147
20200209,3.4648
20190314,3.9465
20190315,4.2968
20190316,4.0518
20190317,3.9704
20200202,3.9112
20200203,3.7873
20200201,4.4393
20200206,3.6434
20200207,3.6837
20200204,3.7584
20200205,3.6631
20200129,4.9049
20200128,5.3197
20200123,7.0052
20200122,7.1301
20200121,6.9662
20200120,6.7531
20200127,5.5648
20200126,6.0164
20200125,5.0458
20200124,5.6304
20200311,5.2264
20190130,5.8108
20200217,4.0571
20200108,5.4135
20200219,4.6328
20200218,4.2604
20190303,4.4641
20190302,4.3955
20190301,4.6727
20190307,3.8385
20190306,3.8117
20190305,4.1411
20190304,4.0466
20200215,3.8105
20200214,4.2009
20190309,3.9608
20200216,3.9024
20200211,3.8874
20200210,3.6874
20200213,4.053
20200212,3.9652
20190224,4.125
20190225,4.4354
20190226,4.4433
20190227,4.4944
20190220,4.9828
20190221,4.5966
20190222,4.5619
20190223,4.2632
20200116,6.2271
20200117,6.2374
20200114,5.8822
20200115,6.2412
20190228,4.7043
20200113,5.9133
20200110,5.6225
20200111,5.5405
20190308,4.2968
20200101,4.8951
20200103,5.1335
20200102,4.9848
20200105,5.1161
20200104,4.7652
20200107,5.3434
20200106,5.2984
20200109,5.4604
20190131,6.1883
20200118,6.2541
20200119,6.4473
20190312,4.0713
20190328,3.8083
20190313,4.0574
20190321,3.9413
20190320,3.9445
20190323,3.9874
20190322,4.3938
20190325,3.948
20190324,4.1516
20190327,3.8072
20190326,3.7782
20190208,6.1179
20190209,5.8422
20190202,6.574
20190203,6.0821
20190201,6.1328
20190206,6.233
20190207,6.2516
20190204,5.2334
20190205,5.7332
20190318,3.8303
20190129,5.8898
20190128,5.745
20190319,3.9929
20190123,5.1318
20190122,4.9342
20190121,4.6759
20190120,4.7497
20190127,5.1652
20190126,5.1478
20190125,5.0365
20190124,5.2191
20190219,4.9989
20190218,5.1036
20190215,5.1086
20190214,5.4982
20190217,4.6671
20190216,4.8704
20190211,5.6945
20190210,5.6697
20190213,5.8101
20190212,5.7445
20190118,4.835
20190119,4.7811
20190116,4.6251
20190117,4.73
20190114,4.4419
20190115,4.5821
20190112,4.2619
20190113,4.2803
20200310,5.2181
20200112,5.7752
20200312,5.3006
20200313,5.1431
20200314,4.8815
20200315,4.899
20200316,5.1685
20200317,5.0894
20200318,5.114
20200319,5.1616
20200303,5.3212
20200302,5.6251
20200301,5.5703
20200307,5.2843
20200306,5.487
20200305,5.4942
20200304,5.4475
20200309,5.2956
20200308,5.3313
20200224,5.5476
20200225,5.5295
20200226,5.5626
20200227,5.5085
20200220,4.5874
20200221,4.9509
20200222,4.8755
20200223,5.0072
20200228,5.4187
20200229,5.6695
20200130,4.4626
20200131,4.5174
