Date,Value
20200321,4.249
20200320,4.491
20200323,4.6138
20200322,3.9205
20200324,4.6151
20190310,4.0985
20190311,4.5883
20200208,1.0115
20200209,0.9649
20190314,4.5634
20190315,4.7314
20190316,4.6349
20190317,4.2871
20200202,1.0418
20200203,1.1024
20200201,1.0471
20200206,1.0084
20200207,1.0319
20200204,0.9977
20200205,1.0043
20200129,1.0079
20200128,1.0073
20200123,1.774
20200122,1.9804
20200121,2.271
20200120,2.5585
20200127,0.9815
20200126,1.1477
20200125,1.1694
20200124,1.3999
20200311,4.2159
20190130,2.4699
20200217,1.1455
20200108,5.1812
20200219,1.6548
20200218,1.3674
20190303,4.1646
20190302,4.5317
20190301,4.6994
20190307,4.3473
20190306,4.4533
20190305,4.6074
20190304,4.479
20200215,0.8965
20200214,0.9919
20190309,4.2644
20200216,0.8193
20200211,1.0116
20200210,1.1204
20200213,0.9738
20200212,1.0194
20190224,3.685
20190225,4.16
20190226,4.2199
20190227,4.4742
20190220,3.8774
20190221,3.9835
20190222,4.1051
20190223,3.8794
20200116,4.0319
20200117,3.6455
20200114,4.491
20200115,4.334
20190228,4.6405
20200113,4.6302
20200110,5.1257
20200111,4.7532
20190308,4.6124
20200101,4.7414
20200103,5.2113
20200102,5.2146
20200105,4.6848
20200104,4.9291
20200107,5.1588
20200106,5.1366
20200109,5.1339
20190131,2.2661
20200118,3.0944
20200119,2.7541
20190312,4.6809
20190328,4.5383
20190313,4.6721
20190321,4.6352
20190320,4.6592
20190323,4.3376
20190322,4.7061
20190325,4.5134
20190324,4.0492
20190327,4.5373
20190326,4.5445
20190208,1.2553
20190209,1.3401
20190202,1.6614
20190203,1.4526
20190201,1.8273
20190206,1.4114
20190207,1.2618
20190204,1.2714
20190205,1.3414
20190318,4.5981
20190129,2.7204
20190128,2.9625
20190319,4.6644
20190123,3.9376
20190122,4.0595
20190121,4.1848
20190120,4.1097
20190127,2.8432
20190126,3.3085
20190125,3.7316
20190124,3.9581
20190219,3.727
20190218,3.5723
20190215,3.1729
20190214,3.0644
20190217,3.0939
20190216,3.2935
20190211,1.888
20190210,1.4967
20190213,2.6807
20190212,2.4005
20190118,4.6171
20190119,4.411
20190116,4.4657
20190117,4.5414
20190114,4.5395
20190115,4.7215
20190112,4.4413
20190113,4.2017
20200310,4.2113
20200112,4.3571
20200312,4.2593
20200313,4.3389
20200314,4.0917
20200315,3.6907
20200316,4.4409
20200317,4.4517
20200318,4.4292
20200319,4.4155
20200303,3.7936
20200302,3.7233
20200301,2.9094
20200307,3.7572
20200306,3.9433
20200305,3.8413
20200304,3.7388
20200309,4.1557
20200308,3.3693
20200224,2.757
20200225,2.8593
20200226,3.0021
20200227,3.1303
20200220,1.9135
20200221,2.1373
20200222,2.0778
20200223,1.9376
20200228,3.2427
20200229,3.1596
20200130,1.0012
20200131,1.023
