Date,Value
20200321,4.9484
20200320,5.1289
20200323,5.0439
20200322,4.9003
20200324,5.1597
20190310,4.9645
20190311,5.0647
20200208,2.3343
20200209,2.3938
20190314,5.1351
20190315,5.3185
20190316,5.0564
20190317,4.7306
20200202,2.8784
20200203,2.9778
20200201,2.8364
20200206,2.4214
20200207,2.42
20200204,2.6484
20200205,2.4185
20200129,3.4674
20200128,3.7259
20200123,5.3674
20200122,5.5938
20200121,5.6095
20200120,5.5831
20200127,4.3844
20200126,4.8053
20200125,4.5836
20200124,5.1361
20190130,4.9048
20200217,2.7859
20200108,5.4078
20200219,2.8462
20200218,2.7672
20190303,4.9338
20190302,4.9923
20190301,5.3502
20190307,4.8869
20190306,4.9237
20190305,5.1014
20190304,4.9609
20200215,2.4428
20200214,2.5728
20190309,4.858
20200216,2.4893
20200211,2.6501
20200210,2.6556
20200213,2.6302
20200212,2.6759
20190224,4.6257
20190225,4.868
20190226,4.8308
20190227,5.0292
20190220,5.2446
20190221,5.0896
20200118,5.1448
20190223,4.8395
20200116,5.2651
20200117,5.4828
20200114,5.3808
20200115,4.8211
20200112,4.9699
20200113,5.3521
20200110,4.9348
20200111,4.6665
20190308,5.391
20200101,5.1773
20200103,5.3563
20200102,5.3269
20200105,4.7359
20200104,4.8417
20200107,5.2275
20200106,5.1219
20200109,4.7815
20190131,5.0309
20190222,5.2129
20200119,5.3694
20190312,5.1426
20190328,4.9647
20190313,5.0997
20190321,5.0431
20190320,4.9961
20190323,4.9042
20190322,5.2693
20190325,5.0635
20190324,4.9242
20190327,4.9817
20190326,4.9739
20190208,5.6644
20190209,5.3351
20190202,5.4364
20190203,5.1149
20190201,5.2094
20190206,6.0207
20190207,5.8044
20190204,5.4272
20190205,5.7239
20190318,5.0374
20190129,5.3161
20190128,5.2447
20190319,5.0902
20190123,5.1936
20190122,5.0831
20190121,5.1939
20190120,4.6955
20190127,4.7863
20190126,4.7825
20190125,5.1154
20190124,5.0467
20190219,5.3045
20190218,5.1912
20190215,5.0853
20190214,5.2309
20190217,4.3745
20190216,4.636
20190211,5.5234
20190210,5.383
20190213,5.3933
20190212,5.5261
20190118,5.1529
20190119,4.9119
20190116,4.9797
20190117,5.0663
20190114,5.0176
20190115,5.1409
20190112,4.8609
20190113,4.7573
20190228,5.1659
20200310,4.3451
20200311,4.3876
20200312,4.3469
20200313,4.5759
20200314,4.5056
20200315,4.4296
20200316,4.8247
20200317,4.9002
20200318,4.7836
20200319,4.9894
20200303,3.8834
20200302,3.8593
20200301,3.5492
20200307,4.0051
20200306,4.1189
20200305,4.0223
20200304,3.9356
20200309,4.1623
20200308,3.6894
20200224,3.3374
20200225,3.362
20200226,3.4263
20200227,3.3083
20200220,2.7616
20200221,2.9846
20200222,2.8878
20200223,2.923
20200228,3.6401
20200229,3.5128
20200130,3.2198
20200131,3.047
