Date,Value
20200321,4.8599
20200320,5.6186
20200323,5.6627
20200322,4.4165
20200324,5.6487
20190310,4.7932
20190311,5.5547
20200208,2.2228
20200209,2.2879
20190314,5.283
20190315,5.8025
20190316,5.1962
20190317,4.9074
20200202,2.3031
20200203,2.6007
20200201,2.3304
20200206,2.2994
20200207,2.2952
20200204,2.3915
20200205,2.556
20200129,2.3396
20200128,2.5269
20200123,4.0471
20200122,4.3802
20200121,4.6392
20200120,4.7973
20200127,2.5015
20200126,2.6885
20200125,2.9437
20200124,3.5194
20190130,4.2676
20200217,3.0802
20200108,6.0329
20200219,3.3704
20200218,3.2367
20190303,4.5319
20190302,4.5382
20190301,5.5475
20190307,5.4126
20190306,5.38
20190305,5.4115
20190304,5.3592
20200215,2.3426
20200214,2.7765
20190309,4.5951
20200216,2.0148
20200211,2.4074
20200210,2.9841
20200213,2.6793
20200212,2.5263
20190224,4.1383
20190225,4.9863
20190226,5.0924
20190227,5.176
20190220,4.4699
20190221,4.5188
20190222,4.7689
20190223,4.2966
20200116,5.3345
20200117,5.2665
20200114,5.665
20200115,5.5123
20200112,5.0064
20200113,5.8264
20200110,5.8295
20200111,4.9764
20190308,5.5928
20200101,5.3934
20200103,6.2207
20200102,6.2033
20200105,5.2036
20200104,5.2097
20200107,6.1785
20200106,6.1974
20200109,6.0182
20190131,3.9882
20200118,4.4945
20200119,4.7941
20190312,5.628
20190328,5.5837
20190313,5.6659
20190321,5.586
20190320,5.6407
20190323,5.1898
20190322,5.7495
20190325,5.6885
20190324,5.0732
20190327,5.5972
20190326,5.6379
20190208,3.4789
20190209,3.3459
20190202,3.6845
20190203,3.4028
20190201,3.8499
20190206,3.7545
20190207,3.5234
20190204,3.0807
20190205,3.4176
20190318,5.3613
20190129,4.3312
20190128,4.4526
20190319,5.6488
20190123,4.8707
20190122,4.8514
20190121,4.9027
20190120,4.2739
20190127,3.8874
20190126,4.0404
20190125,4.7914
20190124,4.9557
20190219,4.4916
20190218,4.4464
20190215,3.9237
20190214,4.0735
20190217,3.5821
20190216,3.4621
20190211,3.6804
20190210,3.1805
20190213,3.9823
20190212,3.8558
20190118,5.3073
20190119,4.6174
20190116,5.0785
20190117,5.1929
20190114,5.232
20190115,5.2579
20190112,4.6379
20190113,4.4826
20190228,5.4032
20200310,5.1301
20200311,5.2827
20200312,5.1593
20200313,5.1899
20200314,4.507
20200315,4.4019
20200316,5.4454
20200317,5.4539
20200318,5.5069
20200319,5.5058
20200303,4.7864
20200302,4.792
20200301,3.3377
20200307,4.2262
20200306,4.9788
20200305,4.9527
20200304,4.7616
20200309,4.9918
20200308,4.0641
20200224,4.1466
20200225,4.2267
20200226,4.1353
20200227,4.325
20200220,3.5741
20200221,3.7374
20200222,3.1372
20200223,3.004
20200228,4.4324
20200229,3.7584
20200130,2.1614
20200131,2.3075
