Date,Value
20200321,3.6253
20200320,4.3757
20200323,4.4827
20200322,3.3591
20200324,4.479
20190310,3.7255
20190311,4.5589
20200208,1.1365
20200209,1.2115
20190314,4.5617
20190315,4.7348
20190316,4.259
20190317,3.8219
20200202,1.2057
20200203,1.353
20200201,1.2456
20200206,1.1635
20200207,1.1982
20200204,1.2289
20200205,1.1973
20200129,1.2447
20200128,1.2508
20200123,2.5674
20200122,2.9768
20200121,3.3977
20200120,3.7808
20200127,1.2071
20200126,1.369
20200125,1.5454
20200124,1.96
20200311,4.1152
20190130,3.3135
20200217,2.2698
20200108,5.3931
20200219,2.3732
20200218,2.3071
20190303,3.7363
20190302,4.1337
20190301,4.6729
20190307,4.3605
20190306,4.3911
20190305,4.6206
20190304,4.4745
20200215,1.6883
20200214,2.0999
20190309,3.9148
20200216,1.4299
20200211,1.9307
20200210,1.9704
20200213,1.983
20200212,2.0225
20190224,3.3769
20190225,4.1513
20190226,4.2037
20190227,4.4223
20190220,3.9066
20190221,3.9792
20190222,4.1001
20190223,3.5584
20200116,4.9556
20200117,4.7755
20200114,5.1527
20200115,5.1085
20190228,4.5971
20200113,5.1435
20200110,5.4053
20200111,4.7433
20190308,4.5476
20200101,4.5542
20200103,5.4913
20200102,5.4316
20200105,4.5109
20200104,4.8613
20200107,5.4186
20200106,5.3938
20200109,5.3667
20190131,3.1349
20200118,4.0796
20200119,4.0035
20190312,4.6633
20190328,4.5433
20190313,4.6815
20190321,4.6012
20190320,4.6343
20190323,4.0102
20190322,4.717
20190325,4.5526
20190324,3.6804
20190327,4.5534
20190326,4.5693
20190208,1.959
20190209,2.017
20190202,2.3619
20190203,2.0053
20190201,2.5987
20190206,1.9582
20190207,1.8911
20190204,1.7419
20190205,1.85
20190318,4.5254
20190129,3.5146
20190128,3.6592
20190319,4.621
20190123,4.0712
20190122,4.1022
20190121,4.1733
20190120,3.7244
20190127,3.1433
20190126,3.4806
20190125,3.9965
20190124,4.1718
20190219,3.7605
20190218,3.8294
20190215,3.5933
20190214,3.5257
20190217,3.0706
20190216,3.3293
20190211,2.7284
20190210,2.1684
20190213,3.4524
20190212,3.2602
20190118,4.5163
20190119,4.0278
20190116,4.3573
20190117,4.4368
20190114,4.4336
20190115,4.6095
20190112,4.0655
20190113,3.7441
20200310,4.1353
20200112,4.2949
20200312,4.1458
20200313,4.2508
20200314,3.5621
20200315,3.1822
20200316,4.3508
20200317,4.3527
20200318,4.3061
20200319,4.3161
20200303,3.7626
20200302,3.7309
20200301,2.5449
20200307,3.2142
20200306,3.8866
20200305,3.8033
20200304,3.7755
20200309,4.0804
20200308,2.8611
20200224,3.0656
20200225,3.1198
20200226,3.1768
20200227,3.2519
20200220,2.4611
20200221,2.5873
20200222,2.1555
20200223,1.9179
20200228,3.3276
20200229,2.8256
20200130,1.242
20200131,1.2764
