Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Jiangsu,43.17,36.11,38.33,39.42,40.22,39.3,37.5,37.59,35.67,37.73,38.3,38.07,38.6,35.84,34.7,33.72,34.27,33.45,33.41,33.48,33.42,33.6,33.16,32.23,38.99,46.4,45.63,42.92,36.45,33.84,30.64,32.12,31.72,34.63,34.57,34.01,30.9,31.31,30.43,29.61,26.45,25.33,25.71,25.54,25.98,27.47,27.13,31.08,30.46,30.91,32.2,37.12,37.85,35.96,37.15,36.34,35.6,35.81,36.33,33.39,34.73,35.26,35.42,35.1,35.54,35.93,35.73,37.21,38.81,36.56,37.57,37.63,38.62,38.04,38.69,41.42,39.07,39.18,39.43,39.19,39.68,39.03,42.33
Zhejiang,12.51,13.85,12.48,12.09,11.91,11.84,11.66,11.28,10.77,11.23,11.49,10.93,10.45,9.92,9.73,9.54,9.18,8.71,8.46,7.95,8.23,8.05,8.09,8.15,7.59,10.6,13.02,14.43,15.25,15.49,15.41,13.62,12.72,11.4,8.99,7.03,5.56,4.74,4.78,5.47,7.14,9.96,13.14,16.94,19.74,26.4,27.38,32.06,34.72,35.75,37.05,35.81,33.98,35.87,33.48,33.39,33.96,32.91,32.47,35.22,33.49,31.64,32.17,31.78,29.76,29.91,28.39,27.69,26.14,27.61,25.29,24.36,24.05,22.69,22.12,20.75,20.86,20.15,19.78,19.77,19.4,19.98,19.3
Henan,12.21,9.28,11.71,12.85,10.41,11.2,11.14,11.89,12.3,12.85,13.09,13.84,13.18,14.69,15.33,15.67,16.21,17.91,18.66,19.86,19.31,21.02,21.86,23.16,24.5,15.82,8.04,5.64,5.66,5.69,5.65,6.74,7.03,6.35,8.78,9.18,8.32,8.14,6.88,7.19,8.47,11.62,12.78,12.02,11.13,10.89,12.18,9.93,7.66,6.83,5.89,5.38,6.39,5.6,6.54,6.19,6.01,6.04,6.16,6.05,6.56,6.48,6.82,7.27,9.17,7.92,9.33,9.01,8.8,8.22,9.99,10.06,9.59,10.35,10.56,9.1,9.82,10.7,10.95,10.77,12.22,12.19,10.37
Shanghai,9.37,10.7,9.41,8.61,11.1,9.12,9.06,8.78,8.84,8.26,7.99,7.81,9.28,8.13,7.98,7.62,6.94,6.38,6.07,5.51,4.96,4.95,5.1,4.23,4.26,8.08,12.12,15.46,17.53,19.8,21.91,22.64,23.43,24.16,25.18,29.34,32.86,34.65,35.83,38.74,34.84,29.39,24.8,22.3,17.94,15.29,12.01,10.28,10.75,10.51,9.0,8.43,8.21,8.35,8.48,8.72,8.68,9.18,8.93,8.81,9.04,9.3,8.67,8.49,8.12,8.06,8.03,8.18,8.16,8.41,8.25,8.15,7.83,7.99,8.25,8.77,8.68,8.55,8.29,8.31,7.87,7.92,8.77
Shandong,3.73,4.56,4.69,4.49,4.14,4.37,4.54,4.45,4.45,4.52,4.48,4.08,4.02,4.49,4.6,4.85,4.72,4.74,4.87,4.67,5.19,4.8,5.18,4.84,4.23,3.48,2.92,2.41,2.18,2.08,1.98,1.77,1.53,1.54,1.6,1.61,1.66,1.51,1.42,1.84,2.18,2.29,2.14,2.35,2.12,1.97,1.93,1.96,1.72,1.76,1.61,1.45,1.47,1.43,1.6,1.77,1.82,1.89,2.07,1.86,2.16,2.23,2.47,2.72,3.05,3.11,3.22,3.45,3.47,3.51,3.83,3.92,3.88,3.9,4.0,3.74,4.21,4.35,4.66,4.37,4.35,4.18,4.06
Hubei,3.19,3.78,3.8,3.53,3.5,3.74,3.82,3.76,3.8,3.98,4.08,4.01,4.13,4.61,4.57,4.58,4.76,4.88,4.97,5.28,5.11,4.67,3.83,3.01,1.85,0.84,0.43,0.37,0.37,0.39,0.39,0.43,0.44,0.43,0.59,0.61,0.56,0.6,0.45,0.52,0.81,0.83,0.95,0.92,0.99,0.99,0.92,0.63,0.51,0.41,0.41,0.35,0.28,0.29,0.28,0.25,0.29,0.26,0.28,0.24,0.27,0.26,0.23,0.27,0.3,0.29,0.3,0.36,0.32,0.33,0.4,0.43,0.48,0.56,0.65,0.7,0.95,0.97,1.04,1.06,1.18,1.22,1.13
Jiangxi,2.69,2.89,2.84,2.71,2.79,2.82,2.99,3.09,3.07,3.19,3.1,3.49,3.19,3.48,3.57,3.8,3.88,3.87,4.33,4.42,4.43,4.47,4.67,4.46,4.0,3.13,2.37,2.04,1.94,1.95,1.79,1.88,1.83,1.37,1.49,1.59,1.65,1.75,1.47,1.42,1.59,1.98,2.12,2.03,2.27,2.49,2.66,2.26,2.29,2.31,2.24,1.93,1.96,1.92,1.91,1.89,2.05,2.08,2.16,1.95,2.1,1.94,2.07,2.05,2.03,2.1,2.1,2.18,2.25,2.29,2.42,2.47,2.48,2.64,2.71,2.51,2.68,2.82,2.77,2.81,2.85,2.69,2.44
Beijing,1.87,2.47,2.43,2.21,2.58,2.41,2.48,2.5,2.56,2.39,2.37,2.23,2.12,2.07,2.01,2.08,1.84,1.66,1.51,1.42,1.53,1.63,1.58,1.75,1.42,1.94,2.96,2.82,3.38,3.42,3.93,4.09,4.26,4.37,4.2,3.57,3.66,2.97,3.04,2.98,3.81,4.33,3.79,3.14,3.12,2.56,2.85,2.26,2.0,1.67,1.4,1.11,1.09,0.98,1.11,1.04,1.0,1.01,1.02,0.92,1.02,1.14,0.9,0.81,0.81,0.78,0.82,0.77,0.9,0.82,0.88,0.88,0.91,1.03,0.93,1.03,1.01,0.97,0.98,0.93,0.98,0.93,0.97
Guangdong,1.74,2.54,2.16,2.2,2.08,2.27,2.38,2.32,2.31,2.18,1.95,1.98,1.85,1.91,1.87,1.98,1.9,1.93,1.89,1.89,1.94,2.07,2.14,2.15,1.41,1.22,3.06,4.0,5.49,5.69,6.19,5.63,6.17,5.68,5.42,4.94,6.37,6.84,8.39,5.9,6.3,5.15,5.92,4.68,5.31,4.77,5.27,3.09,3.65,3.19,3.61,2.98,3.17,3.52,3.38,3.35,3.64,3.46,3.32,3.77,3.36,3.58,3.63,3.61,3.35,3.55,3.81,3.15,3.09,3.33,3.02,2.89,3.09,3.2,2.77,2.68,2.78,2.67,2.58,2.73,2.29,2.35,2.06
