Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Sichuan,49.61,43.32,49.34,47.48,48.56,44.02,43.53,43.45,44.12,45.56,49.96,49.14,48.62,48.95,50.07,48.12,47.52,50.11,49.31,51.67,52.91,56.23,59.69,60.22,61.1,60.92,53.05,47.19,40.98,40.13,33.72,41.8,35.88,39.36,40.77,42.14,32.8,27.54,25.66,28.79,27.63,33.84,31.87,30.22,28.06,29.82,26.47,32.95,29.08,23.22,22.53,25.24,19.94,20.13,26.29,23.09,22.94,21.95,24.92,22.78,30.02,21.74,23.17,26.07,29.06,25.11,28.71,35.14,33.96,25.88,35.18,29.1,34.44,36.91,38.46,36.11,37.54,33.56,35.83,38.46,45.33,38.41,43.43
Guizhou,13.59,12.59,12.35,12.54,12.64,13.44,12.91,12.23,11.95,12.24,12.07,12.42,12.48,12.02,10.96,11.01,10.81,10.26,9.82,9.97,9.52,9.56,9.24,8.77,11.63,12.89,11.3,11.07,9.43,9.63,8.44,9.41,8.34,7.88,8.7,9.28,8.17,7.63,6.7,7.24,7.88,10.71,10.22,10.38,9.65,11.34,10.75,16.26,17.86,14.98,13.11,15.41,12.37,10.66,12.63,11.48,11.0,10.86,11.65,9.71,12.57,10.57,9.79,10.54,11.7,10.64,9.57,11.44,12.68,9.93,12.71,11.68,10.91,10.75,11.47,11.46,12.67,11.49,11.42,11.64,12.34,11.16,12.62
Hubei,7.33,6.27,6.41,6.7,6.34,6.61,6.44,6.49,6.48,6.87,6.31,6.8,6.56,6.75,7.0,7.31,7.35,7.06,7.13,6.78,6.8,6.11,4.89,3.89,4.19,2.72,2.47,2.58,2.63,2.81,2.79,3.51,3.54,3.73,4.88,5.22,5.5,4.16,3.85,4.48,4.82,6.94,6.72,6.98,6.11,7.21,6.11,5.63,5.58,4.25,4.09,5.74,3.33,2.52,2.71,2.25,2.26,2.0,2.26,1.93,2.27,1.8,2.05,2.17,2.15,1.87,1.96,2.58,2.12,1.86,2.54,2.24,2.55,2.96,4.02,3.89,4.98,4.77,4.98,5.05,5.33,5.17,5.06
Guangdong,4.01,4.93,3.88,3.85,3.78,3.97,3.86,3.8,3.56,3.58,3.06,3.11,3.3,3.03,2.89,3.22,3.28,3.07,3.21,3.17,3.13,2.82,2.68,2.65,2.18,2.58,6.19,9.56,14.84,15.54,17.69,13.56,17.04,16.92,15.61,16.03,22.91,28.88,34.91,29.11,27.67,19.82,20.98,19.64,20.04,18.26,20.86,13.33,13.52,16.97,18.7,14.76,16.77,19.03,15.82,17.54,18.34,19.22,16.61,18.43,14.69,18.0,16.05,15.98,13.64,15.26,14.86,12.97,11.74,14.89,11.74,13.24,12.47,11.73,10.58,10.9,9.03,10.36,9.56,8.79,6.55,8.87,7.14
Hunan,3.04,2.88,2.96,2.8,2.6,2.94,2.99,3.03,2.89,2.99,2.9,3.1,3.11,3.33,3.14,3.56,3.67,3.8,3.77,3.45,3.53,3.17,2.7,2.81,2.2,2.74,3.3,3.63,3.68,3.77,3.63,3.32,3.19,2.81,3.18,3.39,4.19,4.58,4.23,3.73,4.07,4.78,4.93,5.0,4.44,4.79,4.89,4.47,5.21,5.52,5.4,5.59,7.18,5.6,5.45,6.02,5.6,5.51,5.38,5.92,4.69,6.33,5.63,4.86,5.01,5.92,5.01,4.05,5.05,5.09,3.9,5.01,4.23,4.03,3.81,4.04,4.0,4.2,4.02,3.73,3.6,3.89,3.42
Yunnan,2.88,4.38,3.74,3.86,3.39,3.65,3.85,3.69,3.79,3.52,3.8,3.47,3.32,3.44,3.38,3.26,3.21,3.16,3.29,3.26,3.37,3.34,3.49,4.46,3.94,3.08,3.78,3.82,4.21,4.4,4.52,3.14,3.83,3.88,2.48,2.27,2.51,2.21,2.34,3.34,3.56,3.47,4.37,4.14,3.85,4.1,3.27,3.39,3.26,3.24,2.73,2.79,3.35,3.09,4.19,4.11,4.58,4.3,4.84,4.55,4.03,4.99,4.82,4.32,5.13,4.85,4.39,3.87,4.83,5.01,4.61,5.14,4.31,3.66,3.78,3.99,4.03,3.75,3.74,3.6,3.18,3.18,3.07
Shaanxi,2.07,2.32,2.13,2.04,2.29,2.51,2.3,2.34,2.55,2.45,2.22,2.14,2.25,2.23,2.28,2.36,2.43,2.4,2.4,2.2,2.0,1.94,1.76,1.78,1.44,1.78,1.79,1.54,1.39,1.37,1.28,1.32,1.15,1.09,0.87,0.78,0.79,0.72,0.52,0.66,0.47,0.74,0.72,0.75,0.63,0.82,0.69,0.77,0.95,0.89,0.92,1.15,1.19,0.9,1.64,1.43,1.73,1.57,1.86,1.48,2.67,2.08,1.93,2.26,3.16,2.51,1.89,2.12,3.21,2.5,2.88,2.68,2.59,2.42,2.64,2.53,2.99,2.71,2.76,2.44,2.85,2.9,2.18
Zhejiang,1.71,2.25,1.85,1.93,1.89,2.01,2.15,1.94,1.86,1.77,1.56,1.42,1.53,1.38,1.38,1.49,1.58,1.4,1.45,1.4,1.28,1.09,0.93,0.89,1.0,1.17,2.15,2.62,3.39,3.37,4.07,3.41,3.22,3.03,2.5,1.85,1.57,1.21,1.12,1.22,1.33,1.54,2.32,2.51,3.85,5.01,6.96,6.03,7.49,9.63,11.29,10.38,10.57,15.7,12.26,11.79,12.48,12.66,12.63,12.74,11.45,11.71,15.24,12.85,10.46,11.35,12.59,9.69,7.44,10.41,8.49,7.97,7.86,6.7,5.71,5.78,4.87,5.36,5.49,4.89,3.81,4.78,4.3
Jiangsu,1.6,2.08,1.76,1.89,1.97,2.1,2.12,2.29,2.12,2.06,1.76,1.61,1.55,1.73,1.67,1.75,1.79,1.66,1.63,1.46,1.33,1.2,1.04,0.97,0.82,1.14,2.07,2.58,3.03,2.21,3.22,2.14,2.97,2.3,2.34,1.77,2.18,2.09,2.05,2.24,1.92,1.81,1.32,1.52,1.76,1.74,2.03,2.02,2.24,2.97,2.87,3.23,3.69,3.69,3.13,3.63,3.29,3.72,2.71,3.32,2.51,3.41,2.8,2.82,2.54,2.72,2.25,2.3,2.13,2.78,2.29,2.47,2.14,2.18,2.04,2.28,1.73,2.59,2.11,2.0,1.57,2.25,1.82
