Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Guangdong,17.03,13.7,15.26,14.9,15.38,13.43,12.32,11.25,9.29,11.73,11.04,9.65,9.28,8.07,7.2,6.79,5.65,5.38,5.22,5.37,5.77,7.18,8.35,8.56,10.99,17.27,21.56,23.83,27.58,29.5,31.13,31.02,31.51,30.77,28.48,29.07,32.86,34.58,37.04,39.92,35.32,34.96,35.32,32.78,29.78,33.91,33.25,34.34,33.34,30.9,29.57,30.28,30.88,30.66,31.51,31.54,29.04,29.26,28.81,29.36,29.74,29.05,27.98,27.62,28.56,28.83,28.71,27.87,30.2,28.71,27.99,28.05,27.4,28.63,27.84,28.81,27.52,26.94,26.24,26.25,27.65,26.73,27.07
Jiangxi,13.43,11.98,12.31,12.48,12.43,12.78,12.77,13.07,14.14,14.59,15.93,17.08,16.54,18.33,19.53,23.33,23.4,24.58,23.93,22.76,23.01,25.16,24.29,23.77,20.72,15.29,10.21,8.57,8.46,8.17,6.91,6.94,6.01,5.38,5.75,5.77,5.0,4.16,3.78,3.97,3.96,4.36,4.69,4.3,5.18,6.2,5.89,7.95,9.06,9.58,10.4,9.64,9.12,8.61,9.58,8.75,8.88,9.51,9.99,10.2,9.82,8.83,9.7,10.28,10.49,10.49,11.3,11.62,11.73,11.14,12.7,11.85,12.39,12.83,12.57,12.18,13.08,12.68,13.02,13.73,13.72,13.36,13.33
Zhejiang,12.41,9.45,10.79,10.74,10.37,9.5,8.82,8.16,7.11,9.02,8.34,7.46,6.95,6.05,5.58,4.83,4.23,4.07,4.2,4.48,4.86,6.25,7.54,9.07,9.67,12.96,12.8,11.78,11.52,11.57,10.13,9.84,8.66,7.88,6.9,6.66,5.07,4.49,4.16,4.66,5.15,7.24,9.56,9.87,12.03,13.99,13.8,15.74,15.19,14.53,16.68,16.67,16.87,15.62,16.88,15.17,14.52,14.44,14.87,15.21,15.85,14.69,15.27,15.08,15.86,14.92,15.36,15.67,15.46,16.14,16.76,16.08,16.98,17.16,17.07,16.59,17.32,17.05,17.54,17.64,18.02,17.56,17.14
Guizhou,7.11,9.46,7.58,7.3,7.22,7.77,8.51,9.13,9.91,9.18,8.53,8.15,8.87,8.51,8.08,7.39,7.99,8.41,7.66,8.31,7.79,5.93,5.24,4.32,3.46,3.37,3.37,3.22,2.69,2.56,3.16,3.15,3.1,2.72,2.04,1.94,1.63,1.71,1.63,1.37,1.46,1.67,1.29,1.63,1.45,1.46,1.8,1.63,2.93,4.32,4.24,4.23,4.37,4.39,3.66,4.11,4.2,3.58,3.75,3.65,3.4,3.59,3.2,3.32,3.34,3.16,2.85,3.07,2.83,2.82,3.03,2.95,2.71,2.7,2.77,2.73,2.44,2.73,2.72,2.9,2.48,2.59,2.66
Sichuan,5.92,7.38,6.84,6.86,6.91,7.19,7.35,7.78,9.07,6.38,6.62,7.88,8.62,9.07,9.0,8.04,8.25,9.56,9.71,9.99,9.79,8.89,8.42,8.11,7.83,5.28,3.86,3.9,3.38,2.87,2.99,2.98,2.95,3.48,3.33,3.3,2.99,3.34,2.84,2.54,2.42,2.39,2.4,2.07,1.95,1.96,2.02,2.11,1.46,1.67,1.66,1.53,1.6,1.8,2.12,1.89,2.08,2.31,2.38,2.2,2.15,2.5,2.57,2.44,2.37,2.42,2.15,2.4,2.3,2.01,2.34,2.24,2.39,2.06,2.2,2.33,2.09,2.15,2.24,2.19,2.18,2.24,2.22
Henan,4.61,5.73,4.98,5.38,5.03,5.6,5.37,5.85,6.22,5.24,5.94,5.43,5.99,6.72,7.06,6.82,7.02,6.26,6.72,6.9,6.79,5.84,5.84,5.64,6.01,4.27,4.48,3.61,2.74,2.2,1.93,1.93,1.47,1.85,1.96,1.74,1.66,1.48,1.49,1.35,1.45,1.84,1.65,1.78,1.73,2.26,2.52,2.34,1.79,1.92,1.8,1.76,1.62,2.36,2.18,2.36,2.56,2.46,2.42,2.86,2.82,3.08,3.11,3.21,3.34,3.4,3.42,3.51,3.28,4.04,3.29,3.79,3.3,3.07,3.01,2.84,2.83,3.2,3.07,3.13,3.18,3.38,3.48
Hunan,4.55,4.54,4.77,4.55,4.37,4.81,5.03,5.38,5.56,6.0,6.98,6.6,6.28,6.43,6.7,7.65,8.15,7.58,7.36,7.14,7.01,6.25,5.6,4.78,4.19,4.11,3.51,3.43,3.28,3.15,3.06,2.67,2.7,2.48,2.48,2.44,2.44,2.81,2.82,3.01,3.34,3.48,3.53,3.09,3.06,2.69,2.63,2.36,3.13,3.07,2.84,3.41,3.06,3.15,3.16,3.4,3.47,3.37,3.38,3.1,3.32,3.08,3.39,3.11,3.18,3.43,3.34,3.37,3.25,3.13,3.39,3.48,3.53,3.41,3.41,3.41,3.32,3.49,3.65,3.57,3.29,3.39,3.67
Hubei,4.44,5.16,5.26,5.01,4.99,5.11,5.1,5.46,5.99,5.62,6.46,6.87,6.52,6.79,6.93,7.33,8.56,7.28,7.97,7.71,7.16,6.5,5.54,3.73,2.74,1.55,0.91,0.65,0.58,0.5,0.43,0.42,0.39,0.37,0.51,0.85,0.56,0.45,0.39,0.65,0.41,0.62,0.68,1.09,0.91,0.5,0.47,0.35,0.42,0.38,0.26,0.3,0.37,0.26,0.2,0.23,0.25,0.25,0.37,0.28,0.22,0.24,0.29,0.38,0.29,0.32,0.27,0.46,0.35,0.51,0.54,0.58,0.66,1.15,0.94,0.99,1.26,1.49,1.69,1.84,2.02,2.37,1.98
Chongqing,4.04,5.41,4.78,4.7,4.55,4.85,5.03,5.59,6.25,5.52,6.06,5.99,6.38,6.81,6.89,5.98,6.47,7.27,6.88,6.75,6.65,5.27,4.65,4.58,3.83,2.75,2.28,2.23,1.97,2.05,1.94,1.55,1.8,1.68,1.83,2.36,1.94,2.17,1.8,1.5,1.64,1.58,1.22,1.37,1.23,1.35,1.56,0.96,1.14,1.28,1.13,1.3,1.52,1.67,1.56,1.46,1.61,1.51,1.46,1.48,1.66,1.51,1.43,1.6,1.7,1.73,1.82,1.9,1.81,2.03,1.76,1.96,2.12,1.96,2.08,1.88,1.97,1.91,1.96,1.94,1.81,1.9,1.9
