Origin,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Guangxi,21.82,18.06,17.34,15.57,15.55,14.48,14.24,14.14,13.19,14.45,15.28,14.95,15.28,16.02,15.67,14.84,14.53,15.3,14.62,14.96,14.47,14.32,13.61,12.41,11.06,11.99,14.98,17.81,19.78,19.33,17.8,18.16,17.54,15.78,15.93,16.47,15.14,15.68,16.81,18.75,17.19,20.26,21.24,22.1,21.92,22.65,23.93,24.85,23.96,24.92,25.8,28.98,27.15,28.16,28.43,30.34,31.36,29.45,30.27,28.47,30.95,26.66,24.72,24.23,24.28,24.22,23.43,25.32,24.71,23.39,25.13,23.28,22.79,22.57,22.47,20.81,19.33,17.84,16.43,15.94,17.43,16.14,17.01
Hunan,14.87,13.65,12.96,13.26,14.38,13.33,13.22,13.04,13.17,13.38,12.9,12.42,13.91,13.06,12.56,11.78,12.1,11.23,11.49,12.49,12.89,13.0,13.56,12.7,10.31,16.37,27.7,28.67,28.61,27.78,26.26,26.07,27.01,25.13,24.26,28.53,33.95,34.85,35.61,42.3,38.11,32.56,32.08,29.0,27.65,26.45,25.66,25.97,25.81,26.02,24.56,24.84,27.07,22.86,24.71,24.75,21.56,22.22,22.36,24.03,22.07,24.07,21.5,22.24,21.79,22.37,19.98,20.46,23.14,21.16,20.84,21.89,19.98,19.57,19.94,19.75,17.5,16.8,16.96,16.12,16.2,16.68,16.29
Jiangxi,8.22,7.74,7.4,7.65,7.57,6.85,6.75,6.49,6.2,6.62,6.57,6.34,6.6,6.93,6.89,6.84,6.8,6.25,6.35,6.67,6.55,6.62,6.74,6.26,5.1,8.76,14.41,12.72,10.9,11.22,11.78,12.11,12.44,12.49,10.51,10.43,10.56,10.05,9.71,10.9,12.3,11.94,11.33,11.46,11.45,13.54,14.31,15.31,16.37,15.29,14.89,15.46,13.54,12.47,12.5,11.41,10.14,10.44,11.38,10.72,11.79,11.44,11.22,10.84,11.21,10.62,10.1,10.33,11.22,9.75,11.2,10.07,9.81,10.21,10.54,9.89,9.26,8.41,8.29,8.12,8.6,8.21,8.2
Fujian,6.44,5.72,6.03,6.24,7.04,6.63,6.44,6.38,6.07,6.5,6.76,6.33,6.45,6.46,6.52,6.84,6.64,6.38,6.01,6.0,5.55,5.42,5.09,4.46,4.31,4.06,3.29,2.93,2.73,3.07,3.45,4.08,3.73,4.37,4.13,3.77,3.37,2.89,2.46,2.46,3.05,3.71,3.66,3.8,3.37,3.69,3.45,4.12,4.18,3.74,3.48,3.6,3.32,2.99,3.1,2.98,2.69,2.79,2.77,2.48,3.09,2.96,2.99,3.06,3.17,3.23,3.4,3.64,3.83,3.51,4.04,3.85,3.91,4.28,4.49,4.62,4.46,4.06,4.0,4.14,4.88,4.53,4.83
Hubei,4.24,4.91,4.61,4.72,4.64,4.59,4.88,5.09,5.32,4.94,4.6,4.66,4.7,4.5,4.63,4.47,4.65,4.51,4.82,5.21,5.53,5.71,5.91,7.3,18.74,26.86,6.84,2.17,0.96,0.51,0.46,0.43,0.53,0.55,0.58,0.53,0.42,0.27,0.25,0.22,0.3,0.53,0.65,0.82,1.23,1.3,0.92,0.82,0.92,0.87,0.83,0.92,1.16,1.56,1.92,2.05,2.12,0.67,0.24,0.13,0.11,0.09,0.1,0.11,0.11,0.11,0.24,0.38,0.31,0.37,0.36,0.25,0.59,2.25,4.84,8.81,14.94,18.33,20.46,22.1,21.37,21.39,21.96
Guizhou,3.17,3.31,3.19,3.13,2.47,2.34,2.4,2.54,2.95,3.18,2.74,2.41,2.2,2.05,1.95,2.01,1.94,1.88,1.88,2.01,3.17,2.93,2.95,3.19,2.72,2.0,2.31,2.6,3.0,3.1,3.42,2.86,2.97,3.18,3.41,2.84,2.14,2.11,2.02,1.79,2.65,3.06,3.54,3.85,3.9,4.4,4.61,4.03,5.42,6.41,6.45,4.6,5.95,5.95,5.16,5.03,5.64,6.45,6.09,6.77,5.09,7.02,7.45,7.14,7.56,7.72,7.99,6.87,6.88,8.42,6.51,8.4,8.19,8.0,6.77,6.43,5.91,6.64,6.27,5.97,5.28,6.33,5.01
Zhejiang,3.08,4.1,3.8,3.95,4.05,4.31,4.24,4.22,4.16,4.15,3.74,4.05,4.24,4.35,4.52,4.84,4.7,4.64,4.6,4.55,4.04,3.63,3.32,3.27,2.42,1.35,1.16,1.2,1.04,1.06,1.34,1.46,1.56,1.75,1.52,1.14,0.79,0.63,0.47,0.42,0.67,0.68,0.67,0.81,0.79,0.87,1.0,0.93,0.84,0.83,0.81,0.72,0.79,0.84,0.79,0.79,0.75,0.76,0.83,0.82,1.09,1.13,1.19,1.25,1.25,1.29,1.39,1.54,1.45,1.44,1.65,1.64,1.64,1.74,1.81,1.77,1.89,1.74,1.82,1.86,2.02,1.91,2.17
Henan,3.07,4.13,3.75,3.84,3.36,3.51,3.62,4.03,4.42,3.83,3.96,4.35,4.03,4.05,4.0,3.91,3.96,3.48,3.94,3.84,3.94,3.76,3.58,3.65,2.69,3.8,6.04,6.75,6.73,6.63,6.67,5.46,5.72,5.12,4.86,4.17,3.99,3.95,5.08,3.41,4.21,4.32,4.85,5.37,5.47,4.89,4.14,3.62,4.84,4.5,5.26,4.7,4.97,6.27,5.33,5.87,6.17,6.01,5.38,6.92,5.96,6.11,7.86,8.05,7.15,7.51,7.81,7.64,6.26,7.89,6.76,6.54,7.69,7.23,6.51,5.97,5.96,5.0,5.22,5.92,4.88,4.98,5.07
Sichuan,2.87,3.5,3.19,3.27,3.25,3.52,3.41,3.6,3.55,3.27,3.15,3.39,3.68,3.68,3.53,3.75,3.95,3.76,3.95,4.03,4.16,3.9,4.12,4.1,3.43,2.24,3.73,5.76,7.32,8.93,9.3,8.23,8.84,10.26,10.53,9.74,10.75,12.43,12.05,7.25,6.7,6.74,6.36,6.71,6.44,5.79,6.2,5.13,4.32,5.06,5.46,4.88,4.96,6.95,6.45,5.46,7.01,7.46,7.42,6.49,6.63,6.15,8.05,7.22,7.88,7.13,8.3,6.88,6.71,6.92,6.58,6.45,7.24,6.0,5.62,5.06,4.92,5.26,4.89,4.43,4.21,4.23,3.96
