Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Guangdong,54.86,50.14,48.26,43.18,43.35,39.3,37.23,35.76,32.44,36.6,37.2,34.57,34.87,34.06,31.52,29.39,27.74,28.44,27.12,27.29,27.65,29.67,30.5,30.05,29.87,39.06,52.74,60.33,67.7,68.54,68.43,67.31,71.24,68.52,66.24,69.39,74.16,78.6,83.87,86.77,81.21,76.99,77.51,75.04,72.54,76.97,79.5,77.28,78.72,80.77,82.68,84.37,85.21,85.41,85.34,86.32,85.88,84.03,83.72,84.58,84.51,82.9,80.44,79.24,78.7,78.88,76.18,75.29,76.52,76.66,74.29,73.87,71.94,71.27,70.43,70.32,68.81,68.4,66.07,63.99,64.05,63.49,64.08
Hunan,9.07,9.04,10.14,10.85,10.86,11.16,11.15,11.67,12.06,11.92,12.64,13.51,12.52,13.43,14.49,16.08,16.61,17.92,17.69,18.07,19.09,19.39,20.01,20.09,18.66,14.38,9.05,6.62,5.54,5.8,5.46,5.37,4.71,5.0,5.22,5.35,4.56,4.06,3.18,2.89,3.98,5.38,5.06,4.8,4.97,4.54,3.51,4.0,3.94,3.43,3.03,2.94,2.77,2.48,2.75,2.6,2.63,2.97,3.06,2.83,2.88,2.87,3.56,3.74,4.1,4.11,4.57,4.99,4.79,4.77,5.45,5.34,5.9,6.39,6.79,6.68,6.99,6.8,7.56,8.65,8.52,8.3,8.37
Guizhou,7.35,5.7,7.13,8.25,8.19,8.74,8.54,8.78,8.92,9.37,9.82,9.94,9.02,9.06,8.94,8.72,8.91,8.82,8.18,8.67,8.91,8.6,8.21,7.57,10.27,11.37,8.2,6.55,4.86,4.89,4.86,5.37,4.95,4.97,6.23,5.86,4.85,3.79,2.45,2.23,3.36,4.62,4.45,4.66,4.96,4.72,4.29,5.38,5.25,4.59,4.0,3.34,3.06,2.96,3.31,2.85,2.89,3.24,3.45,3.16,3.41,3.13,3.72,4.22,4.42,4.4,5.12,5.67,5.23,5.0,5.59,5.35,6.06,6.19,6.39,6.26,6.52,6.68,7.15,7.88,7.8,7.69,7.59
Yunnan,4.94,4.84,5.07,5.71,5.6,5.86,5.95,6.01,6.15,6.47,6.53,6.3,5.94,5.49,5.46,5.23,5.06,4.9,5.06,4.7,4.66,4.56,4.45,4.26,5.62,5.35,3.89,3.23,2.73,3.08,3.22,3.4,2.99,2.69,3.24,3.05,2.5,1.91,1.45,1.28,1.78,2.49,2.57,2.65,2.91,2.79,2.58,2.91,2.52,2.09,1.77,1.84,1.65,1.88,2.16,2.02,2.09,2.31,2.21,2.09,2.09,2.18,2.69,2.87,2.95,2.9,3.26,3.48,3.2,3.16,3.49,3.64,4.04,4.07,3.9,3.59,4.04,4.17,4.57,4.9,4.92,4.79,4.81
Sichuan,2.36,3.15,3.02,3.25,3.27,3.65,3.9,4.25,4.8,4.1,4.18,4.0,4.38,4.71,4.64,5.09,5.15,4.74,5.11,4.99,5.05,4.64,4.74,5.35,5.64,4.86,4.49,3.9,3.27,2.92,2.89,2.77,2.51,3.18,3.4,2.95,2.5,2.17,1.49,1.22,1.49,2.0,1.8,1.83,1.89,1.75,1.35,1.34,1.26,1.1,1.03,0.88,0.82,0.7,0.63,0.6,0.64,0.7,0.71,0.71,0.77,0.87,0.81,0.72,0.68,0.74,0.81,0.79,0.83,0.82,0.88,0.91,0.91,1.04,1.0,1.15,1.04,1.12,1.13,1.3,1.27,1.31,1.46
Hubei,1.89,2.36,2.29,2.57,2.77,2.83,3.15,3.23,3.86,3.2,2.94,3.47,3.61,3.75,4.4,4.04,4.44,4.28,4.76,4.39,4.18,3.96,3.06,2.08,1.45,0.84,0.44,0.45,0.25,0.26,0.23,0.21,0.23,0.19,0.26,0.22,0.17,0.14,0.13,0.1,0.15,0.16,0.28,0.24,0.25,0.25,0.33,0.19,0.18,0.16,0.16,0.1,0.13,0.11,0.13,0.1,0.1,0.1,0.08,0.08,0.07,0.06,0.07,0.08,0.07,0.09,0.12,0.14,0.16,0.13,0.18,0.22,0.24,0.25,0.33,0.47,0.55,0.69,0.73,0.66,0.82,1.05,0.96
Henan,1.7,2.51,2.27,2.52,2.49,2.91,3.15,3.1,3.26,2.8,2.8,2.98,3.38,3.37,3.77,3.8,4.03,3.4,3.82,3.83,3.66,3.41,3.31,3.2,2.84,2.51,2.23,1.52,1.15,0.98,0.97,0.86,0.71,0.76,0.8,0.67,0.45,0.55,0.5,0.34,0.44,0.63,0.58,0.7,0.73,0.63,0.6,0.66,0.52,0.45,0.41,0.38,0.34,0.39,0.41,0.35,0.4,0.4,0.46,0.39,0.4,0.39,0.51,0.58,0.61,0.56,0.65,0.78,0.67,0.67,0.81,0.73,0.87,0.81,0.83,0.8,0.87,0.85,1.05,0.97,1.04,1.14,0.99
Zhejiang,1.58,1.95,1.58,2.03,2.01,2.01,2.06,2.11,2.03,1.94,1.74,1.78,1.88,1.82,1.7,2.04,1.91,1.82,2.08,2.16,2.17,1.85,2.03,1.98,1.7,1.55,1.78,1.89,1.77,1.73,1.87,1.95,1.54,1.68,1.44,1.01,0.84,0.69,0.47,0.3,0.44,0.54,0.81,1.29,1.45,1.7,1.72,1.64,1.73,1.93,1.96,1.72,1.75,1.71,1.33,1.38,1.47,1.82,1.81,1.75,1.51,1.95,2.18,2.19,2.17,2.11,2.4,2.02,1.91,1.95,2.07,2.12,2.01,2.02,1.96,2.09,1.86,1.95,2.21,1.9,1.81,1.97,1.92
Chongqing,1.57,1.97,1.93,2.06,1.94,2.27,2.42,2.52,2.7,2.57,2.35,2.37,2.62,2.57,2.43,2.61,2.66,2.52,2.64,2.61,2.44,2.33,2.45,2.63,2.77,3.21,2.93,2.56,1.88,1.61,1.27,1.06,0.99,1.13,0.83,0.75,0.82,0.71,0.58,0.43,0.52,0.5,0.59,0.41,0.42,0.33,0.29,0.37,0.35,0.34,0.28,0.32,0.25,0.21,0.26,0.21,0.23,0.26,0.28,0.28,0.29,0.35,0.36,0.43,0.41,0.41,0.46,0.55,0.48,0.52,0.61,0.59,0.61,0.71,0.81,0.74,0.81,0.8,0.8,0.9,0.91,0.97,0.92
Jiangxi,1.44,1.78,1.85,2.11,2.26,2.27,2.3,2.52,2.98,2.67,2.61,2.87,2.96,3.07,3.54,3.78,4.18,4.39,4.35,4.31,4.24,4.17,4.13,4.28,2.75,2.13,1.91,1.56,1.47,1.44,1.5,1.14,1.22,1.01,0.89,0.85,0.69,0.71,0.49,0.31,0.47,0.52,0.52,0.61,0.76,0.85,0.7,0.83,1.06,1.17,1.02,1.0,1.02,0.86,0.71,0.78,0.73,0.83,0.81,0.79,0.7,0.91,0.95,0.96,0.98,1.04,1.06,1.09,1.06,1.17,1.26,1.35,1.34,1.28,1.4,1.45,1.54,1.75,1.56,1.64,1.53,1.74,1.49
Hainan,1.4,1.57,1.66,1.44,1.47,1.46,1.76,1.65,1.64,1.59,1.51,1.35,1.55,1.51,1.48,1.51,1.31,1.3,1.3,1.37,1.2,1.37,1.49,1.57,1.54,1.27,1.04,0.91,0.85,0.87,1.09,1.17,0.9,1.26,1.02,0.83,0.8,0.46,0.36,0.29,0.66,0.55,0.53,0.49,0.59,0.56,0.44,0.49,0.44,0.4,0.4,0.31,0.36,0.38,0.39,0.48,0.47,0.58,0.53,0.53,0.53,0.74,0.8,0.83,0.74,0.78,0.8,0.7,0.73,0.93,0.67,0.9,0.85,0.95,0.74,0.92,1.13,0.94,1.08,0.97,1.01,1.11,1.07
Jiangsu,1.38,1.44,1.6,1.67,1.69,1.81,1.86,2.05,1.93,1.73,1.52,1.65,1.66,1.67,1.69,1.73,1.84,1.76,1.82,1.83,1.64,1.64,1.5,1.57,1.37,1.48,1.34,1.36,1.1,1.09,1.03,1.18,0.91,1.24,1.33,1.27,1.04,0.94,0.77,0.54,0.73,0.67,0.51,0.58,0.63,0.59,0.61,0.58,0.57,0.52,0.57,0.48,0.4,0.47,0.49,0.4,0.43,0.5,0.53,0.44,0.46,0.61,0.59,0.68,0.67,0.61,0.73,0.73,0.69,0.62,0.68,0.81,0.81,0.72,0.84,0.86,0.82,0.85,0.88,0.92,0.89,0.96,0.96
Fujian,1.29,1.8,1.73,1.93,1.84,1.86,2.17,1.99,2.53,2.01,2.08,2.31,2.39,2.48,2.82,3.1,3.3,3.55,3.85,3.66,3.46,2.98,2.76,2.79,1.84,1.36,1.06,1.03,0.99,1.08,1.36,1.3,1.27,1.34,1.23,1.22,1.13,0.77,0.57,0.45,0.7,0.68,0.89,0.85,1.03,0.85,0.87,0.87,0.92,0.91,0.78,0.78,0.79,0.77,0.6,0.69,0.69,0.72,0.81,0.88,0.78,1.02,1.21,1.19,1.19,1.13,1.25,1.12,1.15,1.21,1.12,1.25,1.16,1.25,1.13,1.25,1.19,1.28,1.27,1.34,1.22,1.26,1.17
Shandong,1.27,1.77,1.6,1.8,1.85,1.84,2.15,2.11,2.13,2.02,1.76,1.85,2.06,1.82,1.94,1.91,1.9,1.74,1.89,1.92,1.81,1.68,1.69,1.68,1.58,1.27,1.05,0.8,0.47,0.41,0.42,0.4,0.42,0.47,0.49,0.47,0.36,0.33,0.32,0.22,0.45,0.52,0.36,0.33,0.38,0.38,0.37,0.35,0.29,0.26,0.24,0.15,0.17,0.18,0.18,0.15,0.15,0.18,0.2,0.17,0.19,0.26,0.26,0.3,0.31,0.3,0.38,0.35,0.4,0.33,0.47,0.45,0.5,0.46,0.48,0.46,0.6,0.53,0.62,0.68,0.63,0.59,0.7
Beijing,1.2,1.48,1.45,1.41,1.63,1.68,1.56,1.69,1.41,1.48,1.41,1.4,1.39,1.48,1.3,1.35,1.23,1.19,1.13,1.03,0.99,0.96,1.11,1.41,1.26,1.2,1.23,1.19,0.89,0.92,1.15,1.54,1.19,1.53,1.77,1.34,0.98,0.66,0.58,0.45,0.87,0.79,0.64,0.62,0.57,0.47,0.52,0.47,0.32,0.23,0.26,0.16,0.14,0.19,0.17,0.11,0.13,0.16,0.14,0.12,0.16,0.12,0.17,0.16,0.15,0.12,0.13,0.14,0.15,0.16,0.17,0.17,0.17,0.21,0.18,0.25,0.25,0.17,0.23,0.23,0.27,0.23,0.26
Hebei,1.16,1.61,1.57,1.74,1.46,1.98,1.92,1.76,1.72,1.56,1.79,1.77,1.76,1.7,1.73,1.71,1.76,1.76,1.81,1.89,1.75,1.72,1.74,1.57,1.97,1.34,1.45,1.07,0.82,0.68,0.56,0.68,0.49,0.65,0.86,0.59,0.63,0.45,0.38,0.24,0.34,0.49,0.44,0.44,0.51,0.38,0.36,0.34,0.33,0.19,0.26,0.25,0.23,0.19,0.16,0.15,0.17,0.19,0.19,0.22,0.17,0.23,0.24,0.24,0.27,0.27,0.36,0.37,0.34,0.25,0.35,0.33,0.37,0.36,0.46,0.37,0.39,0.41,0.44,0.42,0.49,0.47,0.51
Shanghai,0.85,1.06,1.01,1.22,1.1,1.18,1.23,1.09,1.02,0.93,1.03,0.95,1.01,0.94,0.85,0.91,0.78,0.75,0.62,0.62,0.62,0.66,0.75,0.81,0.88,1.08,0.87,1.09,0.89,0.81,0.96,1.24,1.18,1.67,1.74,1.51,1.54,1.3,1.0,0.9,1.09,0.93,0.91,0.89,0.68,0.68,0.59,0.47,0.37,0.32,0.27,0.19,0.14,0.21,0.2,0.15,0.21,0.22,0.2,0.18,0.21,0.32,0.31,0.35,0.33,0.32,0.34,0.38,0.34,0.37,0.37,0.42,0.5,0.39,0.43,0.45,0.51,0.53,0.41,0.53,0.6,0.55,0.52
Anhui,0.82,1.02,1.17,1.24,1.24,1.33,1.34,1.46,1.68,1.34,1.27,1.31,1.5,1.69,1.8,1.89,2.1,2.09,1.81,1.93,1.87,1.87,1.76,1.62,1.6,0.95,0.61,0.62,0.5,0.5,0.42,0.42,0.38,0.35,0.44,0.42,0.3,0.32,0.28,0.2,0.26,0.34,0.22,0.34,0.36,0.31,0.25,0.24,0.23,0.21,0.18,0.17,0.14,0.19,0.18,0.16,0.17,0.19,0.21,0.2,0.2,0.25,0.26,0.28,0.31,0.29,0.35,0.33,0.32,0.3,0.35,0.43,0.44,0.44,0.42,0.41,0.49,0.48,0.48,0.46,0.54,0.63,0.57
Shaanxi,0.76,0.99,0.95,1.14,1.06,1.26,1.42,1.36,1.58,1.39,1.16,1.27,1.27,1.18,1.3,1.27,1.24,1.12,1.31,1.15,1.06,1.1,1.06,1.34,1.45,0.99,0.81,0.68,0.64,0.46,0.41,0.45,0.35,0.45,0.33,0.26,0.32,0.21,0.16,0.07,0.13,0.21,0.19,0.25,0.17,0.2,0.13,0.14,0.1,0.12,0.06,0.07,0.12,0.12,0.13,0.09,0.08,0.12,0.11,0.14,0.11,0.21,0.22,0.2,0.22,0.22,0.28,0.24,0.23,0.28,0.3,0.29,0.29,0.27,0.32,0.3,0.38,0.35,0.42,0.33,0.35,0.35,0.37
Shanxi,0.46,0.55,0.57,0.55,0.62,0.71,0.73,0.84,0.78,0.68,0.58,0.63,0.7,0.67,0.67,0.61,0.7,0.57,0.62,0.63,0.66,0.6,0.56,0.74,0.78,0.54,0.46,0.34,0.22,0.18,0.2,0.24,0.23,0.21,0.35,0.21,0.11,0.14,0.1,0.05,0.1,0.17,0.17,1.78,3.12,0.13,0.13,0.58,0.08,0.07,0.06,0.04,0.06,0.07,0.04,0.05,0.06,0.06,0.05,0.06,0.05,0.08,0.1,0.09,0.09,0.1,0.09,0.18,0.12,0.09,0.14,0.11,0.14,0.11,0.18,0.19,0.14,0.16,0.14,0.16,0.14,0.16,0.17
Liaoning,0.46,0.6,0.51,0.57,0.56,0.61,0.68,0.66,0.88,0.68,0.51,0.78,0.67,0.66,0.75,0.64,0.65,0.6,0.64,0.65,0.54,0.59,0.53,0.72,0.9,0.69,0.44,0.36,0.33,0.22,0.28,0.26,0.24,0.23,0.29,0.38,0.25,0.2,0.14,0.15,0.16,0.11,0.22,0.19,0.3,0.15,0.27,0.16,0.16,0.17,0.08,0.12,0.08,0.13,0.07,0.06,0.08,0.09,0.1,0.06,0.11,0.09,0.12,0.15,0.11,0.13,0.11,0.13,0.11,0.1,0.16,0.13,0.18,0.17,0.19,0.2,0.18,0.18,0.15,0.22,0.18,0.27,0.21
