Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Jilin,25.15,19.66,23.66,24.09,23.16,21.86,19.58,20.41,19.74,22.79,23.46,21.86,21.89,21.48,22.22,21.86,21.76,22.74,22.33,23.3,23.68,25.44,26.26,25.32,30.88,35.64,29.71,23.25,20.78,20.38,17.39,17.12,17.61,13.79,15.22,14.18,13.91,13.56,12.97,14.26,15.47,16.97,18.8,17.63,17.63,21.81,19.09,20.02,18.24,16.73,16.47,17.21,17.02,20.24,18.75,19.18,15.83,15.26,16.03,13.27,16.3,14.66,15.34,16.12,14.62,15.13,14.77,16.28,14.98,16.15,15.57,17.5,17.67,17.77,16.87,19.06,18.88,19.47,19.26,19.32,20.32,20.25,21.24
Liaoning,14.22,14.92,14.27,14.07,15.96,13.89,13.46,14.02,13.36,14.2,14.2,13.61,15.15,14.91,14.34,14.64,14.57,14.36,14.18,14.79,15.98,16.42,16.83,15.46,11.03,14.13,20.01,24.47,25.59,27.42,27.38,25.54,23.88,23.11,19.35,18.62,17.59,17.56,17.51,17.92,20.13,23.13,22.35,21.51,15.66,21.23,16.84,17.39,20.56,27.72,20.99,19.68,15.85,17.08,19.53,23.47,23.01,19.97,19.19,21.7,18.39,25.96,21.91,17.62,19.22,19.34,18.42,19.18,23.06,18.27,16.56,17.74,18.21,17.72,17.38,18.02,17.91,18.32,17.26,18.14,16.77,16.57,17.25
Inner Mongolia,13.59,9.49,10.77,11.35,11.05,11.52,10.98,11.42,10.81,11.53,12.16,12.02,11.55,12.53,12.34,12.66,11.97,12.76,12.12,12.71,12.44,12.5,12.53,12.69,15.01,19.24,14.52,10.12,8.58,7.94,6.86,6.44,6.73,6.48,7.01,7.25,6.89,7.07,6.49,6.35,6.58,7.22,7.8,7.72,7.76,9.76,8.04,6.99,7.59,6.99,6.98,6.77,7.35,8.44,7.35,7.57,6.83,7.35,7.09,7.28,8.71,8.05,8.08,9.14,7.74,7.44,7.83,9.15,8.45,9.29,8.97,8.08,7.96,8.33,8.46,9.16,10.05,8.99,9.72,10.38,12.65,12.95,13.34
Beijing,8.54,9.07,8.44,8.31,9.45,9.24,9.24,8.73,8.47,8.77,8.9,8.8,8.83,8.05,7.9,7.81,7.41,6.95,7.03,6.4,6.57,6.44,6.34,6.61,4.67,4.6,7.46,9.78,11.56,12.88,15.18,16.86,16.61,19.22,18.15,17.73,17.85,18.0,19.44,17.95,17.56,16.71,15.13,13.79,12.48,12.87,14.57,13.91,12.64,10.59,11.24,10.59,10.32,9.54,9.09,8.61,8.99,9.53,8.34,9.55,8.66,7.48,6.83,6.83,6.62,6.52,6.51,6.3,5.93,6.59,6.53,6.62,6.3,6.47,6.82,6.71,6.62,6.78,6.47,5.96,5.85,5.86,5.22
Shandong,5.69,7.08,6.26,6.16,5.83,6.16,6.7,6.37,6.25,6.05,5.51,5.99,5.98,5.92,6.58,6.56,7.37,7.1,7.59,7.62,7.26,6.93,6.7,6.69,6.1,4.71,4.78,5.64,5.9,6.32,6.68,6.34,6.35,6.43,6.57,7.19,7.82,8.43,8.23,8.17,7.51,6.92,8.58,7.11,7.93,5.41,8.79,7.37,9.72,8.99,9.51,10.45,10.83,9.23,8.69,8.44,9.83,10.21,10.17,9.53,9.66,8.37,9.68,11.07,12.0,12.26,12.24,11.59,11.45,11.82,13.23,12.23,13.51,12.6,13.01,11.5,11.85,11.93,12.35,12.2,11.62,11.09,10.83
Hebei,4.47,5.7,5.12,5.02,4.83,5.01,4.98,4.76,5.16,4.99,5.2,4.86,4.46,5.39,5.34,5.44,5.98,5.83,6.17,5.51,5.74,5.46,5.77,5.18,3.49,3.67,4.96,6.94,7.13,6.97,7.72,7.16,7.28,7.4,6.48,6.32,6.34,6.02,5.19,4.53,4.92,4.68,4.27,4.93,4.34,4.67,5.08,5.04,6.29,5.3,7.85,6.99,5.83,5.13,6.6,6.12,8.34,7.88,8.12,7.06,6.44,5.87,9.23,7.22,8.3,8.36,10.3,7.79,7.63,9.41,9.97,9.3,9.55,10.03,9.71,8.6,9.41,9.2,9.08,9.45,9.12,8.78,8.51
Guangdong,3.12,3.24,2.72,2.75,2.54,2.69,2.98,2.9,3.16,2.77,3.05,3.13,2.88,2.8,3.07,3.16,3.35,3.19,3.46,3.57,3.41,3.66,3.37,3.69,4.27,2.48,2.28,2.43,2.57,2.09,2.11,2.34,2.76,3.24,4.26,4.95,4.75,5.72,5.62,7.05,5.75,4.52,4.54,3.92,4.33,4.6,5.49,4.46,3.79,3.77,3.53,3.85,4.13,4.39,3.38,3.22,2.86,3.32,3.94,3.73,4.47,4.09,3.7,4.03,4.04,4.07,3.56,3.69,3.6,3.68,3.61,3.34,3.4,3.14,3.11,2.96,2.96,2.93,2.94,2.57,2.33,2.81,2.64
Tianjin,2.74,2.72,2.82,2.84,2.94,2.77,2.81,2.92,2.71,2.82,2.76,2.56,2.59,2.48,2.4,2.44,2.25,2.47,2.27,2.36,2.21,2.09,2.04,1.94,1.31,1.58,3.06,4.01,5.0,5.6,6.06,6.71,6.62,6.73,5.73,5.22,5.03,4.44,4.07,3.69,3.61,2.98,3.21,3.21,3.49,3.09,3.57,4.08,4.86,4.12,6.41,5.21,5.17,4.25,5.51,5.39,7.05,6.15,6.61,5.87,5.26,5.25,6.04,6.33,6.35,6.32,6.52,5.98,5.08,5.41,5.79,5.61,5.34,5.75,5.28,5.1,5.19,4.93,5.13,4.77,4.53,4.69,4.49
Jiangsu,2.4,2.82,2.62,2.49,2.56,2.56,2.78,2.71,2.84,2.77,2.57,2.72,2.52,2.46,2.55,2.56,2.76,2.67,2.67,2.79,2.54,2.61,2.48,2.59,2.25,1.92,2.42,2.58,2.48,2.13,1.96,2.08,2.16,2.42,3.46,3.48,4.45,4.05,4.55,3.62,3.15,3.05,2.48,2.31,2.86,2.97,3.05,3.21,3.04,3.14,3.2,3.98,4.49,4.8,4.42,4.33,4.22,4.95,5.11,5.36,5.07,4.3,4.33,4.88,4.56,4.62,4.76,4.6,4.39,4.47,4.72,4.6,4.04,4.17,4.24,3.9,4.0,3.67,4.1,3.77,3.75,3.89,3.48
