Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Guangdong,79.97,80.03,87.34,86.16,82.54,83.41,81.47,80.21,80.15,82.52,87.05,87.1,81.88,80.68,78.83,77.44,73.17,80.38,79.0,74.47,78.12,78.73,76.36,74.9,74.79,74.28,71.37,65.83,63.17,62.68,66.18,69.87,68.29,70.4,74.71,71.59,76.2,77.86,71.33,71.49,73.87,76.2,77.81,79.54,80.15,84.06,80.94,81.88,83.99,80.26,80.91,79.97,77.5,76.22,79.15,80.42,80.07,81.14,80.78,80.17,77.39,76.71,81.78,78.88,79.47,79.52,75.81,77.29,75.08,81.12,80.5,80.84,83.45,76.27,76.03,76.67,80.6,81.33,80.35,83.16,81.01,80.34,80.37
Fujian,2.68,3.39,2.07,2.34,2.72,2.81,3.44,2.9,2.92,2.58,1.57,1.77,2.36,3.01,3.14,3.57,3.72,3.6,4.35,5.63,4.24,5.23,6.27,6.26,4.44,4.2,3.34,3.72,3.81,4.62,3.76,3.65,3.42,3.06,2.97,3.75,2.38,2.36,3.12,3.16,2.96,2.83,3.86,2.14,3.5,1.98,4.03,2.17,1.79,3.02,1.75,3.88,2.31,4.12,2.58,2.14,3.78,3.11,4.21,2.61,3.7,2.32,2.02,3.63,2.91,3.45,2.64,2.68,2.12,2.41,2.76,2.3,1.51,1.4,2.78,1.7,1.28,1.78,1.19,1.16,1.24,1.28,0.83
Shanghai,2.26,2.72,1.7,1.65,2.43,1.87,2.07,2.58,2.64,2.36,1.45,1.56,2.18,2.24,2.46,2.67,2.42,2.13,2.31,2.01,1.87,1.75,1.63,1.46,1.22,1.55,2.42,3.95,5.19,4.45,3.91,4.39,4.8,4.31,4.62,4.59,4.05,4.41,5.98,5.9,4.88,3.8,3.94,3.47,3.71,3.96,3.52,2.53,2.18,1.86,2.11,1.94,2.39,2.71,2.07,1.45,2.03,2.17,1.2,1.92,2.0,2.07,1.32,2.02,1.81,1.76,2.11,2.44,1.99,1.56,1.38,1.26,0.96,1.77,2.26,2.35,2.09,3.57,2.45,1.53,3.51,3.41,2.51
Beijing,1.51,2.11,1.42,1.41,2.0,1.72,1.73,1.86,1.62,1.55,1.37,1.35,1.58,2.12,2.43,2.0,2.15,1.97,1.65,1.95,1.86,1.39,1.42,1.64,1.35,1.56,2.26,3.35,3.13,3.54,3.48,3.11,3.86,3.49,2.65,3.23,2.67,2.47,4.35,4.13,3.15,3.99,2.99,2.28,1.82,1.03,2.68,1.01,1.63,0.88,1.93,1.34,1.4,2.01,0.97,1.07,1.26,1.08,1.2,0.68,2.07,1.63,1.89,1.18,1.6,0.38,1.66,1.95,1.28,1.13,1.38,1.55,0.55,1.26,0.97,0.91,1.55,1.28,1.11,1.09,1.31,0.94,0.55
Zhejiang,1.2,0.99,0.64,0.9,1.0,0.94,1.33,1.92,2.48,2.22,1.55,1.04,1.06,1.15,1.46,1.6,2.27,1.16,1.22,1.38,1.39,1.34,1.49,1.54,1.37,1.41,2.37,2.99,3.18,2.61,3.09,2.18,1.78,1.34,1.35,1.33,1.83,1.02,1.85,0.8,1.1,1.48,1.02,0.66,0.63,0.55,1.09,1.08,0.93,0.97,1.05,0.74,1.07,1.14,0.71,0.99,1.12,0.87,1.07,1.16,1.18,1.12,1.2,0.69,1.16,0.69,0.68,0.65,0.64,0.56,0.46,0.59,0.62,0.29,0.6,0.58,0.47,0.42,0.89,0.72,0.21,0.42,0.48
Jiangsu,0.98,0.95,0.59,0.86,0.95,0.74,1.07,1.38,1.42,1.25,0.81,0.65,0.83,0.84,1.34,1.12,1.33,0.95,1.1,1.42,1.03,0.89,1.04,1.07,1.08,1.09,1.78,2.32,2.23,2.19,2.53,1.88,2.12,1.84,1.84,1.47,2.05,1.51,2.04,3.05,2.1,1.28,1.24,1.1,1.47,0.47,0.41,0.5,0.39,0.62,0.7,1.04,0.57,1.14,1.03,0.84,0.77,0.5,0.26,1.44,0.59,1.5,0.69,0.9,1.09,0.84,0.9,0.56,0.9,0.56,0.99,0.66,0.62,0.88,1.28,0.32,0.67,0.5,0.52,0.72,0.87,0.51,0.62
Guangxi,0.64,0.84,0.65,0.49,0.57,0.68,0.94,0.82,0.6,0.71,0.79,0.52,0.64,0.52,0.6,0.79,1.22,0.62,0.59,1.11,0.75,1.12,1.24,1.54,1.38,1.11,0.89,0.9,1.29,1.32,1.15,0.84,1.14,1.05,0.73,0.84,0.84,0.7,1.31,0.75,0.66,0.7,0.72,0.66,0.98,0.23,0.58,0.21,0.78,0.53,0.35,0.44,0.66,1.22,0.58,0.61,0.84,1.01,0.73,0.41,1.18,0.81,0.88,0.9,0.58,0.46,1.51,0.65,0.64,0.63,0.38,0.66,0.62,0.74,0.75,0.39,0.4,0.57,1.48,0.43,1.02,0.68,0.41
Hunan,0.6,0.73,0.53,0.48,0.67,0.68,0.83,0.81,0.65,0.49,0.48,0.46,0.87,0.81,0.71,0.98,1.13,0.97,0.98,1.25,1.06,1.27,1.62,1.91,1.43,1.17,1.47,1.46,1.55,1.77,1.23,1.14,1.02,1.38,1.08,1.15,1.5,0.91,0.9,0.64,0.52,0.45,1.09,0.44,0.21,0.79,0.58,0.5,0.39,0.44,0.61,0.59,0.24,1.66,0.58,0.84,0.21,0.36,0.73,0.34,0.59,0.5,0.44,0.76,0.65,0.38,0.37,0.16,0.51,0.42,0.76,0.44,0.27,0.44,0.52,0.52,0.47,0.42,0.89,0.65,0.29,0.59,0.27
Hainan,0.4,0.84,0.25,0.26,0.44,0.28,0.39,0.38,0.32,0.31,0.29,0.35,0.51,0.47,0.54,0.66,0.57,0.45,0.5,0.64,0.65,0.54,0.59,0.67,0.96,0.6,0.56,0.53,0.65,0.62,0.79,0.64,0.84,0.64,0.61,0.84,0.45,0.7,0.81,0.85,0.14,0.58,0.58,0.81,0.49,0.23,0.33,0.36,0.31,0.88,0.43,0.52,0.41,0.26,0.38,0.38,0.56,1.3,1.07,0.48,0.74,0.37,0.44,0.9,0.8,0.92,0.52,0.65,0.12,0.21,0.46,0.37,0.48,1.03,0.45,0.39,0.67,0.5,0.52,1.45,0.21,0.51,0.41
Sichuan,0.37,0.63,0.29,0.42,0.45,0.36,0.63,0.51,0.44,0.39,0.42,0.28,0.75,0.65,0.78,0.96,1.55,0.62,0.74,0.91,0.7,0.68,0.78,0.8,1.03,1.04,1.18,1.71,2.27,2.18,2.12,1.84,1.34,1.24,1.37,1.12,1.33,0.56,0.9,0.75,1.05,0.64,1.16,1.1,0.14,0.23,0.5,0.36,0.15,0.71,0.26,0.89,1.07,0.43,0.38,0.22,0.7,0.58,0.53,0.48,0.29,0.37,0.82,0.2,0.43,0.07,0.22,0.4,1.03,0.56,1.07,0.37,0.27,0.88,0.6,0.26,0.2,0.21,0.29,0.65,0.14,0.17,0.69
Yunnan,0.18,0.19,0.1,0.11,0.2,0.07,0.26,0.21,0.21,0.19,0.09,0.06,0.33,0.24,0.26,0.23,0.28,0.3,0.26,0.36,0.3,0.15,0.32,0.36,0.39,0.3,0.51,0.4,0.34,0.64,0.42,0.42,0.42,0.11,0.17,0.35,0.32,0.42,0.63,0.64,0.47,0.19,0.43,0.29,0.14,0.31,0.08,0.28,0.23,0.35,0.52,0.07,0.16,0.78,0.19,0.07,0.49,0.21,0.13,0.13,0.07,0.18,0.25,0.48,0.21,0.15,0.07,0.32,0.19,0.35,0.15,0.14,0.2,0.22,0.3,0.13,0.13,0.35,0.07,0.07,0.21,0.25,0.48
