Origin,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Liaoning,13.85,14.3,13.96,14.8,15.99,15.88,14.81,13.87,13.69,14.18,13.9,13.5,13.33,12.89,13.37,14.03,13.8,14.12,14.18,14.19,15.01,16.23,16.82,15.36,16.87,20.52,17.37,15.83,15.85,14.82,14.99,15.85,17.73,15.34,16.55,17.56,18.03,18.16,17.39,15.93,15.55,15.27,16.19,16.01,15.9,14.31,15.11,14.76,15.23,15.37,14.66,13.76,13.4,15.25,16.75,15.89,15.38,15.67,15.46,13.86,14.8,14.54,14.25,12.95,15.18,14.81,15.04,14.95,14.78,13.72,16.01,14.91,14.71,14.81,15.0,14.38,13.92,14.65,15.22,14.14,14.27,14.6,14.25
Hebei,13.01,13.94,13.6,13.41,11.62,10.52,12.55,12.88,12.22,13.38,12.52,12.48,11.67,11.96,11.77,12.03,11.48,10.74,10.89,10.65,10.58,9.98,9.2,10.21,10.59,12.56,13.8,13.79,12.79,16.73,15.85,15.83,14.08,14.31,14.51,15.63,13.95,15.51,13.37,14.1,14.56,15.31,14.88,14.61,13.73,11.88,13.74,16.62,18.37,15.74,15.63,16.21,17.94,16.56,16.58,16.05,15.96,14.94,15.32,14.69,14.25,14.29,13.51,14.06,14.07,14.06,12.82,13.65,13.37,14.61,15.2,14.98,14.96,15.0,15.08,14.68,14.68,14.76,14.82,14.62,14.1,14.29,14.54
Shaanxi,12.61,8.53,10.77,10.96,7.27,7.55,8.34,8.44,8.47,8.75,9.67,10.66,10.34,10.62,10.06,8.72,9.12,9.48,8.98,8.5,7.83,7.57,6.87,7.1,8.68,9.77,8.95,8.36,8.58,6.68,8.21,8.69,8.64,9.78,9.94,10.05,11.58,10.81,12.17,12.9,12.06,13.58,13.7,14.78,14.96,15.14,13.95,15.35,13.13,14.0,13.96,13.49,13.16,13.18,14.31,13.57,13.93,14.77,15.16,15.06,14.75,15.13,14.49,14.63,14.63,14.95,15.64,14.77,15.54,14.31,13.57,14.55,14.79,14.52,14.55,14.43,13.77,14.12,13.77,14.54,14.76,13.95,14.3
Shanxi,11.3,10.92,10.68,8.77,6.09,5.16,6.44,8.0,7.44,8.46,8.67,8.92,8.18,9.04,9.03,8.09,7.33,7.49,7.01,6.72,6.31,6.13,6.34,7.11,6.6,8.62,9.76,9.11,8.33,11.62,11.4,12.47,11.13,13.17,13.95,13.79,13.81,13.88,12.75,17.15,18.79,17.16,15.7,15.83,16.39,16.43,14.84,18.1,17.9,16.58,18.36,18.8,18.35,17.5,16.18,18.27,17.64,15.18,15.69,17.1,17.76,16.2,16.69,16.72,16.98,16.43,16.89,16.59,14.31,17.31,16.27,15.84,15.53,14.71,15.09,14.77,14.16,14.61,14.82,14.33,13.52,12.99,13.07
Beijing,9.59,11.01,11.23,9.7,11.75,11.92,12.16,11.67,12.62,11.78,12.97,11.66,12.02,11.84,13.23,14.59,15.62,17.33,17.37,18.23,20.18,22.15,22.89,21.12,14.18,8.09,5.99,5.16,4.58,4.39,4.48,4.32,4.66,5.24,4.91,4.67,4.46,4.46,4.55,3.95,3.99,3.65,3.67,3.75,3.2,3.32,4.06,2.99,2.6,2.46,2.45,2.72,2.4,2.55,2.41,2.37,2.33,2.26,2.22,2.17,2.25,2.33,2.3,2.27,2.16,1.94,1.83,2.09,2.38,2.09,2.16,2.19,2.07,2.1,2.0,2.17,1.99,2.02,2.0,2.12,2.12,2.13,2.12
Heilongjiang,8.37,7.49,7.73,8.3,9.55,9.81,8.22,8.49,8.13,8.17,8.46,8.26,8.23,8.26,7.98,8.26,7.83,7.82,7.21,7.25,7.02,7.17,7.46,7.77,9.19,10.77,11.55,11.25,11.95,11.06,10.63,10.78,11.61,10.3,9.1,8.88,8.13,7.5,7.2,6.12,5.3,5.65,6.16,5.72,5.66,7.48,6.4,4.34,4.51,4.23,4.27,4.24,3.57,3.63,3.55,3.64,3.83,4.16,4.05,3.48,4.08,4.42,4.9,5.39,4.32,4.39,4.88,5.48,5.14,5.13,4.84,4.8,4.87,4.99,4.9,5.21,6.19,5.36,5.52,5.76,7.05,7.37,7.18
Ningxia,7.39,5.47,6.37,6.82,6.81,6.93,6.88,5.99,5.52,5.86,6.26,6.62,6.79,6.62,6.05,5.78,5.99,5.42,5.12,4.75,4.27,3.9,4.21,5.43,6.37,5.07,4.5,4.5,5.02,4.86,5.02,4.43,3.82,3.96,4.09,4.58,5.09,5.1,5.93,5.59,5.02,5.41,6.32,6.22,6.16,7.12,7.0,6.96,6.16,6.49,6.76,6.81,6.16,6.29,6.23,6.6,6.57,6.87,6.84,6.34,6.03,6.07,7.14,6.85,6.71,6.7,7.23,6.66,7.56,6.82,6.87,6.7,7.17,7.09,6.94,8.03,7.57,7.71,8.12,7.76,8.19,7.83,8.74
Jilin,6.96,6.37,6.67,7.48,8.43,8.16,7.28,7.1,7.62,7.73,7.47,7.21,7.14,6.63,6.34,6.33,6.17,6.26,5.98,6.03,6.01,6.28,6.55,6.45,8.77,11.07,10.53,9.51,9.64,9.41,8.5,8.68,9.68,7.43,7.88,7.72,7.77,7.64,7.24,6.97,6.17,6.12,6.23,5.94,5.8,7.32,6.4,5.85,5.29,5.88,5.34,6.01,5.57,5.44,5.62,6.12,5.89,6.91,6.8,6.23,6.79,6.76,6.61,6.31,6.63,6.81,7.07,7.1,7.44,6.83,7.15,7.04,6.84,7.24,7.1,6.77,7.14,7.11,6.84,7.21,7.64,7.42,7.13
Tianjin,3.01,3.83,3.49,3.53,3.47,3.83,4.17,4.25,4.1,3.93,3.78,3.66,3.42,3.65,3.74,4.11,3.94,3.79,4.56,4.74,4.76,4.93,4.57,4.11,3.45,2.23,1.64,1.69,1.53,1.42,1.49,1.73,1.26,1.48,1.89,2.15,1.78,2.1,1.89,1.91,1.72,1.54,1.38,1.45,1.76,1.1,3.47,2.29,2.23,1.94,2.13,2.24,2.1,1.89,2.07,1.72,2.07,2.14,2.03,1.74,1.9,1.76,1.82,1.85,1.75,1.84,1.46,1.9,1.86,1.55,1.82,1.92,1.76,1.85,1.75,1.67,1.84,1.7,1.84,1.86,1.73,1.82,1.6
Shandong,2.86,3.98,3.27,3.26,3.42,3.55,3.26,3.42,3.59,3.3,2.8,3.14,3.25,3.39,3.36,3.48,3.38,3.1,3.49,3.52,3.49,3.01,2.7,2.43,1.89,1.46,2.81,4.0,3.98,3.89,4.17,3.65,3.43,3.94,3.25,3.17,3.31,3.38,3.92,3.74,4.13,4.3,3.92,4.01,4.13,3.32,2.25,3.28,4.47,6.66,4.91,4.91,5.15,5.02,3.89,3.39,3.78,3.65,4.0,4.69,3.54,3.52,3.5,4.01,3.56,3.74,3.2,3.58,4.12,3.99,3.81,3.38,3.91,4.43,4.07,3.94,4.58,3.89,3.56,4.17,3.67,3.91,3.69
Gansu,2.3,2.3,2.42,2.43,2.92,2.64,2.39,2.44,2.14,2.02,2.12,2.36,2.66,2.55,2.35,2.18,2.53,2.23,2.04,2.08,1.92,1.81,1.97,2.23,2.2,2.11,2.76,3.01,3.36,3.04,3.14,2.64,2.5,2.67,2.44,2.01,2.33,2.02,2.1,2.1,2.29,2.24,2.38,2.43,2.77,3.31,3.1,2.7,3.1,3.44,3.59,3.32,3.8,4.33,4.3,4.63,4.53,4.74,4.72,4.83,4.26,3.97,4.66,4.63,4.54,4.25,4.22,3.93,4.41,3.76,3.73,4.15,3.67,3.55,3.72,3.77,3.78,3.77,3.58,3.52,3.69,3.66,3.43
Henan,1.2,1.68,1.46,1.47,1.53,1.63,1.49,1.59,1.68,1.5,1.35,1.42,1.49,1.41,1.29,1.16,1.15,1.11,1.14,1.09,1.12,0.85,0.81,0.91,0.9,0.86,1.61,2.35,2.13,2.09,2.38,1.71,1.96,2.06,1.67,1.25,1.24,1.17,1.73,1.48,1.65,1.46,1.34,1.86,1.9,1.39,1.46,1.12,1.74,1.83,2.05,1.67,2.14,2.29,2.07,2.45,2.36,2.38,1.77,2.9,2.36,2.7,2.74,2.73,2.59,2.66,2.73,2.43,2.23,3.15,2.16,2.96,3.26,3.11,2.75,3.24,3.14,2.76,2.86,3.27,2.35,2.85,3.06
