Origin,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Liaoning,26.42,25.77,28.1,26.7,26.12,25.88,25.93,24.05,23.37,25.51,26.6,24.5,24.99,24.55,24.31,24.36,24.41,24.28,24.31,25.3,27.17,29.7,31.78,32.55,32.1,36.78,33.6,28.91,27.08,26.89,25.59,25.89,24.96,26.37,25.76,28.07,30.18,29.71,27.82,30.22,30.03,30.68,30.88,32.71,34.19,27.94,26.19,33.48,35.94,35.27,34.21,35.83,37.17,39.61,40.42,40.22,37.29,37.05,38.03,39.2,37.76,36.77,36.26,33.42,38.12,37.82,37.34,36.5,39.32,37.91,38.48,37.12,37.67,36.78,36.62,36.3,36.79,36.3,37.71,37.85,36.61,35.2,36.09
Heilongjiang,23.44,20.86,23.32,23.45,23.41,21.3,18.61,19.24,18.55,21.43,21.41,20.15,19.7,18.32,17.73,16.58,15.65,15.8,15.06,14.68,14.74,15.82,16.39,15.59,20.17,24.13,25.73,26.64,27.29,29.53,29.53,30.46,30.97,26.87,27.08,25.9,23.63,22.88,23.47,24.84,24.48,26.32,27.09,24.78,23.53,28.97,28.65,24.51,22.31,22.24,20.09,20.05,17.65,16.0,17.75,20.32,20.14,19.95,21.2,17.25,18.18,19.86,22.03,25.2,19.11,20.78,21.26,23.71,20.56,21.5,20.07,23.06,23.77,24.04,21.98,23.89,24.72,24.87,24.05,24.45,24.83,25.04,24.14
Inner Mongolia,11.98,8.12,9.21,10.05,10.87,10.35,9.83,9.21,8.69,9.76,9.82,9.85,9.42,9.56,9.26,8.68,7.65,8.21,7.72,7.39,6.89,7.14,6.97,6.57,8.4,12.06,11.1,10.84,10.62,10.55,9.83,9.79,10.13,10.08,10.72,10.47,11.4,11.14,11.85,11.14,9.64,11.46,11.24,11.57,11.91,11.3,12.01,10.71,11.43,11.74,11.7,13.3,14.37,11.65,11.74,12.01,13.15,14.07,14.15,15.32,13.95,14.24,13.27,13.97,15.31,14.7,15.16,17.18,15.75,14.9,16.08,15.01,14.35,14.91,15.54,14.86,14.86,14.41,14.73,14.97,15.52,15.98,15.72
Beijing,6.82,7.53,6.83,6.36,6.99,7.05,7.14,7.73,8.19,7.26,7.91,8.22,7.54,8.19,8.9,9.56,11.03,12.26,12.69,13.74,14.24,14.46,14.52,13.77,9.43,5.63,5.18,4.75,4.56,3.73,4.09,3.91,3.78,4.22,4.25,4.04,3.65,3.69,3.36,3.35,4.01,3.76,3.03,3.47,3.23,3.52,4.13,3.34,3.06,3.66,3.54,3.07,3.08,3.19,3.26,2.79,2.85,2.7,2.19,2.91,2.84,3.06,2.29,2.46,2.35,2.4,2.58,2.32,2.25,2.35,2.13,2.11,2.18,2.02,2.23,2.27,1.98,2.2,1.99,1.92,1.96,1.94,2.16
Shandong,6.07,7.22,6.18,6.21,6.18,6.83,6.77,7.14,7.36,6.44,6.23,6.56,6.99,7.17,7.26,7.62,7.8,7.36,7.26,7.42,6.97,6.02,5.51,5.13,4.41,3.03,4.55,5.42,5.4,5.3,5.49,5.18,5.11,5.49,4.53,3.9,3.68,5.05,4.82,4.59,5.44,4.94,3.77,4.33,4.31,3.87,3.67,4.32,4.7,4.43,5.34,5.32,5.11,5.06,4.88,3.85,4.6,4.24,4.4,3.9,4.64,4.62,4.54,4.53,4.48,4.19,3.84,3.48,3.53,4.5,4.03,4.02,3.86,3.9,4.27,4.21,4.31,4.24,3.86,3.65,3.72,3.94,3.73
Hebei,4.53,5.17,4.67,4.88,4.43,5.05,5.55,5.72,5.86,5.5,4.97,5.31,5.1,5.27,5.35,5.63,5.54,5.06,4.98,4.87,4.86,4.18,3.68,4.43,3.55,3.08,4.47,4.6,4.55,4.56,5.46,4.46,4.68,4.81,4.71,4.32,4.18,4.42,4.51,4.13,4.26,3.56,4.14,3.74,3.79,3.57,4.33,4.09,4.59,4.83,5.52,4.67,4.14,5.95,4.19,4.99,5.1,4.3,4.21,4.08,4.85,3.92,4.2,3.83,4.27,4.56,4.34,3.17,4.43,4.9,4.85,4.96,4.5,4.52,4.39,4.31,3.79,4.2,4.19,3.66,3.8,4.0,4.35
Tianjin,3.1,3.71,3.27,3.22,3.14,3.29,3.45,3.59,3.5,3.17,3.41,3.71,3.56,3.65,4.1,4.26,4.45,4.2,4.45,4.65,4.66,4.72,4.27,4.35,3.05,2.59,2.24,1.98,1.56,1.77,1.48,1.62,1.52,1.51,1.66,1.63,1.43,1.48,1.27,0.99,1.36,1.35,1.29,1.09,1.13,0.89,1.19,1.55,1.31,1.37,1.26,1.44,1.31,1.63,1.44,1.32,1.55,1.59,1.43,1.76,1.72,1.41,1.38,1.41,1.7,1.46,1.37,1.42,1.64,1.62,1.6,1.58,1.68,1.73,1.74,1.52,1.64,1.78,1.64,1.61,1.51,1.59,1.53
Jiangsu,2.49,3.2,2.62,2.86,2.88,3.1,3.36,3.19,3.53,2.88,2.91,3.12,3.14,3.5,3.76,3.54,3.65,3.51,3.59,3.36,3.14,2.9,2.61,2.76,2.48,1.39,1.3,1.69,1.74,1.7,1.88,1.62,1.84,2.03,1.84,1.73,1.54,2.04,2.06,2.2,2.1,1.73,1.25,1.42,1.77,1.51,1.96,1.75,1.45,1.56,1.79,1.61,2.17,2.13,1.98,1.61,1.78,1.9,1.73,2.07,2.0,1.75,2.2,1.77,2.04,2.21,1.94,1.56,1.64,1.83,1.72,1.74,1.79,1.77,2.0,1.67,2.06,1.93,1.71,1.79,2.03,1.78,1.76
Guangdong,2.33,2.8,2.23,2.32,2.31,2.49,2.82,2.8,2.93,2.62,2.27,2.53,2.65,2.85,2.9,2.98,3.24,3.22,3.5,3.26,2.94,2.53,2.38,2.53,3.24,2.15,1.7,2.12,2.55,2.48,2.42,2.72,2.08,2.92,2.95,3.33,3.16,2.61,2.62,2.76,2.52,2.49,2.84,1.94,1.69,1.81,2.39,1.72,1.44,1.54,1.67,1.5,1.73,1.54,1.51,1.24,1.41,1.69,1.57,1.64,1.71,1.77,1.67,1.44,1.27,1.24,1.31,1.43,1.44,1.4,1.23,1.4,1.15,1.19,1.46,1.55,1.27,1.39,1.25,1.18,1.31,1.49,1.33
