Origin,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Inner Mongolia,27.45,17.34,25.25,26.95,23.13,21.18,21.69,20.55,21.93,25.46,27.77,23.57,22.61,24.6,26.01,27.5,24.61,26.46,24.06,24.35,24.23,22.29,20.79,20.3,21.71,21.25,16.68,12.5,11.88,10.85,11.37,12.04,11.07,9.71,12.79,13.87,14.77,15.75,16.92,17.67,19.36,20.44,22.75,20.96,21.13,20.33,18.51,16.49,15.87,16.39,16.97,19.15,20.93,20.13,20.87,21.71,22.11,23.08,21.88,18.62,21.1,21.22,20.31,23.01,24.57,25.46,24.47,24.67,25.24,24.97,25.31,24.61,24.52,24.22,23.67,23.13,22.06,23.45,23.51,24.35,26.07,25.34,26.16
Gansu,24.43,21.26,20.98,21.49,21.52,20.31,19.74,19.49,18.43,17.56,18.13,21.14,21.71,21.23,18.18,19.46,21.61,20.2,20.51,19.89,20.79,21.58,22.47,20.86,22.78,25.9,27.39,30.76,32.43,33.01,31.61,31.29,36.12,35.29,38.24,38.72,38.58,37.03,38.21,38.51,35.39,34.6,32.07,35.81,34.19,39.47,38.46,40.0,37.81,36.77,36.21,36.78,35.77,33.44,35.64,35.22,34.33,32.2,34.78,33.27,31.67,30.08,31.8,30.78,32.14,30.98,31.8,32.81,33.43,29.81,31.26,33.03,30.11,32.03,32.45,29.68,31.08,31.37,30.93,29.73,31.49,30.52,29.26
Shaanxi,21.39,21.63,19.75,18.75,16.39,16.99,16.87,18.44,16.43,16.9,19.08,18.17,17.64,19.03,19.18,15.37,17.31,17.76,18.27,19.49,19.36,20.23,20.39,19.69,18.26,20.1,21.36,20.78,18.09,19.55,16.57,19.14,17.27,17.77,20.35,20.53,21.69,22.04,20.19,20.31,18.8,20.63,19.22,18.74,20.0,19.76,20.68,22.18,21.49,20.86,21.11,19.42,18.93,19.29,17.09,18.11,17.32,17.88,18.93,18.13,18.58,18.32,17.45,16.45,16.8,16.54,16.41,17.09,17.58,16.68,18.07,16.54,17.32,17.63,17.65,18.04,18.51,17.45,17.75,17.1,18.1,17.66,18.06
Beijing,2.59,3.64,3.19,2.77,4.0,4.62,4.21,3.76,4.38,3.9,3.72,3.87,4.45,4.11,4.95,5.63,5.35,4.8,6.07,5.92,5.64,6.76,7.42,7.39,5.58,3.75,2.67,1.89,1.74,1.53,1.26,1.46,1.31,1.29,1.49,1.47,1.56,1.69,2.14,1.35,1.87,1.59,1.24,0.81,1.02,0.95,1.06,0.83,0.78,0.59,0.6,0.59,0.63,0.95,0.52,0.5,0.49,0.87,0.42,0.42,0.66,0.54,0.56,0.64,0.63,0.66,0.63,0.7,0.56,0.47,0.53,0.52,0.5,0.52,0.3,0.54,0.35,0.43,0.33,0.44,0.51,0.41,0.48
Hebei,2.16,3.35,2.91,2.1,2.17,2.48,2.6,2.49,2.35,2.49,2.03,2.07,2.18,2.06,2.01,1.9,1.96,1.62,1.6,1.62,1.89,1.47,1.44,1.39,1.42,1.31,2.21,3.05,3.05,2.95,4.45,3.92,3.67,5.17,4.28,4.45,4.06,4.27,3.29,3.63,4.78,4.56,5.27,5.46,3.94,3.08,3.24,3.06,3.93,4.24,4.39,3.78,3.73,4.16,4.07,4.0,4.34,3.69,3.18,4.36,4.79,4.11,3.4,4.08,3.03,3.83,2.97,3.24,2.79,3.38,3.31,3.09,3.37,2.73,3.12,3.53,2.76,2.87,2.85,2.61,2.65,2.34,2.52
Henan,2.06,3.6,2.61,2.82,2.71,2.75,2.91,2.72,3.0,2.88,2.05,2.36,1.96,1.94,2.49,1.92,1.92,1.66,1.86,1.75,1.73,1.49,1.52,1.91,2.0,2.25,5.1,6.1,5.38,5.46,7.71,4.38,5.12,5.03,2.09,1.97,2.09,1.58,1.48,1.26,1.63,1.52,1.95,1.71,1.91,1.78,1.33,1.29,2.63,3.0,3.75,2.27,2.97,3.61,3.26,4.37,3.92,3.67,2.66,5.27,3.8,4.71,5.21,5.1,4.12,4.87,4.71,4.49,3.41,5.63,3.51,4.1,5.06,5.45,5.34,6.43,6.33,5.76,5.53,7.85,4.28,5.09,5.14
Xinjiang,1.88,2.7,1.9,2.11,2.61,2.71,2.8,2.9,2.72,2.9,2.16,2.05,2.42,2.42,2.69,3.05,2.28,2.76,2.03,2.92,2.62,2.28,2.51,2.81,4.19,3.4,2.02,1.35,1.15,1.15,0.91,0.83,0.63,0.48,0.75,0.89,0.59,0.94,0.83,0.52,0.35,0.65,0.65,0.4,0.38,0.29,0.45,0.67,0.38,0.32,0.84,0.86,0.58,0.74,0.61,0.48,0.55,0.53,0.87,0.49,0.46,0.65,0.52,0.58,0.76,0.67,0.46,0.68,0.49,0.45,0.62,0.83,0.69,0.76,0.86,0.98,0.83,0.84,0.94,0.75,0.64,0.73,0.81
Shanxi,1.85,2.73,2.0,1.62,1.35,1.47,1.82,2.3,1.79,1.95,1.67,1.73,2.07,2.02,1.69,1.55,1.19,1.42,1.64,1.29,1.35,1.05,1.25,1.09,0.74,1.03,1.22,1.57,1.82,1.93,2.4,1.98,2.0,2.58,2.72,2.51,1.94,1.9,1.86,2.53,3.71,3.54,3.19,2.62,2.93,3.16,2.75,3.5,4.77,3.81,3.35,3.14,3.04,3.26,2.69,2.43,2.49,3.01,1.98,2.61,2.65,2.36,2.57,2.48,2.43,2.24,2.4,2.33,2.66,2.85,2.73,2.11,2.36,2.17,1.85,2.13,1.99,1.68,1.72,1.61,2.01,2.12,1.95
Shandong,1.84,3.48,2.85,2.52,3.0,3.32,3.0,2.88,2.72,2.66,2.68,2.67,2.9,2.41,2.09,2.27,2.08,2.27,2.17,2.01,2.16,2.13,1.98,2.04,1.29,1.3,1.98,2.9,3.74,4.19,4.04,3.66,2.81,4.02,2.47,1.93,1.45,2.54,3.15,2.93,3.28,2.29,2.33,2.28,2.15,2.29,1.89,1.31,2.47,2.31,1.62,2.59,1.72,2.58,3.3,2.5,2.48,3.51,2.08,2.54,3.3,3.41,3.01,3.3,2.36,2.42,3.02,2.57,2.25,3.28,2.42,1.79,2.91,2.38,2.3,2.64,2.31,1.91,2.61,2.31,1.76,2.59,1.9
Qinghai,1.5,1.46,1.43,1.38,1.65,1.1,1.18,1.31,1.23,1.47,1.25,1.13,1.07,1.14,1.21,1.69,1.27,1.11,1.28,1.23,1.35,1.41,1.37,1.54,1.41,1.12,1.08,1.17,1.18,1.21,0.88,1.15,1.0,1.0,0.77,0.95,1.41,1.03,1.26,1.16,0.88,0.93,0.79,1.18,0.96,0.77,1.12,0.86,0.92,0.96,1.26,1.12,0.94,0.93,1.34,1.05,1.29,1.24,1.45,1.21,1.02,0.86,1.39,1.18,1.16,1.1,1.39,1.48,1.36,1.45,1.71,1.57,1.31,1.51,1.2,1.16,1.43,1.36,1.47,1.28,1.43,1.39,1.35
