Origin,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Hebei,20.29,19.68,19.93,19.08,15.35,15.78,14.62,15.57,16.08,19.63,19.68,18.98,16.77,14.9,15.04,15.73,13.82,13.31,12.05,11.32,10.72,9.48,8.44,8.7,9.87,16.45,16.88,17.71,17.08,22.2,20.86,22.09,20.8,22.1,23.12,24.42,21.94,22.29,19.37,25.22,26.81,26.41,26.49,13.7,10.68,26.18,27.92,24.92,31.26,29.34,27.8,28.38,27.56,26.46,26.53,26.23,25.48,23.19,24.55,23.32,25.1,24.38,23.72,24.46,23.56,23.03,22.05,22.57,23.73,23.02,23.58,22.44,22.84,22.05,22.43,23.12,23.11,23.25,23.16,23.1,23.12,22.82,23.39
Shaanxi,17.2,11.35,14.62,15.66,14.43,12.74,12.51,12.72,10.71,11.68,13.36,12.8,12.96,13.7,13.17,12.3,11.95,11.97,11.24,11.29,11.18,11.65,12.32,12.71,14.31,14.7,13.3,13.9,14.97,14.75,14.9,16.26,17.24,16.29,19.48,20.85,22.74,22.0,21.99,20.05,18.41,20.91,21.49,10.53,8.25,24.46,22.01,14.82,20.62,21.66,23.59,22.16,21.47,20.51,20.08,19.77,18.77,19.82,19.91,18.32,17.58,17.4,17.36,18.12,18.37,18.12,18.69,18.39,17.57,18.47,18.0,18.35,17.82,19.31,18.28,18.15,18.69,18.01,17.41,18.55,18.59,18.21,17.64
Henan,13.89,12.72,12.53,12.21,8.52,10.24,8.61,11.39,11.3,11.22,9.23,10.75,11.0,10.94,9.83,7.21,9.25,8.83,8.06,7.48,6.8,6.68,6.32,6.57,7.97,11.56,11.39,11.13,11.99,12.45,12.42,12.44,12.75,12.47,11.33,10.77,9.32,10.06,11.17,11.39,10.58,9.87,10.4,9.37,9.16,11.24,10.29,10.41,12.03,12.25,12.34,12.86,14.3,15.54,17.11,16.76,15.91,15.82,15.24,16.64,17.79,17.02,18.49,18.81,19.06,19.58,19.49,19.74,20.46,20.0,20.54,20.34,20.43,20.11,20.1,19.15,19.13,19.03,20.49,19.78,20.53,20.89,20.57
Beijing,11.05,12.24,12.52,10.46,13.57,12.72,12.67,11.69,12.21,11.39,13.46,12.0,12.86,13.52,14.75,17.49,17.1,19.17,21.2,23.07,24.79,27.52,29.6,28.44,23.94,15.02,11.71,9.43,7.73,6.63,6.63,7.08,6.48,7.32,7.48,7.53,7.37,7.19,7.55,5.68,5.54,6.41,5.61,3.2,2.96,5.27,4.98,3.54,4.05,3.85,3.53,3.6,3.57,3.26,3.15,3.11,3.21,3.01,3.12,3.43,3.17,3.27,3.13,2.82,2.86,2.61,2.93,2.63,2.67,2.65,2.57,2.7,2.67,2.92,2.66,2.71,2.6,2.58,2.67,2.52,2.72,2.6,2.63
Inner Mongolia,9.17,6.87,7.84,9.35,7.29,5.66,6.61,5.99,5.97,6.77,7.67,7.14,7.3,7.76,7.74,7.6,7.03,6.82,6.78,6.58,6.77,6.95,6.62,7.26,7.59,10.35,11.73,10.4,8.18,10.49,9.51,9.65,9.16,8.88,8.82,9.32,9.1,9.21,9.13,10.2,9.11,10.25,10.98,5.41,4.04,10.13,8.7,6.48,8.11,8.99,8.72,8.59,7.95,8.7,8.99,9.08,9.54,10.84,10.95,11.09,9.82,9.08,9.22,9.1,9.69,9.59,9.7,10.49,8.27,8.63,9.43,8.95,9.37,10.04,9.42,9.33,8.89,8.89,8.58,9.15,10.1,9.06,9.36
Shandong,5.09,6.7,5.73,5.79,6.13,5.55,5.42,5.51,6.5,6.73,5.31,5.47,5.76,4.94,5.4,5.5,5.08,5.25,4.83,5.01,4.84,4.21,3.59,3.75,3.18,4.12,5.65,5.85,5.36,5.8,5.99,5.67,5.35,6.08,5.31,5.0,5.14,5.11,5.22,5.21,8.03,6.63,6.31,7.07,7.22,5.44,5.56,7.32,8.59,7.6,7.26,8.69,8.63,7.73,7.65,7.78,8.29,8.01,7.16,6.92,7.07,6.67,7.5,7.26,6.73,6.81,6.95,6.69,7.62,7.21,7.08,6.94,7.08,6.98,7.25,6.99,7.13,6.54,6.65,6.62,6.32,6.34,6.42
Jiangsu,3.38,5.01,4.19,4.11,5.43,5.51,6.12,5.61,5.91,5.0,5.07,5.82,5.72,6.25,6.1,6.01,6.99,6.71,7.49,7.4,7.79,6.67,6.94,6.48,5.77,3.52,3.3,3.34,3.74,2.99,3.3,3.06,3.33,3.56,2.37,2.72,3.25,2.59,2.97,3.39,3.31,3.43,3.48,5.13,5.61,2.26,2.29,3.24,2.32,2.32,2.75,2.64,2.81,2.55,2.45,2.95,3.16,2.65,2.69,2.87,3.05,3.0,3.14,3.11,3.0,3.08,2.99,3.19,2.95,2.86,2.93,2.88,3.03,2.7,2.96,3.08,3.05,2.88,3.12,2.75,2.71,2.58,3.02
Tianjin,3.35,3.93,3.98,4.06,4.61,5.07,5.46,5.32,5.11,4.85,4.73,4.88,4.46,4.25,4.11,4.99,4.26,4.49,4.89,5.33,5.35,5.85,5.64,5.01,4.04,3.08,2.7,2.33,1.79,1.86,1.89,1.77,1.46,1.7,1.74,1.76,1.56,2.07,2.1,1.6,1.81,1.6,1.9,1.3,1.35,1.86,3.36,2.31,2.21,2.3,1.82,1.66,1.83,1.97,1.79,1.67,1.76,1.82,1.72,1.48,1.58,1.77,1.79,1.63,1.79,1.54,1.41,1.61,1.68,1.64,1.7,1.52,1.61,1.62,1.7,1.5,1.71,1.54,1.53,1.6,1.65,1.55,1.71
Guangdong,1.54,1.86,1.7,1.79,2.64,2.6,2.83,2.34,2.4,1.99,1.94,1.94,2.19,2.53,2.7,2.65,2.97,2.97,2.83,2.87,2.68,2.61,2.28,2.46,3.2,2.67,2.46,2.54,2.8,1.99,1.75,1.69,2.23,1.95,2.23,2.04,1.9,2.07,1.68,1.46,1.41,1.24,1.04,4.84,5.75,1.16,1.37,3.01,0.68,0.57,0.69,0.7,0.57,0.65,0.81,0.58,0.74,0.82,0.75,0.8,1.0,0.94,0.9,0.85,0.76,0.77,0.82,1.06,0.95,0.74,0.84,0.84,0.82,0.88,1.04,1.1,0.97,1.03,0.91,0.94,0.88,1.0,1.0
Zhejiang,1.43,1.99,1.67,1.68,2.16,2.34,2.64,2.22,2.63,2.09,2.0,2.01,2.38,2.74,3.12,3.15,3.63,3.2,3.34,3.26,2.85,2.65,2.27,2.35,2.21,1.69,1.61,1.54,1.5,1.05,1.36,1.03,1.33,1.21,1.07,0.97,0.9,0.85,0.77,0.76,0.75,0.5,0.38,2.76,3.24,0.41,0.9,1.82,0.64,0.8,0.79,0.77,0.79,1.1,0.9,1.07,1.17,1.07,1.33,1.28,1.41,1.42,1.39,1.4,1.2,1.33,1.19,1.38,1.15,1.12,1.22,1.04,1.17,0.92,1.07,1.11,0.99,1.18,1.01,1.15,0.97,1.03,1.0
Shanghai,1.41,1.97,1.58,1.66,2.38,2.28,2.37,2.43,2.35,2.18,1.83,2.13,2.28,2.35,2.54,2.5,2.79,2.95,3.4,3.39,3.43,3.56,3.7,3.92,4.4,2.75,2.23,2.03,1.83,1.37,1.22,1.05,1.09,0.98,1.08,1.3,1.02,0.83,0.97,0.95,0.92,0.82,1.1,1.37,1.47,1.0,0.85,0.94,0.51,0.53,0.5,0.53,0.38,0.43,0.48,0.45,0.5,0.68,0.52,0.56,0.62,0.54,0.47,0.49,0.54,0.52,0.44,0.5,0.48,0.47,0.56,0.51,0.44,0.41,0.59,0.51,0.53,0.53,0.61,0.52,0.52,0.48,0.78
Sichuan,1.32,1.64,1.46,1.64,2.01,2.03,2.06,2.11,1.86,1.61,1.82,1.73,1.7,1.66,1.73,1.81,1.93,1.88,1.95,1.83,1.82,1.91,2.05,2.17,2.06,2.13,3.47,3.67,4.04,3.06,3.4,2.71,3.39,2.9,2.26,1.9,3.05,3.23,3.16,2.39,2.13,1.75,1.71,4.31,4.74,1.53,2.09,2.68,1.37,1.36,1.66,1.39,1.86,2.2,1.66,2.04,2.23,2.42,2.43,2.63,2.03,3.25,2.9,2.5,3.07,3.27,3.68,2.38,3.12,3.52,2.76,3.88,3.45,2.97,3.0,3.02,3.39,4.05,3.64,3.1,3.0,3.31,2.82
Hubei,1.3,1.8,1.53,1.7,1.85,2.1,2.44,2.41,2.48,2.17,1.96,1.91,1.95,1.83,1.74,1.38,1.48,1.46,1.42,1.46,1.47,1.48,1.42,0.94,1.34,1.65,0.4,0.21,0.17,0.09,0.12,0.16,0.26,0.17,0.14,0.17,0.14,0.14,0.16,0.1,0.2,0.13,0.17,2.57,3.34,0.23,0.31,1.63,0.14,0.16,0.15,0.17,0.13,0.13,0.14,0.15,0.15,0.12,0.08,0.08,0.07,0.08,0.06,0.06,0.09,0.05,0.07,0.09,0.07,0.09,0.07,0.11,0.08,0.13,0.24,0.53,0.7,0.92,1.07,0.97,0.93,1.07,1.12
Liaoning,1.05,1.64,1.49,1.54,1.77,2.1,2.0,2.0,2.03,1.97,1.83,1.9,1.7,1.62,1.43,1.59,1.42,1.28,1.14,1.1,1.09,1.1,1.15,1.22,1.13,0.96,1.13,1.25,1.65,1.88,1.86,1.71,1.85,1.57,1.57,1.49,1.62,1.86,1.58,1.43,1.42,1.3,1.74,2.57,2.83,1.26,1.18,1.72,1.56,1.6,1.12,1.4,0.84,1.26,1.09,1.02,1.4,1.29,1.34,1.07,1.51,1.39,1.12,1.02,1.27,1.09,1.05,1.1,0.9,0.92,1.08,1.06,1.1,1.17,1.25,1.0,1.05,1.11,1.05,1.15,0.87,0.97,1.02
Anhui,1.01,1.21,1.04,0.96,1.2,1.23,1.21,1.21,1.18,1.12,1.04,0.94,1.17,1.32,1.32,1.1,1.12,1.11,1.02,0.95,1.02,0.78,0.97,0.93,0.82,1.12,1.88,2.44,2.67,1.95,2.29,1.88,1.94,1.78,1.48,1.1,1.4,1.25,1.41,1.51,1.55,1.04,0.6,3.36,3.84,1.01,0.83,2.07,0.97,1.03,1.23,1.23,1.38,1.54,1.43,1.64,1.55,1.66,1.68,2.02,1.8,2.01,1.78,1.77,1.71,1.92,1.87,2.05,2.08,1.96,2.0,1.8,1.84,1.96,1.96,1.9,1.83,1.48,1.66,1.87,1.66,1.89,1.47
Hainan,0.89,0.74,0.62,0.52,0.76,0.94,0.78,0.79,0.64,0.55,0.52,0.51,0.65,0.64,0.63,0.67,0.61,0.49,0.53,0.5,0.44,0.41,0.44,0.58,1.06,1.36,1.76,2.85,3.68,3.14,3.06,3.46,2.63,3.06,2.96,2.42,3.19,2.51,3.55,2.62,1.97,2.11,1.47,1.07,0.92,1.77,1.1,1.02,0.8,0.63,0.88,0.54,0.91,0.78,0.83,0.51,0.44,0.65,0.48,0.65,0.67,0.86,0.72,0.61,0.69,0.5,0.68,0.53,0.69,0.47,0.37,0.42,0.38,0.46,0.38,0.56,0.35,0.42,0.42,0.43,0.49,0.49,0.48
Hunan,0.71,0.82,0.75,0.8,1.23,1.39,1.43,1.36,1.13,1.08,0.92,0.8,1.03,0.93,0.91,0.8,0.87,0.86,0.81,0.73,0.67,0.7,0.57,0.58,0.59,0.6,0.78,0.83,1.27,0.78,1.06,0.74,1.14,0.85,0.54,0.49,0.66,0.76,0.84,0.91,1.07,0.72,0.46,3.15,3.82,0.5,0.68,1.85,0.41,0.57,0.62,0.6,0.53,0.58,0.59,0.61,0.63,0.61,0.62,0.64,0.64,0.97,0.64,0.62,0.53,0.8,0.55,0.39,0.67,0.61,0.61,0.69,0.63,0.51,0.58,0.71,0.44,0.6,0.49,0.51,0.47,0.62,0.47
Gansu,0.71,0.77,0.68,0.73,0.73,0.84,0.91,0.82,0.85,0.75,0.76,0.93,0.82,0.9,0.84,0.66,0.74,0.69,0.61,0.61,0.55,0.55,0.53,0.49,0.42,0.43,0.55,0.91,1.29,1.17,1.36,1.02,1.12,1.11,0.84,0.76,0.81,0.9,1.02,0.73,0.49,0.52,0.5,1.34,1.45,0.55,0.64,1.02,0.71,0.75,0.77,0.58,0.74,0.82,0.73,0.77,0.86,0.91,0.75,1.21,0.89,0.83,0.82,0.85,0.72,0.86,0.88,0.85,0.73,0.79,0.74,0.84,0.73,0.7,0.81,0.87,0.92,0.87,0.91,0.89,0.75,0.93,0.87
Fujian,0.61,0.79,0.67,0.7,0.91,1.1,1.27,1.1,1.26,0.96,0.84,0.99,1.03,1.06,0.89,0.86,1.03,1.01,1.01,0.8,0.81,0.66,0.6,0.6,0.72,0.69,0.73,0.78,0.85,0.65,0.69,0.79,0.6,0.82,1.01,0.89,0.88,0.97,1.37,0.82,0.93,1.04,0.91,1.92,2.1,0.95,0.93,1.04,0.73,0.68,0.87,0.65,1.0,0.77,0.73,0.87,0.85,0.97,0.7,0.9,0.98,0.92,0.86,0.83,0.83,0.8,0.88,0.78,0.7,0.65,0.59,0.66,0.64,0.58,0.58,0.62,0.67,0.5,0.52,0.4,0.4,0.45,0.44
