Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Chongqing,36.93,31.63,35.13,32.74,33.21,30.35,29.97,29.76,29.97,33.78,35.59,33.72,33.74,32.99,32.97,33.11,33.52,33.98,32.63,33.82,34.74,36.31,38.19,39.4,41.28,44.02,39.16,35.69,30.86,29.68,22.68,29.09,25.15,25.56,26.1,28.27,28.62,20.66,17.96,22.8,21.09,22.74,22.22,20.44,20.67,22.98,18.66,21.68,22.54,19.92,19.11,24.28,21.47,18.95,22.13,22.5,20.25,19.17,21.82,18.32,23.86,20.79,18.95,21.41,22.15,22.26,19.79,24.96,26.2,20.54,26.03,23.02,24.28,25.88,27.85,28.23,26.85,25.14,25.78,27.19,29.69,28.28,30.8
Yunnan,14.3,10.81,12.36,13.21,12.6,13.07,12.6,12.16,11.85,12.51,12.59,13.57,12.46,12.98,12.85,12.39,11.9,11.9,11.94,11.77,11.68,12.56,12.74,13.81,17.04,15.85,12.34,10.82,10.17,9.68,9.96,10.06,10.51,9.93,11.12,11.02,8.86,7.77,7.76,9.95,11.99,15.26,16.67,16.03,16.0,16.7,15.09,15.79,15.16,13.02,11.59,10.32,10.33,9.17,10.1,10.99,11.08,10.5,11.12,10.98,10.61,11.49,10.68,11.3,11.75,10.91,10.63,11.68,11.2,11.49,11.53,11.7,11.01,11.64,11.61,11.44,12.17,11.55,11.7,11.78,12.19,11.77,11.93
Guizhou,9.26,7.94,8.1,8.46,8.8,8.74,8.68,8.28,8.17,8.41,8.15,8.48,8.97,8.61,8.44,8.08,7.65,7.91,7.64,7.99,7.88,7.95,7.79,7.71,9.59,10.97,10.66,10.3,9.11,8.52,7.95,7.7,7.05,6.07,6.39,6.56,7.11,6.29,4.83,4.75,5.55,6.8,7.64,7.23,7.3,8.57,8.82,11.12,14.11,12.83,11.22,13.96,11.81,8.67,9.85,11.03,9.76,10.18,11.47,9.08,10.64,10.31,7.81,9.51,9.05,8.93,7.6,8.09,10.98,8.52,9.45,9.51,7.6,8.08,8.12,7.84,9.27,7.86,7.62,7.9,9.45,8.28,8.35
Shaanxi,5.65,5.65,5.47,5.22,5.48,5.65,5.36,5.47,5.43,5.58,5.98,5.25,5.53,5.58,5.58,5.7,5.58,5.74,5.74,5.53,5.53,5.44,5.2,4.82,4.47,4.81,4.76,3.74,3.4,3.19,2.91,2.81,2.74,2.42,2.57,2.8,2.16,1.91,1.46,1.63,1.73,1.85,2.05,2.1,2.19,2.27,2.34,2.41,2.61,2.66,2.63,2.44,2.9,2.7,3.76,3.54,4.06,4.13,3.9,3.99,4.5,4.78,4.76,5.06,6.07,6.48,6.25,6.02,7.29,7.89,6.87,7.77,6.92,7.04,6.71,6.61,6.73,7.53,7.58,6.96,6.47,6.61,6.15
Guangdong,5.02,6.54,5.55,5.46,5.23,5.55,5.25,5.34,5.1,4.75,4.5,4.58,4.84,4.69,4.25,4.36,4.32,4.12,4.17,4.04,4.24,3.93,3.99,3.61,2.88,2.67,6.29,10.46,15.3,18.04,20.28,17.17,19.09,21.25,20.18,20.26,23.79,30.89,38.85,32.28,27.84,22.17,21.44,20.28,18.59,18.18,20.69,16.3,14.64,16.6,18.38,15.06,16.35,21.8,18.91,17.49,19.72,19.71,18.94,19.51,17.91,17.96,20.0,17.21,17.29,15.95,17.92,14.99,13.99,15.82,13.21,13.15,13.95,12.07,11.37,10.85,9.94,10.8,10.17,9.38,8.27,8.89,8.15
Gansu,2.61,2.58,2.56,2.58,2.8,2.64,2.73,2.87,2.79,2.74,2.73,2.73,2.6,2.61,2.51,2.44,2.5,2.66,2.68,2.67,2.77,3.03,2.97,2.7,2.0,2.35,2.63,2.06,1.55,1.45,1.49,1.41,1.37,1.48,1.18,1.25,0.99,0.78,0.63,0.81,0.98,1.25,1.31,1.38,1.18,1.36,1.36,1.55,1.39,1.4,1.33,1.19,1.2,1.08,1.12,1.24,1.24,1.29,1.26,1.39,1.33,1.55,1.42,1.54,1.7,1.79,1.87,1.83,2.02,2.25,2.23,2.95,3.46,4.09,4.18,4.3,4.75,4.67,4.85,4.49,4.23,4.47,3.62
Hubei,2.39,2.72,2.45,2.52,2.51,2.63,2.91,2.98,3.51,3.09,3.25,3.1,3.01,3.2,3.42,3.64,3.64,4.01,4.2,4.06,4.27,3.76,3.11,2.33,1.42,0.98,0.96,0.88,0.87,0.75,0.85,0.79,0.77,0.83,1.14,1.28,1.73,0.98,0.85,0.91,1.13,1.34,1.41,1.62,0.69,0.64,0.51,0.56,0.52,0.55,0.49,1.12,0.66,0.34,0.3,0.35,0.33,0.29,0.24,0.28,0.2,0.24,0.22,0.21,0.22,0.26,0.26,0.25,0.27,0.32,0.27,0.38,0.38,0.46,0.67,0.77,0.88,1.07,1.13,1.17,1.0,1.31,1.13
Beijing,2.25,3.19,2.65,2.5,3.06,3.39,3.26,3.36,2.93,2.72,2.41,2.23,2.48,2.5,2.44,2.33,2.02,1.76,1.63,1.46,1.34,1.18,1.14,1.06,0.76,0.9,1.43,1.77,1.84,2.04,2.42,2.95,2.85,3.26,2.88,2.39,1.7,1.69,1.71,2.27,3.02,3.02,2.33,2.24,1.98,1.93,1.76,2.03,1.43,1.21,1.13,0.88,0.95,0.83,0.78,0.66,0.67,0.68,0.6,0.79,0.67,0.83,0.73,0.63,0.6,0.59,0.6,0.7,0.64,0.68,0.71,0.71,0.69,0.72,0.76,0.84,0.76,0.73,0.78,0.83,0.83,0.83,0.97
Henan,2.12,2.66,2.59,2.81,2.65,2.78,2.94,3.0,3.33,2.88,2.84,2.99,2.98,3.05,3.52,3.53,3.77,3.5,3.78,3.7,3.6,3.34,2.8,2.7,2.1,1.84,2.18,1.85,1.66,1.58,1.84,1.33,1.91,1.24,1.24,1.26,1.32,1.49,1.21,1.06,1.17,1.44,1.68,1.56,1.51,1.82,1.95,1.5,1.74,1.97,1.84,1.71,2.47,2.23,1.72,1.97,2.05,2.06,1.58,2.35,1.39,2.33,2.19,2.01,2.2,2.19,2.54,1.88,2.33,2.37,1.9,2.76,2.47,2.37,2.07,2.21,2.02,2.19,2.13,2.03,2.0,2.43,2.2
Jiangsu,1.76,2.35,2.19,2.3,2.23,2.41,2.39,2.35,2.37,2.13,1.85,1.89,1.86,2.01,2.06,2.08,2.03,2.03,2.12,2.04,1.97,1.71,1.59,1.59,1.33,1.46,2.44,3.38,3.84,3.42,4.02,3.54,4.12,4.02,4.07,3.46,3.15,3.14,3.57,3.11,2.97,2.7,2.07,2.39,2.54,2.73,3.01,3.09,3.34,3.59,4.11,4.1,4.95,5.04,4.86,4.24,4.54,4.49,3.67,4.83,3.93,4.08,4.45,4.11,3.58,3.77,3.84,3.86,3.11,3.55,3.3,3.18,3.32,3.09,3.01,2.89,2.8,2.61,2.78,2.63,2.47,2.48,2.47
Zhejiang,1.69,2.41,1.92,2.07,2.07,2.06,2.06,2.09,2.1,1.83,1.7,1.57,1.77,1.72,1.77,1.81,1.93,1.77,1.82,1.86,1.73,1.52,1.43,1.38,1.31,1.17,1.91,2.71,3.52,3.73,4.25,3.79,3.8,3.59,3.19,2.62,1.95,1.83,1.53,1.54,1.61,1.63,2.13,2.9,4.38,5.7,7.09,7.38,8.41,9.32,10.84,10.46,9.5,12.5,11.74,9.63,10.65,10.61,9.88,10.67,10.66,8.14,10.51,9.55,7.66,8.57,8.49,8.34,5.57,6.67,7.52,5.45,6.53,5.44,4.64,4.32,4.02,3.9,4.43,4.03,3.63,3.47,3.68
Shanghai,1.61,1.8,1.57,1.59,1.79,1.89,1.84,1.88,1.68,1.66,1.5,1.41,1.52,1.38,1.37,1.34,1.3,1.08,1.09,1.03,0.89,0.83,0.91,0.82,0.64,0.71,1.25,1.55,2.0,2.32,3.11,3.13,3.5,3.89,4.2,4.65,4.74,5.68,5.81,5.86,6.04,5.57,4.09,3.88,3.32,2.77,2.2,2.15,1.76,1.66,1.74,1.46,1.46,1.38,1.4,1.23,1.3,1.43,1.21,1.48,1.48,1.55,1.7,1.52,1.37,1.42,1.57,1.71,1.39,1.51,1.54,1.49,1.55,1.46,1.56,1.52,1.52,1.35,1.5,1.41,1.46,1.39,1.43
Shandong,1.37,1.78,1.74,1.85,1.68,1.89,2.06,1.94,1.77,1.67,1.33,1.55,1.48,1.51,1.7,1.63,1.74,1.56,1.75,1.63,1.6,1.48,1.3,1.26,1.17,0.96,1.03,1.02,0.92,0.75,0.87,0.76,0.81,0.69,0.73,0.64,0.53,0.68,0.63,0.84,0.99,1.07,0.97,0.86,0.79,0.81,0.99,0.94,0.71,0.88,0.76,0.7,0.78,0.86,0.65,0.64,0.8,0.7,0.8,1.04,0.78,1.05,1.13,1.17,1.28,1.41,1.67,1.68,1.46,1.73,1.67,1.96,2.1,2.12,1.96,2.04,1.98,2.07,1.94,2.15,1.89,1.87,1.94
