Origin,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Hebei,53.04,41.61,41.18,45.11,47.64,44.58,46.02,44.57,43.37,45.58,41.14,47.49,45.91,46.53,46.14,46.6,45.08,41.89,44.53,45.36,43.8,41.38,37.47,34.76,44.42,50.09,41.74,39.69,38.51,40.74,39.02,41.21,39.81,41.58,47.22,46.88,46.06,46.41,44.17,46.54,44.77,48.85,50.17,49.54,47.27,50.91,53.4,51.93,47.7,45.44,45.05,45.96,45.44,46.15,47.59,46.3,45.67,46.62,46.7,43.89,46.34,46.35,46.76,48.53,49.1,48.87,47.91,51.17,50.33,51.47,51.89,51.17,51.8,50.86,52.09,52.31,52.04,52.15,52.57,52.91,3.72,54.92,55.18
Beijing,17.47,16.59,28.48,23.42,18.58,19.08,18.27,17.98,19.26,20.21,29.93,20.93,20.63,18.62,18.45,18.92,21.54,27.23,22.95,21.73,23.51,27.95,32.46,33.2,25.72,10.97,6.89,4.94,4.54,3.88,3.95,4.24,4.65,5.62,7.13,7.29,6.53,9.07,10.09,7.12,9.5,8.82,9.15,8.94,10.5,13.91,8.82,8.92,7.32,6.78,7.23,7.93,8.39,6.4,7.42,6.49,6.25,6.47,7.12,8.52,5.95,6.28,6.05,6.73,6.29,6.83,9.0,6.35,7.15,6.56,6.57,6.55,7.32,9.32,6.09,6.84,6.72,6.41,6.44,7.24,0.82,6.45,7.23
Shandong,8.79,11.21,7.85,7.88,8.64,8.12,7.63,8.35,8.47,8.56,7.59,7.97,8.53,8.56,8.34,7.77,7.46,6.85,6.6,7.0,6.71,6.12,5.13,5.25,6.4,17.5,19.15,16.05,15.25,17.79,15.53,14.94,13.46,13.49,11.31,10.7,9.79,10.43,10.07,16.3,15.37,13.73,13.64,13.1,10.47,7.89,10.95,12.43,13.12,14.61,12.67,13.0,13.97,12.81,11.86,13.21,12.44,12.55,12.65,13.08,12.57,12.61,12.48,11.97,11.69,11.5,11.02,10.49,11.72,11.33,11.21,10.91,10.83,10.09,10.35,10.79,10.96,10.6,10.24,9.99,6.04,9.82,10.13
Liaoning,2.53,4.02,2.85,2.82,3.3,3.18,3.34,3.15,3.08,2.96,2.64,2.51,2.78,2.69,2.82,2.65,2.62,2.4,2.4,2.33,2.42,2.34,2.37,2.54,2.02,2.28,3.6,4.43,5.21,5.12,4.98,4.9,4.97,4.64,4.49,4.51,4.81,4.81,4.35,4.85,4.3,3.36,3.89,3.53,4.25,3.23,2.52,4.21,5.06,3.95,5.28,4.2,3.59,4.53,4.41,4.1,4.27,4.23,4.27,3.35,4.78,3.17,3.37,3.66,4.02,3.87,3.62,4.01,3.09,3.09,3.83,3.23,3.32,3.37,3.82,3.16,3.22,3.64,3.71,3.41,2.27,3.09,3.22
Henan,2.24,3.27,2.37,2.55,2.39,2.64,2.31,2.47,2.8,2.66,1.93,2.34,2.48,2.52,2.67,2.34,2.37,1.97,2.34,2.2,2.17,1.87,1.65,2.03,1.66,3.96,6.53,5.85,5.83,5.01,5.33,4.88,5.41,4.76,3.38,3.56,3.24,3.08,3.79,3.35,3.2,3.12,2.68,2.75,3.58,2.44,2.56,3.35,4.54,5.1,5.0,4.4,5.01,5.63,5.55,6.16,6.23,5.48,5.57,6.2,5.81,6.29,6.67,6.05,6.09,6.24,5.34,5.44,6.47,6.51,5.68,6.55,6.38,5.75,6.54,6.13,6.34,6.4,6.22,6.73,6.13,6.1,5.91
Shanxi,2.1,3.08,2.43,2.04,1.57,2.01,1.99,2.48,2.56,2.42,1.91,2.08,2.09,2.21,2.08,2.0,1.66,1.68,1.71,1.81,1.6,1.5,1.49,1.59,1.23,1.5,2.89,3.64,3.56,4.07,4.85,5.2,4.68,5.02,4.3,5.05,5.08,4.65,5.52,4.51,4.75,5.54,4.62,4.85,5.56,5.22,5.45,5.09,5.22,5.24,4.64,5.01,4.79,4.9,4.57,4.19,4.23,3.61,3.38,4.63,4.43,4.37,3.66,3.51,3.43,3.12,3.47,3.45,3.05,3.02,3.04,2.99,2.73,3.09,3.1,3.09,2.67,2.7,2.5,2.55,2.57,2.61,2.6
Inner Mongolia,1.59,2.27,1.55,1.8,1.47,1.81,1.83,1.74,1.78,1.68,1.37,1.65,1.64,1.85,1.82,1.81,1.71,1.36,1.62,1.57,1.61,1.41,1.34,1.38,0.97,1.09,2.18,2.69,3.2,3.13,3.51,3.37,2.98,3.17,2.75,2.98,3.0,2.7,2.78,2.72,2.45,2.7,2.78,2.9,2.44,1.64,2.04,1.98,2.81,3.21,3.46,3.27,3.11,3.08,2.86,2.92,3.23,3.03,3.35,2.97,2.96,2.85,2.53,2.48,2.93,2.6,2.46,2.97,2.55,2.55,2.45,2.44,2.16,2.4,2.54,2.25,2.4,2.32,2.29,2.14,1.72,2.25,2.04
Jiangsu,1.56,2.43,1.81,1.92,2.31,2.6,2.35,2.5,2.4,2.11,1.73,1.98,2.18,2.56,2.44,2.48,2.29,2.19,2.12,2.18,2.31,2.06,2.07,1.9,1.44,1.17,1.87,2.02,1.92,1.66,1.73,1.53,1.76,1.92,1.65,1.45,1.97,1.6,1.49,1.46,1.52,1.47,1.19,1.47,1.71,1.35,1.35,1.28,1.69,1.57,1.41,1.73,1.92,1.82,1.67,1.54,1.76,2.04,1.76,1.82,1.94,1.91,1.9,1.84,1.87,1.85,1.71,1.69,2.13,1.76,1.98,2.07,1.93,2.01,1.83,1.94,2.1,2.02,2.04,1.99,7.85,1.84,1.69
Heilongjiang,1.31,2.0,1.48,1.57,1.69,1.75,1.73,1.79,1.75,1.5,1.34,1.5,1.52,1.58,1.52,1.55,1.43,1.42,1.48,1.59,1.61,1.61,1.73,1.73,1.08,0.94,2.14,3.63,4.57,4.53,5.22,5.75,6.04,5.28,4.41,3.95,3.92,2.94,2.84,2.02,1.87,1.85,1.96,1.86,2.14,2.08,2.09,1.95,2.4,1.98,3.16,2.51,1.94,1.46,2.07,2.25,3.65,3.33,3.47,2.55,2.24,2.48,3.28,3.38,3.18,3.28,3.53,3.36,2.57,2.74,2.88,2.94,2.84,3.05,2.76,2.43,2.78,2.62,2.64,2.4,1.0,2.53,2.12
