Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Hebei,44.05,31.37,38.97,40.13,36.21,33.25,35.2,33.96,33.26,35.49,36.99,35.85,32.96,34.87,34.56,34.15,34.16,36.23,36.34,35.96,36.61,40.59,43.28,40.85,44.81,45.76,40.82,39.67,40.59,42.14,43.59,44.04,43.7,44.28,50.1,51.71,56.0,52.96,51.29,44.5,41.53,51.43,54.26,54.51,53.6,56.76,50.12,48.97,52.36,52.15,54.63,53.88,53.67,51.63,51.34,54.26,53.57,54.09,54.75,55.39,53.58,52.91,54.8,54.51,55.85,56.72,59.0,59.01,54.3,57.63,57.27,57.67,58.05,60.37,59.71,56.41,58.74,58.91,58.68,59.62,61.16,60.3,58.18
Beijing,17.4,15.23,16.19,16.94,24.11,19.08,15.06,14.33,14.04,17.66,17.8,17.29,21.32,14.78,13.57,12.76,12.46,11.86,10.99,8.75,7.59,6.54,4.98,4.46,6.93,13.64,16.08,17.25,20.36,20.51,22.04,22.94,26.23,27.19,20.16,17.62,15.62,17.33,20.35,29.2,32.09,21.44,18.98,18.0,15.16,18.23,20.57,24.57,17.43,15.8,14.85,13.17,12.39,14.01,18.04,13.28,11.74,11.9,11.47,10.52,10.95,15.97,11.12,11.17,10.92,10.89,9.93,10.12,15.42,11.0,9.93,9.85,10.44,9.47,9.18,14.84,10.3,9.6,9.58,9.67,9.13,9.05,14.11
Shandong,8.2,9.18,8.26,7.9,7.3,8.11,7.99,8.24,8.43,8.22,8.43,7.86,7.85,9.12,10.08,10.68,10.88,11.35,12.7,14.07,15.18,15.48,17.99,18.58,15.3,10.8,8.36,7.34,6.57,6.67,6.12,6.09,5.44,5.18,5.64,5.71,5.57,6.18,5.78,5.42,5.25,6.89,7.19,6.77,6.77,5.42,6.43,6.32,7.6,8.77,7.77,8.79,9.31,8.2,7.38,8.54,8.78,8.95,8.82,8.88,9.05,8.04,9.32,9.9,9.76,9.53,9.51,9.1,9.09,9.65,10.44,9.68,9.65,9.46,9.29,8.52,9.15,9.35,9.48,9.2,9.63,9.29,8.37
Henan,4.21,5.7,4.82,4.59,4.08,4.89,5.2,5.18,5.81,5.3,4.95,5.43,5.31,5.92,6.88,7.38,7.28,6.82,7.0,7.95,7.39,6.11,5.55,7.09,5.71,3.76,3.75,3.33,2.54,2.7,2.26,2.0,1.98,1.87,1.7,1.53,1.73,1.54,1.76,1.44,1.34,1.79,1.59,1.5,1.85,1.41,1.75,1.61,2.42,1.92,1.94,2.13,2.76,2.74,2.49,3.09,2.87,2.92,2.92,3.17,3.13,2.72,2.94,3.26,3.03,3.17,2.86,3.16,2.97,3.1,3.12,3.33,3.05,2.5,2.84,2.4,2.76,2.85,3.02,2.96,2.98,3.16,2.64
Shanxi,2.58,3.45,2.99,2.97,2.41,3.19,3.63,3.98,3.91,3.53,3.24,3.5,3.24,3.4,3.33,3.8,3.56,3.89,4.29,4.66,4.68,4.95,4.62,4.27,3.51,2.97,3.39,3.13,2.3,2.53,2.65,2.24,1.87,1.98,2.04,2.17,1.92,2.34,2.4,1.89,1.94,2.11,2.48,3.88,6.5,2.63,3.87,3.84,2.99,3.57,2.81,2.7,3.39,3.48,2.8,3.2,3.25,3.1,2.71,2.62,2.81,2.86,2.98,2.75,2.84,2.62,2.35,2.71,2.55,2.59,2.61,2.38,2.45,2.37,2.49,2.04,2.51,2.28,2.22,2.23,2.19,2.24,2.13
Heilongjiang,2.54,3.73,2.61,2.4,2.33,2.77,2.78,2.77,2.82,2.47,2.34,2.72,2.73,3.19,3.43,3.61,3.79,3.82,3.67,3.47,3.4,2.92,2.61,2.53,2.39,2.4,3.41,3.62,3.52,3.26,3.22,3.34,3.33,2.44,2.16,2.54,2.36,3.83,1.5,1.1,1.2,1.04,0.98,0.84,0.85,0.77,0.8,0.82,0.71,1.02,0.65,0.62,0.63,0.42,0.43,0.48,0.57,0.6,0.66,0.65,0.6,0.61,0.7,0.51,0.59,0.68,0.72,0.64,0.61,0.77,0.87,1.11,1.23,1.28,1.57,1.52,1.42,1.57,1.35,1.29,1.09,1.44,1.1
Liaoning,2.48,3.34,2.81,2.56,2.55,2.95,2.93,3.02,2.83,2.79,2.77,2.55,2.54,2.92,3.23,3.38,3.59,3.4,3.61,3.56,4.01,4.02,3.58,4.01,3.85,4.48,4.89,4.33,3.83,3.88,3.4,3.2,2.79,2.26,2.61,2.56,3.1,2.72,2.47,2.15,2.3,2.12,2.63,2.67,3.06,2.32,2.97,2.45,2.8,2.94,3.22,3.46,2.87,3.66,2.96,3.56,3.64,3.62,3.68,3.33,3.68,2.5,3.48,3.21,2.89,3.03,3.23,2.18,2.64,2.8,2.87,2.93,2.77,2.69,2.52,2.61,2.8,2.78,2.9,2.67,2.83,2.56,2.45
Inner Mongolia,2.06,2.81,2.14,2.06,1.77,2.12,2.58,2.6,2.44,2.3,2.08,2.13,1.91,2.32,2.3,2.4,2.24,2.22,2.57,2.6,2.64,2.75,2.45,2.17,2.32,2.65,2.59,2.78,2.25,2.15,2.14,2.17,1.47,1.5,1.98,2.34,1.97,2.11,1.94,2.03,1.77,2.02,1.77,1.75,2.18,1.45,3.34,2.33,3.0,2.79,2.97,2.98,2.9,2.58,2.61,2.77,3.4,3.37,3.14,2.89,2.95,2.38,2.59,2.67,2.36,2.55,1.93,2.52,2.1,2.07,2.33,2.38,2.15,2.25,2.16,1.93,2.26,2.1,2.27,2.29,2.04,2.28,1.83
Jiangsu,1.91,2.45,2.15,2.05,2.11,2.54,2.46,2.63,2.45,2.43,2.21,2.05,2.06,2.33,2.28,2.23,2.18,1.92,1.82,1.87,1.8,1.65,1.54,1.62,1.39,1.55,1.74,1.97,2.1,1.79,1.53,1.59,1.52,1.35,1.62,1.4,1.48,1.49,1.5,1.54,1.25,1.26,1.28,1.24,1.56,1.26,1.39,1.55,1.75,1.8,1.86,2.41,2.16,2.37,2.21,1.98,2.48,2.12,2.39,2.25,2.37,2.09,2.3,2.25,2.09,2.13,1.84,1.97,2.1,2.01,2.18,2.21,1.97,2.02,1.94,1.99,2.04,1.96,2.12,2.0,1.73,1.94,1.77
