Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Sichuan,44.07,43.87,44.61,44.64,45.01,46.29,46.75,44.83,44.39,44.68,43.57,43.88,42.95,43.2,43.53,42.85,43.03,43.2,43.05,40.89,42.71,38.35,41.26,40.09,39.88,34.97,33.26,26.29,24.54,23.61,26.48,28.66,33.31,39.31,41.31,45.14,46.83,41.84,41.88,43.1,45.28,40.59,42.97,36.98,39.5,42.45,44.72,41.38,43.76,46.59,43.96,42.95,40.36,40.89,39.01,37.72,36.27,34.82,37.75,36.67,37.4,36.67,38.08,41.56,40.49,34.04,36.8,35.42,41.17,40.8,39.41,38.74,40.32,45.85,40.3,42.71,41.27,42.67,41.02,41.44,42.91,40.85,42.2
Qinghai,16.77,13.58,14.63,13.49,13.27,13.08,13.0,14.15,12.03,14.42,17.86,15.9,15.21,14.65,14.44,14.95,15.33,13.9,14.02,12.5,15.3,16.15,14.13,17.06,17.1,20.5,21.86,30.4,29.68,36.78,35.44,39.61,32.29,29.08,27.22,23.54,25.92,26.18,25.18,25.97,21.94,22.96,23.63,24.65,20.11,28.59,23.28,27.85,26.32,25.48,23.96,27.36,30.07,25.85,24.55,23.5,30.83,31.54,26.74,28.74,26.75,25.52,29.22,25.94,28.11,32.35,31.68,33.21,29.76,31.34,31.75,34.58,31.0,29.73,31.3,29.22,29.28,31.0,31.75,33.65,30.25,32.7,31.37
Yunnan,5.88,4.38,5.14,5.19,5.28,4.88,4.67,4.18,4.75,4.99,5.08,4.42,5.53,5.86,4.86,5.49,4.59,4.7,4.9,4.94,4.21,4.49,4.68,4.07,3.02,4.18,4.52,3.55,5.2,2.76,3.53,2.46,3.63,3.51,4.34,5.7,3.97,4.6,5.15,7.59,6.33,6.22,9.24,9.17,5.39,7.71,7.53,5.95,6.32,7.46,6.41,6.3,7.55,7.89,7.16,7.68,7.19,6.66,8.56,6.59,8.13,7.91,7.85,7.47,7.86,7.0,7.89,6.37,6.93,7.18,7.16,6.98,7.42,5.71,8.38,6.93,7.86,7.58,7.11,5.86,6.43,7.49,6.1
Shaanxi,5.08,4.93,5.08,5.2,5.38,4.45,4.39,5.17,5.88,5.74,5.77,6.17,5.15,4.29,5.67,5.61,5.73,4.54,6.77,5.58,4.57,5.6,5.82,4.55,6.36,5.39,5.01,3.86,4.37,3.62,5.09,2.75,2.61,2.44,1.44,0.72,1.17,2.36,2.57,1.94,1.54,1.03,0.51,0.82,0.58,1.05,1.0,1.12,0.34,0.64,0.15,0.66,0.78,0.76,0.7,1.6,1.13,1.89,0.84,1.71,1.47,2.66,2.19,2.6,1.72,2.12,2.51,2.48,2.19,1.83,1.66,1.96,2.59,1.56,1.53,1.94,2.1,1.63,1.36,2.0,1.35,2.32,2.17
Gansu,4.55,6.17,5.47,4.99,5.64,5.36,5.42,5.59,5.38,5.3,3.84,4.45,5.56,5.2,5.05,4.7,4.7,7.31,5.57,6.62,5.51,6.92,5.96,6.91,7.76,9.49,6.75,6.03,5.23,5.3,6.48,6.72,8.52,8.7,7.81,7.28,8.83,8.15,7.89,6.0,8.65,8.59,7.87,9.17,8.3,6.31,6.7,8.69,9.4,6.98,10.07,8.45,7.68,7.38,9.51,11.23,8.83,11.24,10.92,11.84,8.13,7.51,6.75,6.29,6.71,6.2,5.9,6.55,5.53,5.25,4.75,3.92,3.54,4.22,4.15,3.97,3.19,2.75,2.8,2.34,2.93,2.58,4.41
Chongqing,4.47,6.16,5.4,5.99,4.97,6.78,5.19,6.47,5.69,6.46,5.73,6.14,5.04,6.53,5.86,6.58,5.84,6.52,5.56,7.04,5.47,6.99,5.52,5.61,6.32,6.23,6.1,6.69,6.76,3.92,4.21,3.46,3.92,3.81,4.05,6.55,3.38,5.39,2.27,4.24,4.32,7.25,4.45,2.73,4.08,4.21,4.02,2.73,3.41,1.94,3.81,2.48,3.77,3.82,3.76,6.19,2.26,3.68,3.29,3.53,1.9,2.26,1.46,4.11,2.78,3.54,3.81,3.54,2.98,2.62,3.91,2.5,3.71,2.89,2.92,2.41,2.95,2.75,3.44,3.03,2.0,3.29,2.29
Henan,3.88,4.87,4.74,4.41,4.76,4.28,4.59,4.11,4.87,3.83,4.13,4.1,4.56,4.42,4.6,4.32,4.27,4.01,5.08,4.16,4.4,4.26,4.89,4.7,4.88,4.18,3.31,2.58,2.67,2.93,2.95,3.34,3.58,3.12,3.18,1.21,1.62,3.81,4.09,1.76,2.31,2.37,1.71,1.36,1.02,1.22,2.01,0.8,1.36,0.81,1.37,0.82,0.91,2.16,2.23,1.72,2.98,1.39,1.5,1.81,4.84,6.86,2.92,2.51,2.11,2.48,3.12,2.48,1.93,2.01,1.83,2.27,2.41,2.34,1.76,2.72,2.64,2.0,1.79,2.82,2.93,2.84,2.05
Hunan,1.13,1.57,1.45,1.7,1.74,1.72,1.57,1.4,1.79,1.47,1.59,1.57,1.86,1.76,1.25,1.47,1.52,1.77,1.44,1.47,1.55,1.67,1.7,1.44,1.16,1.29,1.36,0.97,0.97,1.9,1.25,0.75,0.73,0.38,0.57,1.09,0.58,0.65,0.75,0.7,0.15,1.48,2.05,0.82,1.02,0.87,1.0,0.16,0.17,0.64,1.06,0.99,0.91,1.65,0.94,0.91,2.26,0.59,0.94,0.38,1.03,1.13,1.64,1.51,0.67,0.79,0.43,1.15,1.14,0.87,0.83,0.86,0.69,0.78,0.76,1.24,1.01,1.26,0.93,0.48,1.0,0.84,0.48
Guangdong,1.02,0.9,1.12,0.81,0.62,0.88,0.74,0.56,0.69,0.79,0.72,0.68,0.88,0.78,0.51,0.7,0.61,0.73,0.69,0.96,0.81,0.82,0.73,1.25,1.33,1.85,2.91,4.39,4.64,5.14,2.71,2.75,1.93,1.37,1.93,1.57,2.2,1.05,2.42,1.76,2.16,2.07,2.56,0.54,1.45,2.1,1.84,2.09,1.19,2.43,1.06,2.81,1.43,1.65,1.17,1.14,1.02,1.39,1.6,1.05,1.64,2.01,2.1,1.51,1.34,1.77,1.04,1.94,0.79,1.22,1.0,0.62,1.38,1.17,1.23,0.77,1.01,0.89,1.22,1.31,0.78,0.84,1.2
