Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Gansu,23.49,21.98,22.9,21.97,21.83,21.75,22.21,24.19,22.25,26.63,28.2,27.25,26.13,27.0,27.36,24.11,25.41,28.32,30.33,29.06,30.44,30.28,31.41,31.56,30.34,30.39,29.53,24.66,22.13,19.21,18.68,18.26,24.49,19.9,18.45,17.73,19.46,20.2,20.72,17.81,17.52,21.1,19.02,15.76,16.08,26.68,19.71,24.61,22.06,23.55,23.39,27.87,28.6,27.83,28.55,32.36,30.83,32.42,31.52,30.73,30.0,28.67,29.3,31.69,31.8,30.69,31.63,28.8,28.9,33.89,33.34,31.73,32.77,32.59,29.5,27.38,27.26,28.4,26.09,27.78,27.52,27.85,28.3
Henan,11.79,12.14,12.28,11.79,12.43,13.07,12.87,12.08,13.73,11.18,11.25,11.47,12.78,12.47,13.35,12.53,12.86,11.86,12.32,11.66,11.51,10.95,10.59,10.77,10.88,11.3,8.5,6.47,5.28,3.79,5.82,3.97,4.85,4.13,4.8,5.03,3.58,2.39,2.96,3.13,4.1,3.77,3.37,4.07,2.33,2.91,4.02,3.36,3.75,4.43,5.68,3.87,3.15,3.98,4.18,3.76,5.09,3.66,5.45,4.52,5.81,5.54,6.5,5.15,6.09,5.99,6.36,6.97,6.04,4.72,6.75,6.94,7.19,6.49,8.52,7.9,8.03,7.53,8.14,7.72,8.0,9.1,8.02
Sichuan,11.45,11.95,11.15,11.14,11.2,11.78,11.57,11.24,11.88,10.93,9.5,10.49,10.54,10.98,10.52,11.37,10.61,11.12,10.31,11.62,11.42,12.24,11.2,11.92,11.63,11.57,11.86,11.35,10.37,11.95,10.41,10.43,11.13,11.35,13.59,13.63,11.08,12.59,12.62,11.78,12.23,10.29,11.86,9.1,9.96,10.98,12.59,8.89,10.1,9.49,10.53,11.44,10.53,12.53,8.67,8.22,9.55,8.88,9.6,8.51,9.47,8.07,6.77,7.66,6.18,7.66,6.9,6.67,7.28,7.9,6.54,6.09,7.35,6.84,8.3,7.16,7.21,7.78,7.18,7.69,7.62,7.57,7.44
Shaanxi,7.57,7.75,7.67,7.79,7.82,7.55,7.49,7.55,6.8,7.67,6.97,7.53,7.48,7.33,7.62,7.81,7.33,6.54,7.56,8.0,7.13,7.57,7.81,7.99,8.1,6.99,6.99,6.77,7.1,8.27,8.59,6.44,6.41,4.92,4.11,4.93,3.65,3.11,3.95,5.15,4.27,2.98,3.41,1.87,1.75,2.78,3.05,3.78,3.4,3.48,3.14,2.61,3.94,2.54,5.21,5.11,4.07,4.77,3.11,4.7,4.69,5.45,6.26,6.5,7.92,6.84,6.05,6.14,8.74,6.11,6.31,6.7,5.81,7.34,8.0,8.38,8.08,8.54,10.01,8.97,9.31,8.4,8.38
Beijing,3.83,4.02,3.86,4.05,4.15,3.41,3.78,3.65,3.16,3.82,3.67,3.2,3.22,2.79,2.6,3.13,2.27,2.94,1.83,2.33,1.98,1.96,1.9,1.75,2.64,2.75,5.24,6.7,7.24,8.55,10.12,10.74,9.21,11.4,10.79,10.67,10.47,10.56,10.38,11.66,10.62,11.03,10.01,7.79,6.14,8.79,8.36,9.27,8.05,8.25,8.48,5.99,6.68,6.62,5.84,5.72,4.53,5.14,5.58,4.73,4.88,3.68,2.83,1.11,1.91,1.52,1.44,1.68,2.02,1.44,1.47,1.87,2.38,1.86,2.4,2.32,1.82,1.7,2.61,2.18,1.78,1.97,1.87
Guangdong,3.41,2.97,3.15,2.97,2.54,2.2,2.32,2.23,1.99,2.55,2.65,2.31,1.85,1.83,1.79,1.95,1.76,1.96,1.66,1.84,2.16,2.2,2.46,2.51,3.21,3.76,4.67,7.05,8.89,9.97,9.17,13.91,10.89,16.1,16.63,14.83,16.0,13.38,17.26,18.01,17.52,17.6,16.0,15.16,13.78,16.21,15.91,13.97,14.78,15.38,14.69,13.16,10.75,11.4,10.93,11.4,9.62,10.11,10.28,10.62,10.4,10.69,9.75,10.28,9.93,10.32,11.06,12.1,11.52,9.28,8.52,7.61,8.17,8.12,7.19,8.01,7.45,7.13,6.22,6.84,6.48,6.59,6.48
Shandong,3.39,3.89,3.75,3.75,3.71,3.98,3.59,3.75,3.86,3.49,3.25,4.17,4.06,3.98,3.74,4.07,3.72,3.88,4.05,3.88,4.12,3.82,3.81,4.1,3.37,3.46,3.09,3.8,3.7,3.64,3.48,3.83,2.13,3.43,2.83,2.56,2.78,2.06,1.82,3.13,2.15,2.16,2.69,1.45,2.26,1.88,3.51,3.5,4.68,4.39,2.75,3.55,2.8,2.32,3.37,2.38,2.53,2.55,3.27,3.47,3.07,3.52,3.28,3.82,2.88,3.46,3.73,4.38,3.72,4.49,3.32,3.7,2.96,3.78,3.97,4.29,4.19,4.5,5.4,4.23,4.8,4.33,4.07
Chongqing,3.36,3.25,3.61,3.34,3.58,3.5,3.39,3.19,3.85,3.39,3.05,3.02,3.21,3.25,3.03,3.42,3.04,3.09,2.89,3.16,3.45,2.86,2.96,2.95,3.57,2.25,2.77,2.75,1.53,3.05,2.5,2.86,2.24,2.4,2.95,1.76,2.32,3.14,1.59,1.66,3.51,3.58,3.33,2.4,1.01,2.18,2.38,0.91,2.86,2.36,3.21,2.72,2.04,2.69,1.28,3.05,1.53,2.63,1.37,2.39,2.0,1.35,1.91,0.89,3.25,1.22,1.92,1.77,1.66,1.21,1.17,2.66,1.81,2.8,2.0,2.59,2.44,1.99,2.72,2.51,2.45,2.31,2.08
Jiangsu,3.28,3.41,3.29,3.52,3.47,3.73,3.65,3.17,3.31,3.01,2.84,3.03,2.92,2.95,3.08,3.18,3.3,3.34,3.3,3.27,3.24,3.68,3.47,3.26,2.94,3.16,2.92,3.8,3.25,3.62,4.07,3.76,3.67,3.57,3.42,3.4,4.15,3.52,3.04,3.25,2.32,3.03,1.93,2.51,2.02,2.78,3.67,2.2,3.25,1.99,2.79,2.54,2.9,3.15,3.83,2.51,3.89,3.76,3.4,2.86,3.05,2.92,3.64,3.71,3.51,3.35,3.58,3.16,3.47,2.36,2.79,3.95,2.87,2.87,2.66,2.42,3.1,3.04,2.91,2.34,2.92,2.99,2.82
