Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Sichuan,28.9,23.06,26.19,27.29,27.25,27.17,26.85,25.87,25.34,26.13,27.34,27.85,27.21,27.52,27.81,27.82,27.54,28.16,29.06,29.24,30.1,30.73,31.36,34.43,36.53,35.68,34.86,32.45,31.51,30.97,29.98,32.02,33.31,33.58,37.43,38.7,37.24,34.87,30.92,33.53,33.15,36.09,35.55,32.36,31.3,32.64,30.91,30.09,28.0,24.97,22.72,22.37,20.59,19.3,19.03,18.62,18.53,18.33,17.81,18.36,18.97,17.91,18.68,19.6,20.06,18.38,19.18,20.96,21.6,19.01,21.21,20.77,20.75,22.15,23.12,23.28,24.11,23.07,23.85,24.79,26.18,24.51,26.49
Guizhou,25.16,19.63,21.02,21.75,22.3,21.39,20.52,20.72,20.1,23.22,24.09,23.83,21.57,21.29,20.96,20.04,19.92,20.2,19.31,20.34,20.65,22.34,22.94,22.23,23.62,26.79,24.5,22.27,21.63,22.9,22.78,24.97,24.88,24.54,26.94,26.98,26.83,24.04,22.48,21.33,23.17,26.21,26.8,24.52,24.44,25.95,26.19,28.53,30.76,28.47,26.03,29.31,25.33,22.27,23.73,23.86,21.99,22.11,22.87,20.15,22.12,21.2,20.63,20.02,21.22,20.9,19.98,21.5,23.49,20.57,21.92,21.21,21.34,21.94,21.9,23.19,22.99,21.31,22.2,22.67,23.64,23.0,23.74
Guangxi,6.56,5.76,6.16,6.0,6.1,5.68,5.77,5.39,4.94,6.03,6.06,6.02,5.56,5.39,5.35,5.6,5.55,5.33,5.46,5.28,5.71,5.75,5.31,4.04,3.75,4.36,4.46,4.71,5.61,6.75,7.37,7.33,6.71,6.15,6.36,6.44,6.6,6.94,6.81,5.62,6.25,6.76,7.83,7.3,6.95,7.93,7.11,6.36,7.78,7.97,7.7,7.47,8.68,7.6,7.71,9.55,8.78,8.96,8.45,8.9,8.3,9.29,8.65,8.2,9.29,9.96,8.41,7.85,10.06,10.15,8.73,9.28,8.43,8.87,8.51,8.58,8.89,9.03,8.03,8.28,8.61,9.04,8.09
Guangdong,5.71,7.24,6.29,6.05,5.76,5.51,5.09,5.13,4.89,4.65,4.59,4.58,4.57,3.87,3.76,3.61,3.55,3.54,3.59,3.48,3.44,3.45,3.51,3.5,3.43,3.75,5.59,6.23,7.41,8.4,9.48,8.02,8.6,8.72,6.6,7.08,9.48,13.12,17.91,16.66,14.15,11.59,11.78,12.91,11.96,12.35,13.53,10.58,11.01,12.78,13.94,11.68,14.49,15.05,13.86,17.24,17.05,17.65,17.85,18.33,15.06,19.71,16.05,16.43,17.66,17.87,17.71,15.89,15.17,20.16,14.72,19.12,15.66,16.29,14.41,14.21,12.94,16.15,13.86,12.78,11.56,14.19,11.72
Chongqing,5.25,7.21,6.24,5.85,6.04,6.27,6.72,6.87,7.76,7.78,7.1,6.35,7.17,7.9,7.7,7.9,7.85,8.14,8.48,8.33,8.38,7.78,7.9,9.31,6.22,5.86,6.43,6.35,6.55,6.09,5.46,4.12,4.2,4.07,3.0,2.4,2.68,2.97,2.97,2.91,2.45,2.23,2.07,2.18,1.7,1.96,1.85,1.62,1.97,1.77,1.99,1.77,1.98,1.85,2.0,1.97,1.89,2.09,1.92,1.92,2.06,2.17,2.23,2.36,2.42,2.21,2.2,2.33,2.56,2.24,2.55,2.49,2.58,2.78,3.28,3.13,3.64,3.36,3.58,3.37,3.67,3.49,3.48
Hunan,2.97,4.0,3.59,3.58,3.51,3.74,3.89,4.18,4.75,3.96,4.47,4.6,4.91,5.34,5.96,6.19,7.03,6.66,6.14,6.07,5.99,5.28,5.04,4.88,3.54,2.7,2.91,2.8,2.97,2.76,3.19,2.48,2.48,2.38,1.76,1.87,2.1,2.23,2.05,1.83,2.84,2.16,2.49,2.3,2.06,2.32,2.68,2.26,2.52,3.55,3.51,3.33,4.78,4.21,3.62,4.1,3.98,3.8,3.4,3.88,2.33,3.76,3.71,3.33,3.62,3.75,3.37,2.7,2.84,3.77,2.35,3.19,2.88,2.88,2.78,2.81,2.75,3.13,2.67,2.83,2.48,3.2,2.72
Henan,2.53,3.06,2.98,2.58,2.54,2.85,2.79,2.9,3.21,2.53,2.78,2.68,3.11,3.07,3.26,3.24,3.21,3.05,3.21,3.13,2.88,2.63,2.58,2.22,2.45,2.02,2.3,2.37,1.77,1.26,1.28,1.24,1.18,1.04,1.0,1.05,0.85,1.04,1.0,0.99,0.88,0.94,0.78,0.87,0.78,0.83,0.86,0.99,0.88,0.69,0.59,0.69,0.71,0.61,0.76,0.68,0.64,0.62,0.62,0.7,0.79,0.81,0.81,0.86,0.93,0.86,0.91,1.0,1.03,0.96,0.97,0.92,0.99,1.12,1.22,1.26,1.15,1.25,1.4,1.36,1.39,1.3,1.37
Zhejiang,2.43,3.29,3.02,2.94,2.72,2.76,2.93,2.69,2.85,2.63,2.31,2.48,2.4,2.28,2.59,2.43,2.39,2.35,2.52,2.37,2.29,2.48,2.3,2.11,2.41,2.51,2.55,3.07,3.71,4.14,4.35,3.98,3.15,2.96,2.56,1.62,1.47,1.55,1.58,1.39,1.17,1.19,1.32,2.02,3.09,4.08,4.65,6.69,6.4,9.48,11.31,11.76,11.24,16.88,17.02,12.83,15.37,14.81,15.16,14.65,17.03,11.58,14.92,14.5,11.39,12.92,14.68,13.28,9.54,10.21,13.84,9.16,12.69,9.51,9.89,8.08,8.21,7.78,8.78,8.81,7.35,6.57,7.75
Jiangsu,1.99,2.74,2.53,2.44,2.53,2.38,2.22,2.37,2.12,1.99,1.68,1.69,1.81,1.71,1.6,1.86,1.74,1.75,1.66,1.71,1.68,1.66,1.68,1.49,1.57,1.72,1.93,2.38,2.1,2.19,2.2,2.23,1.92,2.18,1.85,1.92,2.0,1.67,2.27,2.14,1.93,1.24,1.19,1.66,1.23,1.83,1.59,1.73,1.51,1.7,2.14,2.71,2.44,3.17,3.12,2.73,3.05,3.13,3.24,3.72,3.93,3.32,3.82,4.01,3.49,3.39,3.44,3.76,3.17,3.01,3.33,3.38,3.42,3.36,3.05,3.23,3.26,2.85,3.12,3.09,2.96,2.74,2.74
