Destination,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323
Jiangsu,14.47,10.39,13.25,12.7,12.0,11.18,10.37,9.43,7.94,10.22,10.06,8.62,7.7,7.02,6.79,7.08,7.05,7.74,7.72,8.02,8.33,9.38,9.73,10.57,12.36,14.2,16.33,15.85,15.25,15.59,15.58,16.09,15.75,15.74,15.21,15.16,14.01,13.46,11.92,11.18,10.26,12.49,13.73,13.46,12.68,15.31,15.13,16.74,17.48,18.77,21.39,24.52,23.94,21.29,23.82,23.08,22.39,23.18,23.12,22.93,23.4,23.45,23.81,24.58,25.43,24.94,25.96,25.05,25.46,25.32,25.66,25.74,26.22,27.25,25.67,25.28,25.89,25.58,25.59,26.15,26.85,25.21,24.54
Anhui,13.02,12.75,12.72,12.37,11.75,12.34,13.03,13.09,13.55,12.87,14.6,15.6,15.5,16.69,19.24,19.02,19.42,20.75,22.15,21.99,22.95,23.08,23.28,23.17,22.78,18.61,13.86,10.52,9.25,7.97,7.4,7.8,6.85,6.94,8.07,7.88,7.15,7.31,7.23,6.8,6.27,7.48,8.01,6.76,6.61,7.8,7.2,7.67,8.39,7.71,8.08,8.51,9.19,9.83,10.4,11.34,11.41,11.84,11.65,12.1,12.24,11.02,12.15,12.69,12.42,12.52,13.31,14.19,12.66,13.14,13.43,13.71,13.84,14.3,14.67,13.16,13.64,14.22,14.4,14.53,15.93,15.55,13.96
Shanghai,13.0,8.75,11.94,11.39,14.19,10.64,9.07,8.24,6.71,9.3,8.43,7.66,7.96,5.67,4.93,4.77,4.25,4.17,4.06,4.26,3.89,4.02,4.1,4.19,6.36,17.95,20.88,21.68,21.9,23.98,22.78,25.45,27.34,27.85,29.78,31.45,30.23,30.16,35.17,38.73,34.31,31.85,28.13,26.13,23.9,26.08,23.46,24.57,22.12,20.31,18.11,17.9,16.52,15.65,17.75,15.58,15.16,14.52,15.44,15.61,14.4,16.37,14.89,14.41,14.56,15.66,16.61,14.49,18.64,16.36,15.66,15.2,16.34,16.3,15.15,19.49,16.44,15.86,15.97,16.95,16.66,15.72,20.26
Jiangxi,9.05,9.68,9.31,9.44,9.34,10.04,10.73,11.25,12.14,11.64,13.13,14.52,13.58,14.26,14.22,13.87,14.06,13.67,13.29,12.41,12.62,13.15,13.42,13.33,12.89,10.34,7.59,6.53,6.28,6.22,5.21,4.82,4.13,3.81,3.6,3.74,4.11,4.01,3.69,3.81,3.81,4.91,5.86,5.37,5.64,7.74,7.43,7.71,9.28,9.27,9.12,9.21,8.46,8.52,8.2,8.41,8.48,8.75,8.61,9.02,8.75,7.87,8.56,8.5,8.68,8.66,8.79,9.1,8.7,8.56,9.07,9.08,8.69,9.08,9.53,8.69,9.27,9.25,8.91,9.14,8.8,9.03,8.34
Guizhou,8.34,10.8,8.71,9.04,9.02,9.88,10.06,10.69,11.82,9.84,8.62,9.66,9.74,9.45,8.53,8.55,7.87,7.55,6.22,5.67,4.9,4.12,3.67,3.37,2.91,2.87,3.48,3.91,3.85,3.55,3.22,3.02,2.7,2.38,2.12,2.11,1.78,1.85,1.52,1.34,1.61,1.44,1.48,1.55,1.19,1.6,1.97,1.88,3.11,3.3,3.84,3.19,3.46,3.86,3.05,3.3,3.31,3.39,3.38,3.03,2.92,2.91,2.77,2.77,2.77,2.46,2.5,2.56,2.3,2.5,2.49,2.4,2.32,2.26,2.45,2.34,2.34,2.24,2.26,2.08,2.09,2.29,2.13
Henan,7.84,9.23,8.21,8.17,7.63,8.43,8.92,8.89,9.41,8.86,9.72,8.73,9.77,11.08,11.62,11.74,12.2,11.34,12.07,12.21,12.11,11.17,11.02,10.56,9.12,6.56,5.51,4.72,4.35,4.01,3.97,3.66,3.68,3.49,3.42,3.68,3.48,3.31,3.39,2.5,2.85,3.35,3.79,3.77,3.36,4.24,3.97,3.57,3.87,3.7,3.5,3.29,4.23,4.48,4.0,4.38,4.68,4.71,4.81,4.87,4.68,4.87,5.39,5.42,5.38,5.34,4.98,5.52,4.85,5.38,5.35,5.79,5.34,4.94,5.08,4.6,5.0,5.46,5.5,5.0,5.09,5.58,5.44
Hubei,4.53,5.1,4.99,5.01,4.98,5.47,5.65,6.09,6.4,6.22,6.6,6.85,7.09,7.02,6.64,6.67,6.91,6.5,6.42,6.58,6.22,5.65,4.7,3.19,2.1,1.07,0.6,0.49,0.59,0.4,0.43,0.37,0.37,0.44,0.52,0.52,0.76,0.8,0.84,1.07,2.34,1.1,1.06,1.07,1.21,1.03,0.61,0.67,0.53,0.62,0.58,0.35,0.35,0.37,0.25,0.27,0.25,0.25,0.26,0.21,0.21,0.19,0.22,0.18,0.19,0.24,0.22,0.24,0.19,0.27,0.29,0.29,0.29,0.33,0.37,0.5,0.6,0.75,0.77,0.87,0.83,1.23,1.07
Hunan,4.53,4.98,4.84,4.66,4.58,5.16,5.49,5.7,6.09,5.98,6.17,5.73,6.34,5.9,6.13,5.88,6.18,5.76,5.44,5.43,4.98,4.49,4.13,3.68,3.15,3.09,2.86,2.89,2.83,2.88,2.88,2.47,2.43,2.24,2.09,2.08,2.68,2.46,2.92,3.03,3.53,3.5,3.66,3.29,3.38,3.07,3.5,2.94,3.56,3.71,3.47,3.31,3.6,3.64,3.12,3.55,3.45,3.24,3.25,2.97,3.06,2.97,2.96,2.82,2.98,2.72,2.67,2.9,2.59,2.7,2.81,2.72,2.72,2.64,2.64,2.41,2.61,2.67,2.57,2.55,2.39,2.6,2.4
Fujian,3.88,2.94,3.34,3.41,3.09,2.96,2.8,2.62,2.39,3.06,3.0,2.85,2.6,2.42,2.41,2.47,2.47,2.58,2.52,2.62,2.86,3.43,3.93,4.64,4.69,5.08,5.43,5.47,5.49,5.8,5.39,5.4,4.57,3.95,3.64,3.94,4.01,4.05,4.08,4.15,4.41,5.08,5.73,4.76,4.97,6.03,5.7,5.43,5.2,5.72,5.48,6.03,6.02,5.92,5.98,5.87,6.04,5.86,5.76,5.53,5.66,5.25,5.65,5.58,5.56,5.47,5.32,5.33,5.56,6.0,6.25,5.66,5.71,5.82,5.96,5.68,6.1,5.62,5.75,5.76,5.61,5.52,5.38
Sichuan,3.41,4.4,3.64,4.03,4.12,4.43,4.54,4.85,5.49,3.96,3.71,4.06,4.19,4.79,4.56,4.51,4.51,4.78,4.58,4.72,4.59,4.07,3.73,3.66,3.78,2.9,2.93,3.29,3.33,3.13,3.05,2.9,2.56,3.01,3.39,2.81,3.34,2.92,2.55,2.49,2.53,2.08,2.1,2.28,2.31,2.42,2.26,2.3,2.24,2.26,2.25,2.17,1.92,1.89,2.21,1.83,2.24,2.13,1.98,2.24,2.16,1.91,1.84,1.71,1.68,1.74,1.55,1.67,1.6,1.65,1.52,1.62,1.59,1.42,1.5,1.56,1.39,1.4,1.5,1.38,1.3,1.36,1.46
Yunnan,3.23,4.05,3.14,3.31,3.2,3.35,3.17,3.22,3.44,2.82,2.35,2.56,2.68,2.8,2.52,2.57,2.45,2.35,2.22,2.12,1.97,1.89,1.72,1.74,1.64,1.45,1.65,2.03,2.14,1.94,2.13,1.62,1.62,1.74,1.83,1.41,1.63,1.85,1.38,1.29,1.38,1.81,1.93,1.87,1.86,1.65,2.15,1.92,1.39,1.49,1.66,1.67,1.56,1.88,1.87,2.0,2.33,2.38,2.35,2.24,2.28,2.2,1.99,1.96,1.69,1.73,1.4,1.53,1.5,1.43,1.45,1.36,1.43,1.19,1.32,1.29,1.26,1.21,1.21,1.1,1.0,1.17,1.06
